train_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
231,76.50165016501651,0.5620259526708332,0.7506535947467107,0.026950604357897954,0.7796666666406777,0.021049618042224612
426,78.92739273927393,0.9560519326476096,0.7807189542228523,0.025287821110422114,0.7979999999734,0.013351839009154742
683,80.77557755775578,1.6615849798672409,0.8245098038946239,0.021012956128972495,0.790666666640311,0.02340201531815461
851,83.06930693069307,1.639496130716097,0.8415032679463561,0.036431354047155064,0.8196666666393444,0.021798742742495648
1064,84.96699669966998,1.5311895326286542,0.831699346378049,0.03973422605499663,0.8679999999710667,0.0298225202823318
1277,86.76567656765675,1.6698495895278567,0.8692810457232261,0.03820409132064733,0.8659999999711333,0.04477102237285643
1490,87.75577557755776,1.4148287274607465,0.8839869280756867,0.023274357972247597,0.8709999999709666,0.02753449015503291
1702,87.34323432343234,1.4554126988736065,0.8803921568339741,0.029034128537539484,0.8663333333044555,0.027686516751397956
1915,92.07920792079207,1.4259055442041468,0.9287581699042888,0.02199249016624403,0.9126666666362444,0.027791107911719858
2128,90.7095709570957,2.02260244319526,0.9107843136957261,0.0368136928527549,0.9033333333032221,0.013698697783918828
