run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,train_samples,batch_size,learning_rate,epochs
q1vgd8y9,trainsample_2128_run_1,93.72937293729372,0.9509803921257848,0.9233333333025556,91.35338345864662,2128,16,0.0005,1000
9ykauiyj,trainsample_1915_run_1,92.07920792079209,0.9281045751330684,0.9133333333028888,94.3609022556391,1915,16,0.0005,1000
jw55srui,trainsample_1702_run_1,90.0990099009901,0.9313725489891708,0.869999999971,90.78947368421052,1702,16,0.0005,1000
5e9lsiq0,trainsample_1490_run_1,88.94389438943895,0.905228758140352,0.8733333333042222,90.0375939849624,1490,16,0.0005,1000
0div4wii,trainsample_1277_run_1,87.62376237623762,0.8529411764427143,0.89999999997,88.7218045112782,1277,16,0.0005,1000
h7u3jabr,trainsample_1064_run_1,86.79867986798679,0.9117647058525566,0.8233333333058889,90.6015037593985,1064,16,0.0005,1000
xxe58uei,trainsample_851_run_1,82.01320132013201,0.8398692810183049,0.7999999999733333,86.46616541353383,851,16,0.0005,1000
txjs333g,trainsample_683_run_1,84.98349834983499,0.8725490195793284,0.826666666639111,85.52631578947368,683,16,0.0005,1000
z4ynnton,trainsample_426_run_1,79.53795379537954,0.8267973855938955,0.7633333333078889,81.203007518797,426,16,0.0005,1000
3pfz1jab,trainsample_231_run_1,76.4026402640264,0.8202614378816908,0.7066666666431111,81.39097744360903,231,16,0.0005,1000
1vn13fqy,trainsample_2128_run_2,92.4092409240924,0.9215686274208638,0.9266666666357778,93.98496240601504,2128,16,0.0005,1000
q7zz9s92,trainsample_1915_run_2,92.07920792079209,0.9183006535647614,0.9233333333025556,93.60902255639095,1915,16,0.0005,1000
208t3jlp,trainsample_1702_run_2,90.75907590759076,0.8986928104281473,0.9166666666361112,90.22556390977444,1702,16,0.0005,1000
6rxh4y2i,trainsample_1490_run_2,87.62376237623762,0.9150326797086592,0.8366666666387778,90.41353383458647,1490,16,0.0005,1000
4ro9mgtv,trainsample_1277_run_2,87.95379537953795,0.8692810457232261,0.8899999999703333,87.96992481203007,1277,16,0.0005,1000
xfj25obo,trainsample_1064_run_2,86.46864686468648,0.8235294117377931,0.9066666666364444,89.09774436090225,1064,16,0.0005,1000
cj8vvy3h,trainsample_851_run_2,84.98349834983499,0.8333333333061002,0.8666666666377778,87.40601503759399,851,16,0.0005,1000
v6su41ap,trainsample_683_run_2,83.993399339934,0.8594771241549191,0.8199999999726666,86.2781954887218,683,16,0.0005,1000
2guib3bu,trainsample_426_run_2,79.37293729372938,0.8627450980110214,0.7233333333092222,81.76691729323309,426,16,0.0005,1000
31v3to6z,trainsample_231_run_2,75.24752475247524,0.6993464052059037,0.8066666666397777,79.69924812030075,231,16,0.0005,1000
8rw6zpyc,trainsample_2128_run_3,91.74917491749174,0.9019607842842496,0.9333333333022222,92.85714285714286,2128,16,0.0005,1000
k1si74di,trainsample_1915_run_3,90.92409240924091,0.8888888888598402,0.929999999969,93.23308270676692,1915,16,0.0005,1000
1ambr916,trainsample_1702_run_3,91.25412541254126,0.9346405228452732,0.8899999999703333,91.35338345864662,1702,16,0.0005,1000
ipzikqa5,trainsample_1490_run_3,88.28382838283828,0.9019607842842496,0.8633333333045555,90.6015037593985,1490,16,0.0005,1000
8c1a7xt5,trainsample_1277_run_3,87.12871287128714,0.8496732025866119,0.8933333333035556,90.41353383458647,1277,16,0.0005,1000
rug53tzi,trainsample_1064_run_3,87.45874587458746,0.895424836572045,0.8533333333048889,88.34586466165413,1064,16,0.0005,1000
7le6rlj9,trainsample_851_run_3,81.84818481848185,0.813725490169486,0.8233333333058889,83.64661654135338,851,16,0.0005,1000
20g7fwr9,trainsample_683_run_3,83.33333333333334,0.8104575163133837,0.8566666666381111,86.2781954887218,683,16,0.0005,1000
