train_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
340,86.0435212660732,0.6923052724243066,0.8597359735831727,0.01268708756268479,0.8614814814602102,0.025698262278701554
680,88.42729970326408,0.7040605507439006,0.8737623762232053,0.014968168123171912,0.8999999999777778,0.02844571137178399
1021,90.00989119683481,0.6376221432843303,0.8948844884340778,0.009336363460254673,0.9079012345454839,0.011045377882440545
1361,91.59248269040555,0.9418303235796691,0.8948844884340778,0.014281317837004485,0.9474074073840146,0.02042910433500074
1702,92.43323442136499,0.8357264659173425,0.8970297029554946,0.014681420457802397,0.9651851851613534,0.006208402358907169
2042,95.10385756676558,1.025010982968003,0.9381188118657077,0.019497878849805958,0.9703703703464106,0.011463694055012547
2382,94.56973293768547,0.9295737219492192,0.9349834983344063,0.017099546074723714,0.961728395037982,0.011884386072293881
2723,94.25321463897131,1.1726156497158204,0.9234323432190854,0.015483828576423747,0.9711111110871331,0.012484812701081887
3063,95.72700296735904,1.433977187402411,0.9465346534497272,0.01782721399218518,0.9733333333093004,0.0165757311932356
3404,96.42927794263105,1.48803259276295,0.9475247524596119,0.019537408687897915,0.9893827160249534,0.010283126386008144
