run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,train_samples,batch_size,learning_rate,epochs
sd9yvke1,trainpercent_1_run_1,97.42828882294758,95.70957095551634,99.99999999753086,9635.72267920094,3404,128,0.005,1000
nzoru7fm,trainpercent_0.9_run_1,96.7359050445104,94.55445544398424,99.99999999753086,9717.978848413632,3063,128,0.005,1000
dcig5dvw,trainpercent_0.8_run_1,93.47181008902076,91.2541254110354,96.79012345440024,9541.715628672153,2723,128,0.005,1000
kj20tq3q,trainpercent_0.7_run_1,93.86745796241344,92.73927392586239,95.55555555319616,9635.72267920094,2382,128,0.005,1000
enuubft1,trainpercent_0.6_run_1,95.351137487636,95.37953795222145,95.30864197295534,9659.224441833137,2042,128,0.005,1000
6aayd1ai,trainpercent_0.5_run_1,93.6696340257171,92.57425742421496,95.30864197295534,9588.719153936547,1702,128,0.005,1000
010vjplc,trainpercent_0.4_run_1,92.6805143422354,90.26402640115077,96.2962962939186,9553.466509988248,1361,128,0.005,1000
mrr3rpkr,trainpercent_0.3_run_1,91.49357072205736,90.75907590609307,92.59259259030635,9482.961222091655,1021,128,0.005,1000
jrzi9y7q,trainpercent_0.2_run_1,89.21859545004945,89.2739273912661,89.13580246693492,9353.701527614572,680,128,0.005,1000
wk47fwfk,trainpercent_0.1_run_1,86.7457962413452,85.97359735831726,87.90123456573083,9200.940070505289,340,128,0.005,1000
lpwg7kfa,trainpercent_1_run_2,97.3293768545994,96.03960395881124,99.25925925680839,9706.227967097531,3404,128,0.005,1000
twte7pdl,trainpercent_0.9_run_2,92.77942631058356,90.4290429027982,96.2962962939186,9635.72267920094,3063,128,0.005,1000
0kjxpf6m,trainpercent_0.8_run_2,96.14243323442136,95.37953795222145,97.28395061488187,9623.971797884842,2723,128,0.005,1000
ew3ciidg,trainpercent_0.7_run_2,94.26310583580614,92.07920791927262,97.53086419512267,9623.971797884842,2382,128,0.005,1000
54r7vt6w,trainpercent_0.6_run_2,94.95548961424332,94.55445544398424,95.55555555319616,9753.231492361929,2042,128,0.005,1000
d9rjtdqy,trainpercent_0.5_run_2,91.29574678536105,87.95379537808657,96.2962962939186,9529.964747356053,1702,128,0.005,1000
jk74f9qc,trainpercent_0.4_run_2,90.60336300692384,90.92409240774052,90.12345678789818,9506.462984723856,1361,128,0.005,1000
a2px0f4z,trainpercent_0.3_run_2,89.51533135509396,89.2739273912661,89.87654320765736,9459.45945945946,1021,128,0.005,1000
uh5cfpye,trainpercent_0.2_run_2,88.13056379821958,87.78877887643914,88.64197530645328,9247.943595769684,680,128,0.005,1000
gh2b3wgd,trainpercent_0.1_run_2,86.25123639960435,87.78877887643914,83.95061728187775,8895.417156286721,340,128,0.005,1000
fru4a0je,trainpercent_1_run_3,97.72502472799208,96.53465346375356,99.50617283704925,9694.477085781433,3404,128,0.005,1000
zv3qji8w,trainpercent_0.9_run_3,96.6369930761622,96.03960395881124,97.53086419512267,9565.217391304348,3063,128,0.005,1000
o4veuzxo,trainpercent_0.8_run_3,94.26310583580614,91.74917491597773,98.02469135560432,9600.470035252643,2723,128,0.005,1000
0epw2z0m,trainpercent_0.7_run_3,94.26310583580614,94.7194719456317,93.58024691126964,9647.473560517039,2382,128,0.005,1000
p2jfimiz,trainpercent_0.6_run_3,95.45004945598416,94.22442244068935,97.28395061488187,9471.210340775559,2042,128,0.005,1000
qlkb0kmh,trainpercent_0.5_run_3,92.58160237388724,90.09900989950333,96.2962962939186,9424.206815511165,1702,128,0.005,1000
734hg90y,trainpercent_0.4_run_3,90.80118694362018,87.12871286984935,96.2962962939186,9541.715628672153,1361,128,0.005,1000
uciss6xg,trainpercent_0.3_run_3,89.61424332344214,88.77887788632378,90.86419752862064,9459.45945945946,1021,128,0.005,1000
xxi1nt5o,trainpercent_0.2_run_3,87.73491592482691,86.96369636820191,88.88888888669409,9306.698002350176,680,128,0.005,1000
djddusvn,trainpercent_0.1_run_3,85.7566765578635,83.00330032866331,89.87654320765736,9236.192714453584,340,128,0.005,1000
y28dswzg,trainpercent_1_run_4,94.85657764589516,92.24422442092006,98.76543209632678,9623.971797884842,3404,128,0.005,1000
u7kcbddt,trainpercent_0.9_run_4,96.93372898120673,95.70957095551634,98.76543209632678,9623.971797884842,3063,128,0.005,1000
cokohafd,trainpercent_0.8_run_4,93.17507418397626,91.91419141762518,95.06172839271451,9623.971797884842,2723,128,0.005,1000
30rtib03,trainpercent_0.7_run_4,94.65875370919882,92.90429042750984,97.28395061488187,9612.220916568742,2382,128,0.005,1000
b5xjai3x,trainpercent_0.6_run_4,93.86745796241344,91.08910890938796,98.02469135560432,9623.971797884842,2042,128,0.005,1000
w9bxn9i6,trainpercent_0.5_run_4,92.6805143422354,89.93399339785587,96.79012345440024,9471.210340775559,1702,128,0.005,1000
9nn48hye,trainpercent_0.4_run_4,92.48269040553907,90.4290429027982,95.55555555319616,9459.45945945946,1361,128,0.005,1000
ro5h45nf,trainpercent_0.3_run_4,89.91097922848664,90.92409240774052,88.39506172621246,9412.455934195064,1021,128,0.005,1000
fkj00oty,trainpercent_0.2_run_4,87.73491592482691,90.26402640115077,83.95061728187775,9377.203290246769,680,128,0.005,1000
i1sifnmu,trainpercent_0.1_run_4,86.84470820969338,86.4686468632596,87.40740740524919,9153.936545240891,340,128,0.005,1000
drvqzxru,trainpercent_1_run_5,97.52720079129574,96.36963696210611,99.25925925680839,9694.477085781433,3404,128,0.005,1000
fp0amx7o,trainpercent_0.9_run_5,95.74678536102869,95.5445544538689,96.0493827136778,9729.72972972973,3063,128,0.005,1000
snrdfi9r,trainpercent_0.8_run_5,92.87833827893176,91.41914191268286,95.06172839271451,9588.719153936547,2723,128,0.005,1000
o0odjm3u,trainpercent_0.7_run_5,95.94460929772502,95.37953795222145,96.79012345440024,9682.726204465336,2382,128,0.005,1000
k5jgyxsk,trainpercent_0.6_run_5,95.74678536102869,94.05940593904192,98.27160493584516,9670.975323149236,2042,128,0.005,1000
pa05immy,trainpercent_0.5_run_5,91.49357072205736,88.28382838138145,96.2962962939186,9565.217391304348,1702,128,0.005,1000
ozic1af0,trainpercent_0.4_run_5,91.98813056379822,90.4290429027982,94.32098765199208,9459.45945945946,1361,128,0.005,1000
ztjyz0tt,trainpercent_0.3_run_5,90.60336300692384,90.4290429027982,90.86419752862064,9506.462984723856,1021,128,0.005,1000
mcgii7xu,trainpercent_0.2_run_5,87.93273986152325,86.1386138599647,90.61728394837982,9177.43830787309,680,128,0.005,1000
5tf90hbi,trainpercent_0.1_run_5,86.84470820969338,85.14851485008006,89.38271604717573,9153.936545240891,340,128,0.005,1000
nkfyp8cn,trainpercent_1_run_6,93.76854599406528,91.41914191268286,97.28395061488187,9706.227967097531,3404,128,0.005,1000
8lxi114q,trainpercent_0.9_run_6,94.55984174085064,94.7194719456317,94.32098765199208,9612.220916568742,3063,128,0.005,1000
jigg0vim,trainpercent_0.8_run_6,93.57072205736894,90.92409240774052,97.53086419512267,9647.473560517039,2723,128,0.005,1000
9annibzh,trainpercent_0.7_run_6,94.46092977250248,93.06930692915728,96.54320987415944,9576.968272620446,2382,128,0.005,1000
qsdglvdr,trainpercent_0.6_run_6,95.45004945598416,95.37953795222145,95.55555555319616,9729.72972972973,2042,128,0.005,1000
6onm2vwf,trainpercent_0.5_run_6,91.59248269040556,88.4488448830289,96.2962962939186,9506.462984723856,1702,128,0.005,1000
qv9gef02,trainpercent_0.4_run_6,91.79030662710188,88.28382838138145,97.03703703464106,9471.210340775559,1361,128,0.005,1000
95h55u7m,trainpercent_0.3_run_6,90.00989119683481,88.94389438797123,91.60493826934308,9294.947121034076,1021,128,0.005,1000
mmwp78u3,trainpercent_0.2_run_6,89.7131552917903,87.78877887643914,92.59259259030635,9388.954171562867,680,128,0.005,1000
