train_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
638,80.30803080308031,0.3810892865938124,0.8376906317809034,0.013207359098677436,0.7677777777521851,0.00693888666465582
1276,85.0935093509351,1.333812503078344,0.8834422657663362,0.019967650086301015,0.8177777777505185,0.044388854121716365
1915,89.05390539053906,0.8305648443642185,0.9302832243704701,0.013207359098677382,0.8499999999716666,0.020275875100318242
2553,92.84928492849285,0.1905446432969067,0.945533769032281,0.009983825043150438,0.9111111110807407,0.010183501544006743
3192,93.45434543454344,0.6247423922772467,0.9575163398379897,0.008646246114307664,0.9111111110807407,0.00509175077200352
3830,94.71947194719472,0.0,0.9760348583559031,0.0018867655855252384,0.9177777777471853,0.001924500897234466
4468,95.37953795379538,1.320132013201336,0.981481481449407,0.006802830063392339,0.9255555555247036,0.022194427060858127
5107,96.03960396039604,0.7192902547096798,0.966230936787596,0.008224220517455482,0.9544444444126295,0.022194427060858148
5745,97.02970297029704,0.2858169649453462,0.976034858355903,0.007547062342101322,0.9644444444122963,0.001924500897234634
6384,97.7997799779978,0.34350924083599343,0.9825708060681076,0.0037735311710507336,0.9733333333008889,0.008819171036588004
