train_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
1021,91.32871744147708,0.5624372604428529,0.9224422442092006,0.008731852511620316,0.899588477344043,0.019804459942747134
2042,95.0544015825915,0.7912957467853605,0.9427942794123852,0.013338125030563296,0.9621399176717168,0.010279832095875336
3063,95.68084404879657,0.4978459897969384,0.944994499434351,0.006247423922669496,0.9744855966837577,0.013598939622592844
4084,96.60402242004615,0.46743972564318487,0.9625962596100782,0.012385401814094473,0.9711934156138801,0.007543334477107404
5106,96.40619848334983,1.1800547423787238,0.9631463146155697,0.01008267479621609,0.9654320987415942,0.015019166741106222
6127,97.75799538410814,0.15109052736418135,0.9713971396979417,0.004152824221752464,0.9868312756957983,0.00513991604793748
7148,96.99967029343884,0.30218105472836704,0.9559955995441806,0.00476361608234404,0.9909465020331454,0.005139916047937662
8169,98.81305637982196,0.5139616639670341,0.984598459829737,0.009669084615487869,0.9934156378355535,0.0028511124403722094
9190,98.18661391361688,0.604362109456765,0.9735973597199076,0.008731852511620092,0.9942386831030228,0.0028511124403722415
10212,98.81305637982196,0.29673590504451397,0.9840484048242456,0.0034350924083033298,0.9942386831030229,0.005139916047937642
