"epoch","apricot-sweep-83 - _step","apricot-sweep-83 - _step__MIN","apricot-sweep-83 - _step__MAX","apricot-sweep-83 - val_loss","apricot-sweep-83 - val_loss__MIN","apricot-sweep-83 - val_loss__MAX","swift-sweep-75 - _step","swift-sweep-75 - _step__MIN","swift-sweep-75 - _step__MAX","swift-sweep-75 - val_loss","swift-sweep-75 - val_loss__MIN","swift-sweep-75 - val_loss__MAX","sage-sweep-9 - _step","sage-sweep-9 - _step__MIN","sage-sweep-9 - _step__MAX","sage-sweep-9 - val_loss","sage-sweep-9 - val_loss__MIN","sage-sweep-9 - val_loss__MAX","eager-sweep-5 - _step","eager-sweep-5 - _step__MIN","eager-sweep-5 - _step__MAX","eager-sweep-5 - val_loss","eager-sweep-5 - val_loss__MIN","eager-sweep-5 - val_loss__MAX","mild-sweep-4 - _step","mild-sweep-4 - _step__MIN","mild-sweep-4 - _step__MAX","mild-sweep-4 - val_loss","mild-sweep-4 - val_loss__MIN","mild-sweep-4 - val_loss__MAX"
"1","0","0","0","0.6932132124900818","0.6932132124900818","0.6932132124900818","0","0","0","0.6857192715009054","0.6857192715009054","0.6857192715009054","0","0","0","0.5123646272455945","0.5123646272455945","0.5123646272455945","0","0","0","0.47715208460302916","0.47715208460302916","0.47715208460302916","0","0","0","0.507300961543532","0.507300961543532","0.507300961543532"
"2","1","1","1","0.6932536363601685","0.6932536363601685","0.6932536363601685","1","1","1","0.6048029926088121","0.6048029926088121","0.6048029926088121","1","1","1","0.39992712218971815","0.39992712218971815","0.39992712218971815","1","1","1","0.5461834914544049","0.5461834914544049","0.5461834914544049","1","1","1","0.39527888157788443","0.39527888157788443","0.39527888157788443"
"3","2","2","2","0.6937968492507934","0.6937968492507934","0.6937968492507934","2","2","2","0.4556083016925388","0.4556083016925388","0.4556083016925388","2","2","2","0.37233221333693056","0.37233221333693056","0.37233221333693056","2","2","2","0.39339010198326674","0.39339010198326674","0.39339010198326674","2","2","2","0.36131266855141697","0.36131266855141697","0.36131266855141697"
"4","3","3","3","0.6935227632522583","0.6935227632522583","0.6935227632522583","3","3","3","0.37609582642714184","0.37609582642714184","0.37609582642714184","3","3","3","0.4103514843565576","0.4103514843565576","0.4103514843565576","3","3","3","0.3534882804926704","0.3534882804926704","0.3534882804926704","3","3","3","0.3790562038912493","0.3790562038912493","0.3790562038912493"
"5","4","4","4","0.6929373741149902","0.6929373741149902","0.6929373741149902","4","4","4","0.388695799642139","0.388695799642139","0.388695799642139","4","4","4","0.46441393498988714","0.46441393498988714","0.46441393498988714","4","4","4","0.4263526641708963","0.4263526641708963","0.4263526641708963","4","4","4","0.4724261841791518","0.4724261841791518","0.4724261841791518"
"6","5","5","5","0.6802506446838379","0.6802506446838379","0.6802506446838379","5","5","5","0.39472318689028424","0.39472318689028424","0.39472318689028424","5","5","5","0.37436215776730986","0.37436215776730986","0.37436215776730986","5","5","5","0.34991225578329144","0.34991225578329144","0.34991225578329144","5","5","5","0.4120493673664682","0.4120493673664682","0.4120493673664682"
"7","6","6","6","0.6080538034439087","0.6080538034439087","0.6080538034439087","6","6","6","0.3315770692295498","0.3315770692295498","0.3315770692295498","6","6","6","0.3014577455161249","0.3014577455161249","0.3014577455161249","6","6","6","0.3110494420808904","0.3110494420808904","0.3110494420808904","6","6","6","0.30037614018382397","0.30037614018382397","0.30037614018382397"
"8","7","7","7","0.5436295628547668","0.5436295628547668","0.5436295628547668","7","7","7","0.3036680155330234","0.3036680155330234","0.3036680155330234","7","7","7","0.3213411359226002","0.3213411359226002","0.3213411359226002","7","7","7","0.2901919832562699","0.2901919832562699","0.2901919832562699","7","7","7","0.2936371897949892","0.2936371897949892","0.2936371897949892"
"9","8","8","8","0.46163849234580995","0.46163849234580995","0.46163849234580995","8","8","8","0.3013302700387107","0.3013302700387107","0.3013302700387107","8","8","8","0.2594535320668536","0.2594535320668536","0.2594535320668536","8","8","8","0.3159572092597099","0.3159572092597099","0.3159572092597099","8","8","8","0.25286552720867533","0.25286552720867533","0.25286552720867533"
"10","9","9","9","0.5073994994163513","0.5073994994163513","0.5073994994163513","9","9","9","0.3575867960850398","0.3575867960850398","0.3575867960850398","9","9","9","0.32580479563159104","0.32580479563159104","0.32580479563159104","9","9","9","0.30186039231279316","0.30186039231279316","0.30186039231279316","9","9","9","0.2687610354657997","0.2687610354657997","0.2687610354657997"
