run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,glioma_samples,batch_size,learning_rate,epochs
gpn0l91d,trainpercent_1_run_1,92.73927392739274,92.4836601276966,92.9999999969,88.32391713747646,1057,16,0.0005,1000
cq8lha7x,trainpercent_0.9_run_1,91.91419141914191,91.17647058525566,92.66666666357779,92.27871939736346,951,16,0.0005,1000
96c5b65c,trainpercent_0.8_run_1,92.07920792079209,94.77124182696825,89.33333333035556,89.83050847457628,845,16,0.0005,1000
klmtu3cu,trainpercent_0.7_run_1,90.0990099009901,94.77124182696825,85.3333333304889,90.96045197740112,739,16,0.0005,1000
ix2engui,trainpercent_0.6_run_1,88.94389438943894,92.81045751330684,84.99999999716667,90.58380414312616,634,16,0.0005,1000
0gpjhymz,trainpercent_0.5_run_1,88.28382838283828,93.13725489891708,83.33333333055555,89.45386064030131,528,16,0.0005,1000
i1dlgmhz,trainpercent_0.4_run_1,87.29372937293729,84.64052287305095,89.999999997,87.94726930320151,422,16,0.0005,1000
ar3yy4ox,trainpercent_0.3_run_1,84.32343234323433,93.13725489891708,75.33333333082221,86.81732580037664,317,16,0.0005,1000
5ydvk2yp,trainpercent_0.2_run_1,85.8085808580858,92.15686274208637,79.33333333068889,86.06403013182674,211,16,0.0005,1000
1vnjrgzd,trainpercent_0.1_run_1,80.1980198019802,84.96732025866119,75.33333333082221,77.96610169491525,105,16,0.0005,1000
674dbf2p,trainpercent_1_run_2,94.88448844884488,93.79084967013756,95.9999999968,92.27871939736346,1057,16,0.0005,1000
me4uzxdw,trainpercent_0.9_run_2,91.08910891089108,92.4836601276966,89.66666666367777,92.09039548022598,951,16,0.0005,1000
uebt5dh4,trainpercent_0.8_run_2,92.73927392739274,91.83006535647614,93.66666666354445,91.33709981167608,845,16,0.0005,1000
4ecdrzx2,trainpercent_0.7_run_2,91.91419141914191,90.19607842842497,93.66666666354445,90.96045197740112,739,16,0.0005,1000
pyqjjv0u,trainpercent_0.6_run_2,89.27392739273927,88.88888888598402,89.66666666367777,91.33709981167608,634,16,0.0005,1000
8ry2gx78,trainpercent_0.5_run_2,86.13861386138613,88.88888888598402,83.33333333055555,88.88888888888889,528,16,0.0005,1000
