glioma_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
105,74.68646864686468,7.187937309958256,0.9464052287272416,0.04951816189348196,0.5433333333152223,0.17803453680166445
211,82.67326732673267,3.2975786110719145,0.9395424836294268,0.0359394590104238,0.7116666666429444,0.08958408698781434
317,85.33003300330033,1.7227350444942304,0.9071895424540134,0.041685707695980206,0.7983333333067222,0.054347987115502185
422,85.75907590759076,2.396435065420206,0.9264705882050173,0.017581712844271798,0.7873333333070889,0.043170634736814505
528,88.08580858085809,2.1300698096792203,0.9369281045445449,0.029834372064670597,0.8236666666392111,0.04267158536320717
634,88.4983498349835,1.0836223215330978,0.927450980361848,0.014018046136487805,0.841666666638611,0.01813869746307817
739,90.95709570957095,1.161124295001866,0.9307189542179504,0.019836478674889885,0.8879999999703999,0.029447588929644962
845,91.71617161716172,1.2368289832831867,0.9294117646755093,0.02564891094079394,0.9046666666365111,0.01833838314230228
951,92.60726072607261,0.7289007161046102,0.9392156862438164,0.012534335392742875,0.9126666666362444,0.017902341387067998
1057,93.3003300330033,0.7509812174202852,0.9375816993157653,0.02904434426866647,0.9283333333023889,0.026631921808460905
