run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,glioma_samples,batch_size,learning_rate,epochs
1ex0ym7e,trainpercent_1_run_1,94.3894389438944,0.9575163398379896,0.929999999969,91.71374764595105,1057,16,0.0005,1000
9h8godys,trainpercent_0.9_run_1,91.91419141914191,0.9313725489891708,0.9066666666364444,92.09039548022598,951,16,0.0005,1000
4yvxmsu4,trainpercent_0.8_run_1,91.74917491749174,0.941176470557478,0.8933333333035556,90.96045197740112,845,16,0.0005,1000
7zpmy2d3,trainpercent_0.7_run_1,89.93399339933994,0.9183006535647614,0.8799999999706667,90.96045197740112,739,16,0.0005,1000
fp78ejge,trainpercent_0.6_run_1,88.28382838283828,0.9313725489891708,0.8333333333055555,89.83050847457628,634,16,0.0005,1000
hpl8wmf3,trainpercent_0.5_run_1,86.63366336633663,0.9836601306868084,0.7466666666417777,89.6421845574388,528,16,0.0005,1000
0miqza8v,trainpercent_0.4_run_1,88.94389438943894,0.9183006535647614,0.8599999999713334,88.70056497175142,422,16,0.0005,1000
lu2vaaho,trainpercent_0.3_run_1,85.64356435643565,0.8790849672915332,0.8333333333055555,85.12241054613936,317,16,0.0005,1000
s25ym2la,trainpercent_0.2_run_1,83.33333333333333,0.8758169934354308,0.7899999999736667,81.16760828625236,211,16,0.0005,1000
nbirgck5,trainpercent_0.1_run_1,76.4026402640264,0.9673202614062968,0.556666666648111,81.35593220338984,105,16,0.0005,1000
aqytvnr6,trainpercent_1_run_2,92.73927392739274,0.9281045751330684,0.9266666666357778,91.71374764595105,1057,16,0.0005,1000
jrt15dpp,trainpercent_0.9_run_2,91.91419141914191,0.9183006535647614,0.9199999999693332,90.58380414312616,951,16,0.0005,1000
am4ebsgl,trainpercent_0.8_run_2,93.06930693069307,0.970588235262399,0.8899999999703333,92.46704331450094,845,16,0.0005,1000
7sy3jvej,trainpercent_0.7_run_2,90.92409240924091,0.9379084967013755,0.8799999999706667,92.8436911487759,739,16,0.0005,1000
u40rtvmy,trainpercent_0.6_run_2,88.77887788778878,0.9379084967013755,0.8366666666387778,88.51224105461394,634,16,0.0005,1000
l4plhxvg,trainpercent_0.5_run_2,88.44884488448845,0.9379084967013755,0.8299999999723333,88.13559322033898,528,16,0.0005,1000
gt7nul8o,trainpercent_0.4_run_2,88.61386138613861,0.9379084967013755,0.8333333333055555,87.1939736346516,422,16,0.0005,1000
wdd8yl1z,trainpercent_0.3_run_2,83.16831683168317,0.9477124182696826,0.7133333333095555,87.00564971751412,317,16,0.0005,1000
15fgn0t3,trainpercent_0.2_run_2,79.70297029702971,0.960784313694092,0.629999999979,75.51789077212806,211,16,0.0005,1000
p5qtj6mf,trainpercent_0.1_run_2,80.52805280528052,0.9509803921257848,0.6566666666447778,75.70621468926554,105,16,0.0005,1000
ho2ktpjn,trainpercent_1_run_3,92.40924092409242,0.9738562091185016,0.8733333333042222,92.09039548022598,1057,16,0.0005,1000
175it3rx,trainpercent_0.9_run_3,93.72937293729372,0.9477124182696826,0.9266666666357778,91.52542372881356,951,16,0.0005,1000
tc8z8o0k,trainpercent_0.8_run_3,90.5940594059406,0.905228758140352,0.9066666666364444,90.3954802259887,845,16,0.0005,1000
ki9wxcjq,trainpercent_0.7_run_3,90.26402640264028,0.9084967319964544,0.8966666666367777,89.45386064030131,739,16,0.0005,1000
d8v7qse9,trainpercent_0.6_run_3,90.26402640264028,0.941176470557478,0.8633333333045555,89.6421845574388,634,16,0.0005,1000
2nwcwjcd,trainpercent_0.5_run_3,86.46864686468646,0.8725490195793284,0.8566666666381111,86.25235404896422,528,16,0.0005,1000
fdwgrlu5,trainpercent_0.4_run_3,85.47854785478548,0.9019607842842496,0.8066666666397777,87.1939736346516,422,16,0.0005,1000
8gxtlspg,trainpercent_0.3_run_3,86.46864686468646,0.9215686274208638,0.8066666666397777,85.68738229755178,317,16,0.0005,1000
fcwdhb8j,trainpercent_0.2_run_3,86.13861386138613,0.9019607842842496,0.8199999999726666,84.7457627118644,211,16,0.0005,1000
haaufqfi,trainpercent_0.1_run_3,77.88778877887789,0.924836601276966,0.629999999979,77.77777777777779,105,16,0.0005,1000
frt5kimj,trainpercent_1_run_4,93.3993399339934,0.9313725489891708,0.9366666666354444,90.20715630885122,1057,16,0.0005,1000
nbaqvzvx,trainpercent_0.9_run_4,92.73927392739274,0.924836601276966,0.929999999969,91.71374764595105,951,16,0.0005,1000
eg7y5qs0,trainpercent_0.8_run_4,92.07920792079209,0.924836601276966,0.9166666666361112,90.20715630885122,845,16,0.0005,1000
5vdjhr57,trainpercent_0.7_run_4,89.10891089108911,0.9444444444135802,0.8366666666387778,91.52542372881356,739,16,0.0005,1000
bgyzdk4n,trainpercent_0.6_run_4,88.44884488448845,0.9019607842842496,0.8666666666377778,91.1487758945386,634,16,0.0005,1000
f5oof4t0,trainpercent_0.5_run_4,87.45874587458746,0.9379084967013755,0.809999999973,90.77212806026364,528,16,0.0005,1000
5io08pxz,trainpercent_0.4_run_4,82.67326732673267,0.9183006535647614,0.7333333333088888,86.81732580037664,422,16,0.0005,1000
phbkbiju,trainpercent_0.3_run_4,84.81848184818482,0.9215686274208638,0.7733333333075555,86.4406779661017,317,16,0.0005,1000
e4iglfct,trainpercent_0.2_run_4,86.46864686468646,0.9542483659818872,0.7733333333075555,84.55743879472693,211,16,0.0005,1000
6yhpxlb9,trainpercent_0.1_run_4,80.36303630363037,0.9313725489891708,0.6733333333108888,74.57627118644068,105,16,0.0005,1000
i62t8ij9,trainpercent_1_run_5,94.05940594059406,0.970588235262399,0.9099999999696666,92.27871939736346,1057,16,0.0005,1000
mx23zstc,trainpercent_0.9_run_5,93.56435643564356,0.9444444444135802,0.9266666666357778,86.4406779661017,951,16,0.0005,1000
rubo9f5x,trainpercent_0.8_run_5,90.75907590759076,0.9281045751330684,0.8866666666371111,91.71374764595105,845,16,0.0005,1000
gxl7pds6,trainpercent_0.7_run_5,92.57425742574256,0.9346405228452732,0.9166666666361112,90.58380414312616,739,16,0.0005,1000
hfwk6g5k,trainpercent_0.6_run_5,86.79867986798679,0.9084967319964544,0.826666666639111,88.88888888888889,634,16,0.0005,1000
w8c12iib,trainpercent_0.5_run_5,88.94389438943894,0.941176470557478,0.8366666666387778,90.20715630885122,528,16,0.0005,1000
h0n4k4p1,trainpercent_0.4_run_5,83.33333333333333,0.9313725489891708,0.7333333333088888,88.88888888888889,422,16,0.0005,1000
fo9fuug4,trainpercent_0.3_run_5,86.63366336633663,0.9019607842842496,0.8299999999723333,85.49905838041431,317,16,0.0005,1000
oltdevn3,trainpercent_0.2_run_5,84.48844884488449,0.8986928104281473,0.7899999999736667,80.41431261770245,211,16,0.0005,1000
i4quzd1i,trainpercent_0.1_run_5,76.4026402640264,0.9509803921257848,0.5733333333142222,66.85499058380414,105,16,0.0005,1000
qss1lhjs,trainpercent_1_run_6,92.73927392739274,0.941176470557478,0.9133333333028888,92.27871939736346,1057,16,0.0005,1000
6lrk3jnf,trainpercent_0.9_run_6,92.57425742574256,0.9313725489891708,0.9199999999693332,93.03201506591336,951,16,0.0005,1000
qqhf8bvv,trainpercent_0.8_run_6,93.06930693069307,0.9379084967013755,0.9233333333025556,91.90207156308853,845,16,0.0005,1000
d3f3qdfe,trainpercent_0.7_run_6,92.24422442244224,0.9575163398379896,0.8866666666371111,92.09039548022598,739,16,0.0005,1000
7r4aekw1,trainpercent_0.6_run_6,87.29372937293729,0.9346405228452732,0.809999999973,88.88888888888889,634,16,0.0005,1000
4kvx0qom,trainpercent_0.5_run_6,88.44884488448845,0.9346405228452732,0.8333333333055555,90.3954802259887,528,16,0.0005,1000
l16bx97m,trainpercent_0.4_run_6,87.7887788778878,0.9444444444135802,0.809999999973,87.94726930320151,422,16,0.0005,1000
wqy0iw24,trainpercent_0.3_run_6,83.99339933993399,0.813725490169486,0.8666666666377778,84.93408662900188,317,16,0.0005,1000
otm7b8ok,trainpercent_0.2_run_6,86.13861386138613,0.9313725489891708,0.7899999999736667,83.80414312617702,211,16,0.0005,1000
z3in33co,trainpercent_0.1_run_6,59.73597359735974,0.996732026111218,0.18999999999366665,63.653483992467045,105,16,0.0005,1000
486aaipn,trainpercent_1_run_7,94.05940594059406,0.9379084967013755,0.9433333333018888,91.1487758945386,1057,16,0.0005,1000
