tumor_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
212,81.86943620178042,8.108107123874273,0.8978547854637318,0.038913816207428835,0.7002469135629569,0.25436013921512346
425,89.80217606330366,1.2610575587869381,0.8915841584011289,0.017943094429260804,0.9076543209652431,0.02851587586186743
638,90.33630069238379,2.3229927292401844,0.8958745874439625,0.016961862753573784,0.9145679012119861,0.06219521699181853
851,93.66963402571712,1.153501858525277,0.9183168316680146,0.015109000764129547,0.9641975308403902,0.02030271009586741
1064,94.20375865479723,0.8485701519100805,0.9270627062553289,0.015592870969953508,0.964444444420631,0.0134838830721098
1276,91.9188921859545,11.273365966037547,0.9440594059250156,0.025769944923291113,0.8819753086201981,0.31001352318443764
1489,96.1028684470821,0.6919126087477546,0.9468646864530219,0.009520878558002996,0.9822222221979697,0.011801447459089629
1702,96.7457962413452,1.0819701469959735,0.9511551154958555,0.014967157409228797,0.9918518518273617,0.006891007634046979
1915,96.64688427299703,1.1233756223219535,0.9514851484991504,0.012402490185816281,0.9888888888644718,0.011118729288701808
2128,92.03758654797231,18.26920983938268,0.8701320131869614,0.30583360042644386,0.995555555530974,0.003643776727676066
