run_id,name,test_accuracy,test_sensitivity,test_specificity,val_accuracy,tumor_samples,batch_size,learning_rate,epochs
ptdeyf1g,trainpercent_1_run_1,98.0217606330366,97.35973597199076,99.0123456765676,98.35487661574618,2128,128,0.005,1000
ddzdrkjk,trainpercent_0.9_run_1,96.93372898120673,95.37953795222145,99.25925925680839,98.2373678025852,1915,128,0.005,1000
q6cpcmrw,trainpercent_0.8_run_1,97.3293768545994,95.70957095551634,99.75308641729004,98.00235017626322,1702,128,0.005,1000
xusc85ff,trainpercent_0.7_run_1,97.13155291790306,96.20462046045868,98.51851851608596,97.53231492361928,1489,128,0.005,1000
gzz6c01w,trainpercent_0.6_run_1,95.84569732937686,94.7194719456317,97.53086419512267,97.41480611045829,1276,128,0.005,1000
dzc188ql,trainpercent_0.5_run_1,93.96636993076162,94.05940593904192,93.82716049151044,97.53231492361928,1064,128,0.005,1000
7w3rupet,trainpercent_0.4_run_1,92.08704253214638,89.43894389291354,96.0493827136778,97.88484136310224,851,128,0.005,1000
lr37afrp,trainpercent_0.3_run_1,92.6805143422354,91.08910890938796,95.06172839271451,97.41480611045829,638,128,0.005,1000
jznr5owq,trainpercent_0.2_run_1,88.62512363996044,90.26402640115077,86.17283950404511,96.23971797884842,425,128,0.005,1000
0b4yhu9i,trainpercent_0.1_run_1,78.93175074183976,89.2739273912661,63.45679012188995,95.29964747356053,212,128,0.005,1000
gpsd900c,trainpercent_1_run_2,97.62611275964392,96.36963696210611,99.50617283704925,97.76733254994124,2128,128,0.005,1000
6ct5g944,trainpercent_0.9_run_2,96.83481701285857,95.5445544538689,98.76543209632678,97.88484136310224,1915,128,0.005,1000
fhd83lml,trainpercent_0.8_run_2,94.75766567754698,92.90429042750984,97.53086419512267,97.88484136310224,1702,128,0.005,1000
2ceo66mg,trainpercent_0.7_run_2,95.54896142433236,93.06930692915728,99.25925925680839,98.58989424206815,1489,128,0.005,1000
g4tqjsej,trainpercent_0.6_run_2,59.940652818991104,99.99999999834984,0.0,62.51468860164512,1276,128,0.005,1000
1qkx53c5,trainpercent_0.5_run_2,94.75766567754698,94.7194719456317,94.8148148124737,97.88484136310224,1064,128,0.005,1000
uiqbzyfw,trainpercent_0.4_run_2,93.6696340257171,93.39933993245216,94.07407407175126,96.94477085781432,851,128,0.005,1000
ifdlbpab,trainpercent_0.3_run_2,89.21859545004945,88.4488448830289,90.37037036813899,97.17978848413632,638,128,0.005,1000
ovhoaad9,trainpercent_0.2_run_2,90.4055390702275,87.78877887643914,94.32098765199208,96.12220916568742,425,128,0.005,1000
p41h70as,trainpercent_0.1_run_2,83.18496538081108,85.97359735831726,79.01234567706142,94.5945945945946,212,128,0.005,1000
dcwxg9j6,trainpercent_1_run_3,97.62611275964392,96.03960395881124,99.99999999753086,98.47238542890716,2128,128,0.005,1000
tr7g51q1,trainpercent_0.9_run_3,94.16419386745795,92.90429042750984,96.0493827136778,98.00235017626322,1915,128,0.005,1000
n9c0ncct,trainpercent_0.8_run_3,98.41740850642928,97.5247524736382,99.75308641729004,98.47238542890716,1702,128,0.005,1000
3vddfnrp,trainpercent_0.7_run_3,94.75766567754698,93.72937293574704,96.2962962939186,98.35487661574618,1489,128,0.005,1000
g8gf72uk,trainpercent_0.6_run_3,95.84569732937686,95.04950494892658,97.03703703464106,98.00235017626322,1276,128,0.005,1000
t3lx04cc,trainpercent_0.5_run_3,94.46092977250248,92.57425742421496,97.28395061488187,97.2972972972973,1064,128,0.005,1000
cwnio1td,trainpercent_0.4_run_3,94.75766567754698,92.90429042750984,97.53086419512267,98.35487661574618,851,128,0.005,1000
ugotceav,trainpercent_0.3_run_3,92.48269040553907,89.60396039456099,96.79012345440024,96.82726204465337,638,128,0.005,1000
sfn64tro,trainpercent_0.2_run_3,89.61424332344214,89.10891088961867,90.37037036813899,96.3572267920094,425,128,0.005,1000
g6jb6jh2,trainpercent_0.1_run_3,85.16320474777447,87.95379537808657,80.98765431898795,92.47943595769684,212,128,0.005,1000
j2lmm9in,trainpercent_1_run_4,98.21958456973294,97.02970296869587,99.99999999753086,98.58989424206815,2128,128,0.005,1000
cv84ug8c,trainpercent_0.9_run_4,97.82393669634024,96.36963696210611,99.99999999753086,98.2373678025852,1915,128,0.005,1000
4dx5q0gg,trainpercent_0.8_run_4,97.3293768545994,95.5445544538689,99.99999999753086,97.88484136310224,1702,128,0.005,1000
j0nwugl9,trainpercent_0.7_run_4,96.3402571711177,95.37953795222145,97.77777777536352,98.00235017626322,1489,128,0.005,1000
5htpt26i,trainpercent_0.6_run_4,96.43916913946587,94.22442244068935,99.75308641729004,98.47238542890716,1276,128,0.005,1000
l4quwkpo,trainpercent_0.5_run_4,95.0544015825915,93.39933993245216,97.53086419512267,97.2972972972973,1064,128,0.005,1000
ue5fuldi,trainpercent_0.4_run_4,93.96636993076162,92.07920791927262,96.79012345440024,97.76733254994124,851,128,0.005,1000
urx4s3vj,trainpercent_0.3_run_4,87.83382789317507,92.73927392586239,80.49382715850632,96.23971797884842,638,128,0.005,1000
i5pq6s0q,trainpercent_0.2_run_4,88.62512363996044,87.95379537808657,89.62962962741655,95.88719153936546,425,128,0.005,1000
4osll0hh,trainpercent_0.1_run_4,85.65776458951532,91.41914191268286,77.03703703513489,95.65217391304348,212,128,0.005,1000
xsr0n5bg,trainpercent_1_run_5,96.83481701285857,95.21452145057403,99.25925925680839,98.35487661574618,2128,128,0.005,1000
ku8mhu0v,trainpercent_0.9_run_5,96.7359050445104,95.21452145057403,99.0123456765676,98.2373678025852,1915,128,0.005,1000
hwfbg46m,trainpercent_0.8_run_5,95.74678536102869,93.39933993245216,99.25925925680839,98.00235017626322,1702,128,0.005,1000
03ut5zm5,trainpercent_0.7_run_5,95.64787339268052,94.3894389423368,97.53086419512267,97.76733254994124,1489,128,0.005,1000
ukh6flqp,trainpercent_0.6_run_5,94.65875370919882,91.74917491597773,99.0123456765676,98.00235017626322,1276,128,0.005,1000
0uinh65s,trainpercent_0.5_run_5,95.74678536102869,94.7194719456317,97.28395061488187,97.88484136310224,1064,128,0.005,1000
dnkmee9v,trainpercent_0.4_run_5,94.16419386745795,92.24422442092006,97.03703703464106,97.2972972972973,851,128,0.005,1000
2h020z6i,trainpercent_0.3_run_5,90.4055390702275,91.58415841433029,88.64197530645328,96.59224441833138,638,128,0.005,1000
hwwdhpkk,trainpercent_0.2_run_5,88.52621167161226,86.96369636820191,90.86419752862064,96.70975323149236,425,128,0.005,1000
3923n4ce,trainpercent_0.1_run_5,87.63600395647873,89.93399339785587,84.19753086211857,95.88719153936546,212,128,0.005,1000
wxqkz8dt,trainpercent_1_run_6,98.3184965380811,97.5247524736382,99.50617283704925,98.47238542890716,2128,128,0.005,1000
cezyn3g6,trainpercent_0.9_run_6,97.82393669634024,96.699669965401,99.50617283704925,98.00235017626322,1915,128,0.005,1000
mgllpc6v,trainpercent_0.8_run_6,95.84569732937686,93.72937293574704,99.0123456765676,97.64982373678026,1702,128,0.005,1000
1yrvhaw6,trainpercent_0.7_run_6,95.74678536102869,94.22442244068935,98.02469135560432,97.41480611045829,1489,128,0.005,1000
d8lpyjxc,trainpercent_0.6_run_6,97.23046488625124,97.19471947034332,97.28395061488187,97.88484136310224,1276,128,0.005,1000
50mirnqg,trainpercent_0.5_run_6,93.76854599406528,91.91419141762518,96.54320987415944,97.2972972972973,1064,128,0.005,1000
auou5l39,trainpercent_0.4_run_6,93.27398615232444,89.60396039456099,98.76543209632678,97.64982373678026,851,128,0.005,1000
t0v3mi5h,trainpercent_0.3_run_6,86.84470820969338,87.95379537808657,85.18518518308184,96.00470035252644,638,128,0.005,1000
vascy9y5,trainpercent_0.2_run_6,90.4055390702275,92.4092409225675,87.40740740524919,95.88719153936546,425,128,0.005,1000
8qp9em77,trainpercent_0.1_run_6,85.7566765578635,87.12871286984935,83.70370370163694,95.41715628672152,212,128,0.005,1000
p6ruofud,trainpercent_1_run_7,40.0593471810089,0.0,99.99999999753086,62.51468860164512,2128,128,0.005,1000
kwhmv0tr,trainpercent_0.9_run_7,96.14243323442136,94.7194719456317,98.27160493584516,97.53231492361928,1915,128,0.005,1000
fre5uxgv,trainpercent_0.8_run_7,97.42828882294758,96.20462046045868,99.25925925680839,98.35487661574618,1702,128,0.005,1000
dgycrn1q,trainpercent_0.7_run_7,96.3402571711177,95.87458745716378,97.03703703464106,98.2373678025852,1489,128,0.005,1000
5epte0ss,trainpercent_0.6_run_7,95.15331355093969,93.72937293574704,97.28395061488187,97.53231492361928,1276,128,0.005,1000
4k9jmlud,trainpercent_0.5_run_7,93.3728981206726,90.09900989950333,98.27160493584516,97.41480611045829,1064,128,0.005,1000
n4q3r25t,trainpercent_0.4_run_7,91.59248269040556,91.2541254110354,92.09876542982472,96.82726204465337,851,128,0.005,1000
mifkqhti,trainpercent_0.3_run_7,91.59248269040556,88.61386138467634,96.0493827136778,96.82726204465337,638,128,0.005,1000
ya7jrjx9,trainpercent_0.2_run_7,92.58160237388724,90.4290429027982,95.80246913343696,96.4747356051704,425,128,0.005,1000
762f1x0y,trainpercent_0.1_run_7,59.940652818991104,99.99999999834984,0.0,62.51468860164512,212,128,0.005,1000
73wxlnfh,trainpercent_1_run_8,97.72502472799208,96.36963696210611,99.75308641729004,98.47238542890716,2128,128,0.005,1000
gdqdncum,trainpercent_0.9_run_8,95.94460929772502,93.72937293574704,99.25925925680839,98.35487661574618,1915,128,0.005,1000
te3qmbti,trainpercent_0.8_run_8,97.23046488625124,96.20462046045868,98.76543209632678,98.35487661574618,1702,128,0.005,1000
9l38yu1l,trainpercent_0.7_run_8,96.6369930761622,94.3894389423368,99.99999999753086,98.1198589894242,1489,128,0.005,1000
2rovk8ac,trainpercent_0.6_run_8,95.351137487636,93.39933993245216,98.27160493584516,98.1198589894242,1276,128,0.005,1000
t8tcidak,trainpercent_0.5_run_8,92.87833827893176,90.75907590609307,96.0493827136778,97.41480611045829,1064,128,0.005,1000
jlfyhw00,trainpercent_0.4_run_8,95.0544015825915,94.05940593904192,96.54320987415944,97.41480611045829,851,128,0.005,1000
vgswwxbt,trainpercent_0.3_run_8,87.53709198813057,88.61386138467634,85.92592592380429,96.12220916568742,638,128,0.005,1000
mihgttsl,trainpercent_0.2_run_8,88.92185954500495,86.96369636820191,91.8518518495839,95.18213866039952,425,128,0.005,1000
n4ackcib,trainpercent_0.1_run_8,81.50346191889219,88.77887788632378,70.61728394887365,95.29964747356053,212,128,0.005,1000
3lps8zg3,trainpercent_1_run_9,98.41740850642928,97.85478547693309,99.25925925680839,98.58989424206815,2128,128,0.005,1000
s0mqxrqg,trainpercent_0.9_run_9,96.24134520276954,94.3894389423368,99.0123456765676,97.88484136310224,1915,128,0.005,1000
p6zhjb7g,trainpercent_0.8_run_9,97.23046488625124,95.87458745716378,99.25925925680839,98.2373678025852,1702,128,0.005,1000
p138mf1u,trainpercent_0.7_run_9,96.14243323442136,94.88448844727914,98.02469135560432,97.41480611045829,1489,128,0.005,1000
lhms4t3z,trainpercent_0.6_run_9,94.26310583580614,92.07920791927262,97.53086419512267,97.88484136310224,1276,128,0.005,1000
21unc9j8,trainpercent_0.5_run_9,94.3620178041543,92.57425742421496,97.03703703464106,97.64982373678026,1064,128,0.005,1000
7glxmk95,trainpercent_0.4_run_9,93.27398615232444,91.08910890938796,96.54320987415944,97.53231492361928,851,128,0.005,1000
y4frtk58,trainpercent_0.3_run_9,91.69139465875372,87.62376237479168,97.77777777536352,95.76968272620446,638,128,0.005,1000
ip47o6z1,trainpercent_0.2_run_9,90.60336300692384,90.75907590609307,90.37037036813899,96.00470035252644,425,128,0.005,1000
yyubinfw,trainpercent_0.1_run_9,86.15232443125618,88.11881187973401,83.20987654115531,96.00470035252644,212,128,0.005,1000
11i2jy10,trainpercent_1_run_10,97.52720079129574,96.36963696210611,99.25925925680839,98.47238542890716,2128,128,0.005,1000
8vwva2vc,trainpercent_0.9_run_10,97.82393669634024,96.53465346375356,99.75308641729004,98.1198589894242,1915,128,0.005,1000
u4djd9uu,trainpercent_0.8_run_10,96.14243323442136,94.05940593904192,99.25925925680839,97.88484136310224,1702,128,0.005,1000
wfkj1ith,trainpercent_0.7_run_10,96.7359050445104,94.7194719456317,99.75308641729004,98.2373678025852,1489,128,0.005,1000
3q9x9blo,trainpercent_0.6_run_10,94.46092977250248,91.91419141762518,98.27160493584516,97.41480611045829,1276,128,0.005,1000
gxyhfq2g,trainpercent_0.5_run_10,93.6696340257171,92.24422442092006,95.80246913343696,98.1198589894242,1064,128,0.005,1000
82av9heb,trainpercent_0.4_run_10,94.85657764589516,92.24422442092006,98.76543209632678,98.35487661574618,851,128,0.005,1000
