2025-05-14 14:45:55,442 INFO    Thread-13 :1700418 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-14 14:45:55,443 INFO    Thread-13 :1700418 [wandb_setup.py:_flush():70] Configure stats pid to 1700418
2025-05-14 14:45:55,443 INFO    Thread-13 :1700418 [wandb_setup.py:_flush():70] Loading settings from /nfs/homes/sdreyer/.config/wandb/settings
2025-05-14 14:45:55,443 INFO    Thread-13 :1700418 [wandb_setup.py:_flush():70] Loading settings from /nfs/homes/sdreyer/Digit-Classification-Pytorch/wandb/settings
2025-05-14 14:45:55,443 INFO    Thread-13 :1700418 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-14 14:45:55,444 INFO    Thread-13 :1700418 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /nfs/homes/sdreyer/Digit-Classification-Pytorch/wandb/run-20250514_144555-ccli6m8p/logs/debug.log
2025-05-14 14:45:55,444 INFO    Thread-13 :1700418 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /nfs/homes/sdreyer/Digit-Classification-Pytorch/wandb/run-20250514_144555-ccli6m8p/logs/debug-internal.log
2025-05-14 14:45:55,444 INFO    Thread-13 :1700418 [wandb_init.py:init():852] calling init triggers
2025-05-14 14:45:55,444 INFO    Thread-13 :1700418 [wandb_init.py:init():857] wandb.init called with sweep_config: {'batch_size': 32, 'epochs': 5, 'learning_rate': 0.0001, 'optimizer': 'Adam'}
config: {'_wandb': {}}
2025-05-14 14:45:55,445 INFO    Thread-13 :1700418 [wandb_init.py:init():893] starting backend
2025-05-14 14:45:55,445 INFO    Thread-13 :1700418 [wandb_init.py:init():897] sending inform_init request
2025-05-14 14:45:55,446 INFO    Thread-13 :1700418 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-14 14:45:55,446 INFO    Thread-13 :1700418 [wandb_init.py:init():907] backend started and connected
2025-05-14 14:45:55,446 INFO    Thread-13 :1700418 [wandb_run.py:_config_callback():1436] config_cb None None {'batch_size': 32, 'epochs': 5, 'learning_rate': 0.0001, 'optimizer': 'Adam'}
2025-05-14 14:45:55,448 INFO    Thread-13 :1700418 [wandb_init.py:init():1005] updated telemetry
2025-05-14 14:45:55,466 INFO    Thread-13 :1700418 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-14 14:45:55,886 INFO    Thread-13 :1700418 [wandb_init.py:init():1104] starting run threads in backend
2025-05-14 14:45:55,969 INFO    Thread-13 :1700418 [wandb_run.py:_console_start():2573] atexit reg
2025-05-14 14:45:55,969 INFO    Thread-13 :1700418 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-14 14:45:55,969 INFO    Thread-13 :1700418 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-14 14:45:55,970 INFO    Thread-13 :1700418 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-14 14:45:55,970 INFO    Thread-13 :1700418 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-14 14:49:55,434 INFO    Thread-13 :1700418 [wandb_run.py:_finish():2321] finishing run svenja-dreyer-tu-dortmund/sweep-image-classifier/ccli6m8p
2025-05-14 14:49:55,435 INFO    Thread-13 :1700418 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 0
2025-05-14 14:49:55,435 INFO    Thread-13 :1700418 [wandb_run.py:_restore():2520] restore
2025-05-14 14:49:55,435 INFO    Thread-13 :1700418 [wandb_run.py:_restore():2526] restore done
2025-05-14 14:49:56,572 INFO    Thread-13 :1700418 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-05-14 14:49:56,572 INFO    Thread-13 :1700418 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-05-14 14:49:56,573 INFO    Thread-13 :1700418 [wandb_run.py:_footer_sync_info():4149] logging synced files
