Epoch 1 | Train Loss: 0.6692 | Val Loss: 0.5459
Epoch 2 | Train Loss: 0.4383 | Val Loss: 0.3998
Epoch 3 | Train Loss: 0.3732 | Val Loss: 0.3521
Epoch 4 | Train Loss: 0.2884 | Val Loss: 0.3648
Epoch 5 | Train Loss: 0.2321 | Val Loss: 0.3509
Epoch 6 | Train Loss: 0.1822 | Val Loss: 0.2926
Epoch 7 | Train Loss: 0.1413 | Val Loss: 0.2584
Epoch 8 | Train Loss: 0.1246 | Val Loss: 0.3190
Epoch 9 | Train Loss: 0.0985 | Val Loss: 0.2759
Epoch 10 | Train Loss: 0.0817 | Val Loss: 0.2869
Epoch 11 | Train Loss: 0.0662 | Val Loss: 0.2519
Epoch 12 | Train Loss: 0.0420 | Val Loss: 0.2885
Epoch 13 | Train Loss: 0.0380 | Val Loss: 0.3773
Epoch 14 | Train Loss: 0.0493 | Val Loss: 0.4157
Epoch 15 | Train Loss: 0.0240 | Val Loss: 0.3550
Epoch 16 | Train Loss: 0.0450 | Val Loss: 0.3009
Epoch 17 | Train Loss: 0.0304 | Val Loss: 0.3724
Epoch 18 | Train Loss: 0.0231 | Val Loss: 0.4534
Epoch 19 | Train Loss: 0.0319 | Val Loss: 0.3723
Epoch 20 | Train Loss: 0.0301 | Val Loss: 0.4985
Epoch 21 | Train Loss: 0.0390 | Val Loss: 0.3652
Epoch 22 | Train Loss: 0.0283 | Val Loss: 0.3217
Epoch 23 | Train Loss: 0.0131 | Val Loss: 0.4230
Epoch 24 | Train Loss: 0.0179 | Val Loss: 0.4613
Epoch 25 | Train Loss: 0.0283 | Val Loss: 0.4651
Epoch 26 | Train Loss: 0.0114 | Val Loss: 0.4632
Epoch 27 | Train Loss: 0.0079 | Val Loss: 0.4825
Epoch 28 | Train Loss: 0.0170 | Val Loss: 0.3942
Epoch 29 | Train Loss: 0.0113 | Val Loss: 0.4908
Epoch 30 | Train Loss: 0.0120 | Val Loss: 0.6149
Epoch 31 | Train Loss: 0.0358 | Val Loss: 0.4678
Epoch 32 | Train Loss: 0.0456 | Val Loss: 0.3933
Epoch 33 | Train Loss: 0.0151 | Val Loss: 0.4112
Epoch 34 | Train Loss: 0.0121 | Val Loss: 0.5166
Epoch 35 | Train Loss: 0.0095 | Val Loss: 0.5649
Epoch 36 | Train Loss: 0.0168 | Val Loss: 0.3744
Epoch 37 | Train Loss: 0.0112 | Val Loss: 0.4339
Epoch 38 | Train Loss: 0.0176 | Val Loss: 0.4776
Epoch 39 | Train Loss: 0.0076 | Val Loss: 0.4259
Epoch 40 | Train Loss: 0.0027 | Val Loss: 0.4838
Epoch 41 | Train Loss: 0.0107 | Val Loss: 0.4224
Epoch 42 | Train Loss: 0.0057 | Val Loss: 0.5442
Epoch 43 | Train Loss: 0.0292 | Val Loss: 0.4697
Epoch 44 | Train Loss: 0.0240 | Val Loss: 0.4521
Epoch 45 | Train Loss: 0.0158 | Val Loss: 0.5687
Epoch 46 | Train Loss: 0.0256 | Val Loss: 0.3998
Epoch 47 | Train Loss: 0.0108 | Val Loss: 0.4113
Epoch 48 | Train Loss: 0.0256 | Val Loss: 0.4808
Epoch 49 | Train Loss: 0.0139 | Val Loss: 0.5127
Epoch 50 | Train Loss: 0.0180 | Val Loss: 0.6577
Epoch 51 | Train Loss: 0.0116 | Val Loss: 0.5493
Epoch 52 | Train Loss: 0.0027 | Val Loss: 0.6838
Epoch 53 | Train Loss: 0.0018 | Val Loss: 0.4993
Epoch 54 | Train Loss: 0.0003 | Val Loss: 0.5532
Epoch 55 | Train Loss: 0.0005 | Val Loss: 0.5726
Epoch 56 | Train Loss: 0.0089 | Val Loss: 0.4903
Epoch 57 | Train Loss: 0.0085 | Val Loss: 0.6040
Epoch 58 | Train Loss: 0.0148 | Val Loss: 0.5462
Epoch 59 | Train Loss: 0.0123 | Val Loss: 0.4705
Epoch 60 | Train Loss: 0.0136 | Val Loss: 0.5402
Epoch 61 | Train Loss: 0.0119 | Val Loss: 0.5748
Epoch 62 | Train Loss: 0.0222 | Val Loss: 0.8957
Epoch 63 | Train Loss: 0.0365 | Val Loss: 0.5205
Epoch 64 | Train Loss: 0.0191 | Val Loss: 0.4750
Epoch 65 | Train Loss: 0.0045 | Val Loss: 0.5486
Epoch 66 | Train Loss: 0.0091 | Val Loss: 0.5358
Epoch 67 | Train Loss: 0.0054 | Val Loss: 0.5991
Epoch 68 | Train Loss: 0.0074 | Val Loss: 0.5818
Epoch 69 | Train Loss: 0.0035 | Val Loss: 0.6214
Epoch 70 | Train Loss: 0.0008 | Val Loss: 0.5690
Epoch 71 | Train Loss: 0.0004 | Val Loss: 0.6227
Epoch 72 | Train Loss: 0.0003 | Val Loss: 0.5298
Epoch 73 | Train Loss: 0.0010 | Val Loss: 0.5996
Epoch 74 | Train Loss: 0.0079 | Val Loss: 0.6075
Epoch 75 | Train Loss: 0.0199 | Val Loss: 0.6085
Epoch 76 | Train Loss: 0.0229 | Val Loss: 0.5542
Epoch 77 | Train Loss: 0.0078 | Val Loss: 0.6029
Epoch 78 | Train Loss: 0.0032 | Val Loss: 0.5884
Epoch 79 | Train Loss: 0.0154 | Val Loss: 0.8986
Epoch 80 | Train Loss: 0.0147 | Val Loss: 0.6775
Epoch 81 | Train Loss: 0.0106 | Val Loss: 0.5107
Epoch 82 | Train Loss: 0.0051 | Val Loss: 0.7207
Epoch 83 | Train Loss: 0.0008 | Val Loss: 0.6094
Epoch 84 | Train Loss: 0.0016 | Val Loss: 0.6347
Epoch 85 | Train Loss: 0.0082 | Val Loss: 0.5513
Epoch 86 | Train Loss: 0.0026 | Val Loss: 0.5731
Epoch 87 | Train Loss: 0.0011 | Val Loss: 0.5141
Epoch 88 | Train Loss: 0.0004 | Val Loss: 0.5700
Epoch 89 | Train Loss: 0.0053 | Val Loss: 0.7556
Epoch 90 | Train Loss: 0.0145 | Val Loss: 0.6197
Epoch 91 | Train Loss: 0.0319 | Val Loss: 0.5555
Epoch 92 | Train Loss: 0.0129 | Val Loss: 0.5102
Epoch 93 | Train Loss: 0.0078 | Val Loss: 0.6260
Epoch 94 | Train Loss: 0.0166 | Val Loss: 0.4703
Epoch 95 | Train Loss: 0.0113 | Val Loss: 0.4542
Epoch 96 | Train Loss: 0.0061 | Val Loss: 0.5428
Epoch 97 | Train Loss: 0.0066 | Val Loss: 0.6645
Epoch 98 | Train Loss: 0.0044 | Val Loss: 0.6502
Epoch 99 | Train Loss: 0.0029 | Val Loss: 0.6370
Epoch 100 | Train Loss: 0.0026 | Val Loss: 0.6397

🔍 Testing on separate test set...
/nfs/homes/sdreyer/Digit-Classification-Pytorch/ClassSweep.py:143: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  classifier.load_state_dict(torch.load(model_path, map_location=device))
✅ Correct predictions:  961
❌ Incorrect predictions:  50
 Total tested images: 1011
 Accuracy: 95.0544015825915%
