Epoch 1 | Train Loss: 1.5854 | Val Loss: 0.6118
Epoch 2 | Train Loss: 0.5530 | Val Loss: 0.5585
Epoch 3 | Train Loss: 0.4856 | Val Loss: 0.5167
Epoch 4 | Train Loss: 0.4841 | Val Loss: 0.5345
Epoch 5 | Train Loss: 0.4597 | Val Loss: 0.5017
Epoch 6 | Train Loss: 0.4198 | Val Loss: 0.4469
Epoch 7 | Train Loss: 0.3974 | Val Loss: 0.4535
Epoch 8 | Train Loss: 0.3659 | Val Loss: 0.4145
Epoch 9 | Train Loss: 0.3958 | Val Loss: 0.4784
Epoch 10 | Train Loss: 0.3767 | Val Loss: 0.4225
Epoch 11 | Train Loss: 0.3679 | Val Loss: 0.4191
Epoch 12 | Train Loss: 0.3359 | Val Loss: 0.4441
Epoch 13 | Train Loss: 0.3230 | Val Loss: 0.4002
Epoch 14 | Train Loss: 0.3092 | Val Loss: 0.4308
Epoch 15 | Train Loss: 0.3130 | Val Loss: 0.4168
Epoch 16 | Train Loss: 0.3176 | Val Loss: 0.4498
Epoch 17 | Train Loss: 0.2973 | Val Loss: 0.5138
Epoch 18 | Train Loss: 0.2827 | Val Loss: 0.4639
Epoch 19 | Train Loss: 0.2651 | Val Loss: 0.4010
Epoch 20 | Train Loss: 0.2788 | Val Loss: 0.4567
Epoch 21 | Train Loss: 0.2759 | Val Loss: 0.4090
Epoch 22 | Train Loss: 0.2843 | Val Loss: 0.4367
Epoch 23 | Train Loss: 0.2476 | Val Loss: 0.5246
Epoch 24 | Train Loss: 0.2978 | Val Loss: 0.4337
Epoch 25 | Train Loss: 0.2534 | Val Loss: 0.4118
Epoch 26 | Train Loss: 0.2535 | Val Loss: 0.4422
Epoch 27 | Train Loss: 0.2944 | Val Loss: 0.5588
Epoch 28 | Train Loss: 0.2459 | Val Loss: 0.5804
Epoch 29 | Train Loss: 0.2417 | Val Loss: 0.3965
Epoch 30 | Train Loss: 0.2419 | Val Loss: 0.4124
Epoch 31 | Train Loss: 0.2402 | Val Loss: 0.4318
Epoch 32 | Train Loss: 0.2275 | Val Loss: 0.4648
Epoch 33 | Train Loss: 0.2427 | Val Loss: 0.3801
Epoch 34 | Train Loss: 0.2246 | Val Loss: 0.4751
Epoch 35 | Train Loss: 0.2257 | Val Loss: 0.4476
Epoch 36 | Train Loss: 0.2204 | Val Loss: 0.4297
Epoch 37 | Train Loss: 0.2420 | Val Loss: 0.4250
Epoch 38 | Train Loss: 0.5943 | Val Loss: 1.0890
Epoch 39 | Train Loss: 0.4725 | Val Loss: 0.5090
Epoch 40 | Train Loss: 0.2983 | Val Loss: 0.5485
Epoch 41 | Train Loss: 0.2385 | Val Loss: 0.4742
Epoch 42 | Train Loss: 0.2143 | Val Loss: 0.5115
Epoch 43 | Train Loss: 0.2651 | Val Loss: 0.4710
Epoch 44 | Train Loss: 0.2351 | Val Loss: 0.3964
Epoch 45 | Train Loss: 0.1839 | Val Loss: 0.6437
Epoch 46 | Train Loss: 0.2018 | Val Loss: 0.5710
Epoch 47 | Train Loss: 0.2044 | Val Loss: 0.4985
Epoch 48 | Train Loss: 0.1803 | Val Loss: 0.5401
Epoch 49 | Train Loss: 0.2129 | Val Loss: 0.4686
Epoch 50 | Train Loss: 0.2040 | Val Loss: 0.4736
Epoch 51 | Train Loss: 0.1965 | Val Loss: 0.5496
Epoch 52 | Train Loss: 0.1760 | Val Loss: 0.5021
Epoch 53 | Train Loss: 0.2265 | Val Loss: 0.5260
Epoch 54 | Train Loss: 0.1859 | Val Loss: 0.4463
Epoch 55 | Train Loss: 0.1642 | Val Loss: 0.5069
Epoch 56 | Train Loss: 0.1885 | Val Loss: 0.4477
Epoch 57 | Train Loss: 0.1999 | Val Loss: 0.6237
Epoch 58 | Train Loss: 0.1941 | Val Loss: 0.4896
Epoch 59 | Train Loss: 0.1732 | Val Loss: 0.5413
Epoch 60 | Train Loss: 0.2085 | Val Loss: 0.5300
Epoch 61 | Train Loss: 0.1784 | Val Loss: 0.5486
Epoch 62 | Train Loss: 0.2163 | Val Loss: 0.5728
Epoch 63 | Train Loss: 0.1906 | Val Loss: 0.6276
Epoch 64 | Train Loss: 0.1860 | Val Loss: 0.5102
Epoch 65 | Train Loss: 0.1761 | Val Loss: 0.6704
Epoch 66 | Train Loss: 0.2209 | Val Loss: 0.5310
Epoch 67 | Train Loss: 0.2186 | Val Loss: 0.5684
Epoch 68 | Train Loss: 0.1847 | Val Loss: 0.6208
Epoch 69 | Train Loss: 0.1819 | Val Loss: 0.5357
Epoch 70 | Train Loss: 0.1605 | Val Loss: 0.5447
Epoch 71 | Train Loss: 0.1905 | Val Loss: 0.5739
Epoch 72 | Train Loss: 0.2057 | Val Loss: 0.4749
Epoch 73 | Train Loss: 0.1717 | Val Loss: 0.5770
Epoch 74 | Train Loss: 0.2008 | Val Loss: 0.5911
Epoch 75 | Train Loss: 0.1672 | Val Loss: 0.5890
Epoch 76 | Train Loss: 0.2229 | Val Loss: 0.4958
Epoch 77 | Train Loss: 0.2074 | Val Loss: 0.5762
Epoch 78 | Train Loss: 0.1681 | Val Loss: 0.6003
Epoch 79 | Train Loss: 0.1439 | Val Loss: 0.5321
Epoch 80 | Train Loss: 0.2204 | Val Loss: 0.5056
Epoch 81 | Train Loss: 0.2372 | Val Loss: 0.5786
Epoch 82 | Train Loss: 0.2026 | Val Loss: 0.6273
Epoch 83 | Train Loss: 0.2282 | Val Loss: 0.5877
Epoch 84 | Train Loss: 0.1682 | Val Loss: 0.5918
Epoch 85 | Train Loss: 0.1842 | Val Loss: 0.6593
Epoch 86 | Train Loss: 0.1833 | Val Loss: 0.5442
Epoch 87 | Train Loss: 0.1817 | Val Loss: 0.6189
Epoch 88 | Train Loss: 0.1691 | Val Loss: 0.5418
Epoch 89 | Train Loss: 0.1556 | Val Loss: 0.5470
Epoch 90 | Train Loss: 0.1718 | Val Loss: 0.6071
Epoch 91 | Train Loss: 0.1645 | Val Loss: 0.5509
Epoch 92 | Train Loss: 0.1883 | Val Loss: 0.5716
Epoch 93 | Train Loss: 0.2357 | Val Loss: 0.7027
Epoch 94 | Train Loss: 0.1920 | Val Loss: 0.6220
Epoch 95 | Train Loss: 0.1620 | Val Loss: 0.6484
Epoch 96 | Train Loss: 0.1461 | Val Loss: 0.5376
Epoch 97 | Train Loss: 0.1830 | Val Loss: 0.4893
Epoch 98 | Train Loss: 0.1704 | Val Loss: 0.6483
Epoch 99 | Train Loss: 0.1701 | Val Loss: 0.5556
Epoch 100 | Train Loss: 0.1472 | Val Loss: 0.5970

🔍 Testing on separate test set...
/nfs/homes/sdreyer/Digit-Classification-Pytorch/ClassSweep.py:143: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  classifier.load_state_dict(torch.load(model_path, map_location=device))
✅ Correct predictions:  868
❌ Incorrect predictions:  143
 Total tested images: 1011
 Accuracy: 85.85558852621166%
