Epoch 1 | Train Loss: 0.6829 | Val Loss: 0.5255
Epoch 2 | Train Loss: 0.4789 | Val Loss: 0.4531
Epoch 3 | Train Loss: 0.3957 | Val Loss: 0.4358
Epoch 4 | Train Loss: 0.3743 | Val Loss: 0.4299
Epoch 5 | Train Loss: 0.3060 | Val Loss: 0.2793
Epoch 6 | Train Loss: 0.2566 | Val Loss: 0.2684
Epoch 7 | Train Loss: 0.2220 | Val Loss: 0.2379
Epoch 8 | Train Loss: 0.1839 | Val Loss: 0.2008
Epoch 9 | Train Loss: 0.1851 | Val Loss: 0.2346
Epoch 10 | Train Loss: 0.1501 | Val Loss: 0.2634
Epoch 11 | Train Loss: 0.1399 | Val Loss: 0.2016
Epoch 12 | Train Loss: 0.1260 | Val Loss: 0.2027
Epoch 13 | Train Loss: 0.0872 | Val Loss: 0.2135
Epoch 14 | Train Loss: 0.0711 | Val Loss: 0.2196
Epoch 15 | Train Loss: 0.0822 | Val Loss: 0.2518
Epoch 16 | Train Loss: 0.0667 | Val Loss: 0.2188
Epoch 17 | Train Loss: 0.0597 | Val Loss: 0.2099
Epoch 18 | Train Loss: 0.0401 | Val Loss: 0.2627
Epoch 19 | Train Loss: 0.0714 | Val Loss: 0.2872
Epoch 20 | Train Loss: 0.0631 | Val Loss: 0.1864
Epoch 21 | Train Loss: 0.0391 | Val Loss: 0.2102
Epoch 22 | Train Loss: 0.0282 | Val Loss: 0.2568
Epoch 23 | Train Loss: 0.0262 | Val Loss: 0.2711
Epoch 24 | Train Loss: 0.0197 | Val Loss: 0.2413
Epoch 25 | Train Loss: 0.0175 | Val Loss: 0.3422
Epoch 26 | Train Loss: 0.0182 | Val Loss: 0.2877
Epoch 27 | Train Loss: 0.0225 | Val Loss: 0.2544
Epoch 28 | Train Loss: 0.0350 | Val Loss: 0.3773
Epoch 29 | Train Loss: 0.0704 | Val Loss: 0.2352
Epoch 30 | Train Loss: 0.0359 | Val Loss: 0.2679
Epoch 31 | Train Loss: 0.0273 | Val Loss: 0.2848
Epoch 32 | Train Loss: 0.0145 | Val Loss: 0.2747
Epoch 33 | Train Loss: 0.0209 | Val Loss: 0.3619
Epoch 34 | Train Loss: 0.1090 | Val Loss: 0.2361
Epoch 35 | Train Loss: 0.0249 | Val Loss: 0.2925
Epoch 36 | Train Loss: 0.0134 | Val Loss: 0.2864
Epoch 37 | Train Loss: 0.0060 | Val Loss: 0.2869
Epoch 38 | Train Loss: 0.0087 | Val Loss: 0.3546
Epoch 39 | Train Loss: 0.0131 | Val Loss: 0.3679
Epoch 40 | Train Loss: 0.0081 | Val Loss: 0.3402
Epoch 41 | Train Loss: 0.0219 | Val Loss: 0.2751
Epoch 42 | Train Loss: 0.0330 | Val Loss: 0.2707
Epoch 43 | Train Loss: 0.0188 | Val Loss: 0.2777
Epoch 44 | Train Loss: 0.0082 | Val Loss: 0.2757
Epoch 45 | Train Loss: 0.0099 | Val Loss: 0.3077
Epoch 46 | Train Loss: 0.0115 | Val Loss: 0.3475
Epoch 47 | Train Loss: 0.0196 | Val Loss: 0.3180
Epoch 48 | Train Loss: 0.0090 | Val Loss: 0.2835
Epoch 49 | Train Loss: 0.0022 | Val Loss: 0.3255
Epoch 50 | Train Loss: 0.0046 | Val Loss: 0.3738
Epoch 51 | Train Loss: 0.0256 | Val Loss: 0.3362
Epoch 52 | Train Loss: 0.0091 | Val Loss: 0.3486
Epoch 53 | Train Loss: 0.0032 | Val Loss: 0.3136
Epoch 54 | Train Loss: 0.0072 | Val Loss: 0.4026
Epoch 55 | Train Loss: 0.0055 | Val Loss: 0.3347
Epoch 56 | Train Loss: 0.0073 | Val Loss: 0.3394
Epoch 57 | Train Loss: 0.0008 | Val Loss: 0.3259
Epoch 58 | Train Loss: 0.0007 | Val Loss: 0.3478
Epoch 59 | Train Loss: 0.0007 | Val Loss: 0.3812
Epoch 60 | Train Loss: 0.0031 | Val Loss: 0.4003
Epoch 61 | Train Loss: 0.0072 | Val Loss: 0.3453
Epoch 62 | Train Loss: 0.0232 | Val Loss: 0.3847
Epoch 63 | Train Loss: 0.0287 | Val Loss: 0.5879
Epoch 64 | Train Loss: 0.0536 | Val Loss: 0.3628
Epoch 65 | Train Loss: 0.0287 | Val Loss: 0.5188
Epoch 66 | Train Loss: 0.0272 | Val Loss: 0.3040
Epoch 67 | Train Loss: 0.0477 | Val Loss: 0.3137
Epoch 68 | Train Loss: 0.0338 | Val Loss: 0.2971
Epoch 69 | Train Loss: 0.0152 | Val Loss: 0.3023
Epoch 70 | Train Loss: 0.0032 | Val Loss: 0.2950
Epoch 71 | Train Loss: 0.0027 | Val Loss: 0.2926
Epoch 72 | Train Loss: 0.0035 | Val Loss: 0.3212
Epoch 73 | Train Loss: 0.0035 | Val Loss: 0.3262
Epoch 74 | Train Loss: 0.0024 | Val Loss: 0.3196
Epoch 75 | Train Loss: 0.0016 | Val Loss: 0.3856
Epoch 76 | Train Loss: 0.0022 | Val Loss: 0.3898
Epoch 77 | Train Loss: 0.0006 | Val Loss: 0.3880
