Epoch 1 | Train Loss: 1.3162 | Val Loss: 0.6962
Epoch 2 | Train Loss: 0.5977 | Val Loss: 0.5695
Epoch 3 | Train Loss: 0.5266 | Val Loss: 0.5150
Epoch 4 | Train Loss: 0.4430 | Val Loss: 0.4861
Epoch 5 | Train Loss: 0.3910 | Val Loss: 0.4460
Epoch 6 | Train Loss: 0.4033 | Val Loss: 0.3995
Epoch 7 | Train Loss: 0.3176 | Val Loss: 0.3915
Epoch 8 | Train Loss: 0.3251 | Val Loss: 0.3311
Epoch 9 | Train Loss: 0.3084 | Val Loss: 0.4551
Epoch 10 | Train Loss: 0.3119 | Val Loss: 0.3366
Epoch 11 | Train Loss: 0.2495 | Val Loss: 0.3127
Epoch 12 | Train Loss: 0.2391 | Val Loss: 0.3324
Epoch 13 | Train Loss: 0.2328 | Val Loss: 0.2962
Epoch 14 | Train Loss: 0.2784 | Val Loss: 0.3840
Epoch 15 | Train Loss: 0.2346 | Val Loss: 0.3253
Epoch 16 | Train Loss: 0.2415 | Val Loss: 0.5076
Epoch 17 | Train Loss: 0.2136 | Val Loss: 0.2913
Epoch 18 | Train Loss: 0.1902 | Val Loss: 0.4326
Epoch 19 | Train Loss: 0.2385 | Val Loss: 0.2974
Epoch 20 | Train Loss: 0.1771 | Val Loss: 0.3697
Epoch 21 | Train Loss: 0.1954 | Val Loss: 0.4085
Epoch 22 | Train Loss: 0.1796 | Val Loss: 0.3128
Epoch 23 | Train Loss: 0.2448 | Val Loss: 0.2969
Epoch 24 | Train Loss: 0.1763 | Val Loss: 0.3533
Epoch 25 | Train Loss: 0.1574 | Val Loss: 0.3626
Epoch 26 | Train Loss: 0.1686 | Val Loss: 0.3521
Epoch 27 | Train Loss: 0.1933 | Val Loss: 0.3630
Epoch 28 | Train Loss: 0.1476 | Val Loss: 0.3269
Epoch 29 | Train Loss: 0.1394 | Val Loss: 0.2872
Epoch 30 | Train Loss: 0.1668 | Val Loss: 0.4382
Epoch 31 | Train Loss: 0.1367 | Val Loss: 0.3315
Epoch 32 | Train Loss: 0.1419 | Val Loss: 0.3986
Epoch 33 | Train Loss: 0.1545 | Val Loss: 0.3370
Epoch 34 | Train Loss: 0.1197 | Val Loss: 0.3531
Epoch 35 | Train Loss: 0.1023 | Val Loss: 0.4168
Epoch 36 | Train Loss: 0.1936 | Val Loss: 0.3292
Epoch 37 | Train Loss: 0.2013 | Val Loss: 0.3400
Epoch 38 | Train Loss: 0.1461 | Val Loss: 0.3760
Epoch 39 | Train Loss: 0.2008 | Val Loss: 0.3662
Epoch 40 | Train Loss: 0.1572 | Val Loss: 0.3268
Epoch 41 | Train Loss: 0.1495 | Val Loss: 0.3304
Epoch 42 | Train Loss: 0.1233 | Val Loss: 0.3155
Epoch 43 | Train Loss: 0.1176 | Val Loss: 0.3555
Epoch 44 | Train Loss: 0.1244 | Val Loss: 0.4032
Epoch 45 | Train Loss: 0.1359 | Val Loss: 0.3262
Epoch 46 | Train Loss: 0.1522 | Val Loss: 0.3407
Epoch 47 | Train Loss: 0.1215 | Val Loss: 0.4299
Epoch 48 | Train Loss: 0.1919 | Val Loss: 0.3722
Epoch 49 | Train Loss: 0.1430 | Val Loss: 0.3193
Epoch 50 | Train Loss: 0.1095 | Val Loss: 0.3877
Epoch 51 | Train Loss: 0.1085 | Val Loss: 0.3964
Epoch 52 | Train Loss: 0.0891 | Val Loss: 0.3530
Epoch 53 | Train Loss: 0.1141 | Val Loss: 0.3406
Epoch 54 | Train Loss: 0.1334 | Val Loss: 0.3622
Epoch 55 | Train Loss: 0.2137 | Val Loss: 0.4597
Epoch 56 | Train Loss: 0.1841 | Val Loss: 0.4005
Epoch 57 | Train Loss: 0.1256 | Val Loss: 0.3345
Epoch 58 | Train Loss: 0.0855 | Val Loss: 0.3956
Epoch 59 | Train Loss: 0.0762 | Val Loss: 0.3839
Epoch 60 | Train Loss: 0.0754 | Val Loss: 0.3109
Epoch 61 | Train Loss: 0.0801 | Val Loss: 0.3397
Epoch 62 | Train Loss: 0.0998 | Val Loss: 0.3274
Epoch 63 | Train Loss: 0.0717 | Val Loss: 0.4329
Epoch 64 | Train Loss: 0.0784 | Val Loss: 0.3281
Epoch 65 | Train Loss: 0.0750 | Val Loss: 0.4204
Epoch 66 | Train Loss: 0.1198 | Val Loss: 0.4409
Epoch 67 | Train Loss: 0.1289 | Val Loss: 0.3722
Epoch 68 | Train Loss: 0.0911 | Val Loss: 0.4242
Epoch 69 | Train Loss: 0.0770 | Val Loss: 0.3587
Epoch 70 | Train Loss: 0.0773 | Val Loss: 0.3186
Epoch 71 | Train Loss: 0.0829 | Val Loss: 0.4622
Epoch 72 | Train Loss: 0.1090 | Val Loss: 0.4120
Epoch 73 | Train Loss: 0.1071 | Val Loss: 0.4263
Epoch 74 | Train Loss: 0.0960 | Val Loss: 0.3890
Epoch 75 | Train Loss: 0.1507 | Val Loss: 0.4387
Epoch 76 | Train Loss: 0.0925 | Val Loss: 0.3463
Epoch 77 | Train Loss: 0.0645 | Val Loss: 0.5001
Epoch 78 | Train Loss: 0.1083 | Val Loss: 0.3562
Epoch 79 | Train Loss: 0.0706 | Val Loss: 0.3916
Epoch 80 | Train Loss: 0.0689 | Val Loss: 0.4015
Epoch 81 | Train Loss: 0.0717 | Val Loss: 0.3847
Epoch 82 | Train Loss: 0.0537 | Val Loss: 0.4577
Epoch 83 | Train Loss: 0.0521 | Val Loss: 0.4693
Epoch 84 | Train Loss: 0.0488 | Val Loss: 0.4037
