Epoch 1 | Train Loss: 0.6496 | Val Loss: 0.4716
Epoch 2 | Train Loss: 0.4495 | Val Loss: 0.3734
Epoch 3 | Train Loss: 0.3637 | Val Loss: 0.2758
Epoch 4 | Train Loss: 0.2975 | Val Loss: 0.3090
Epoch 5 | Train Loss: 0.2489 | Val Loss: 0.2517
Epoch 6 | Train Loss: 0.1799 | Val Loss: 0.1995
Epoch 7 | Train Loss: 0.1440 | Val Loss: 0.2223
Epoch 8 | Train Loss: 0.1394 | Val Loss: 0.1813
Epoch 9 | Train Loss: 0.0962 | Val Loss: 0.2540
Epoch 10 | Train Loss: 0.0693 | Val Loss: 0.2271
Epoch 11 | Train Loss: 0.0590 | Val Loss: 0.2046
Epoch 12 | Train Loss: 0.0464 | Val Loss: 0.2273
Epoch 13 | Train Loss: 0.0425 | Val Loss: 0.2779
Epoch 14 | Train Loss: 0.0525 | Val Loss: 0.2114
Epoch 15 | Train Loss: 0.0353 | Val Loss: 0.2480
Epoch 16 | Train Loss: 0.0213 | Val Loss: 0.2083
Epoch 17 | Train Loss: 0.0391 | Val Loss: 0.2712
Epoch 18 | Train Loss: 0.0248 | Val Loss: 0.2122
Epoch 19 | Train Loss: 0.0344 | Val Loss: 0.2207
Epoch 20 | Train Loss: 0.0292 | Val Loss: 0.2186
Epoch 21 | Train Loss: 0.0121 | Val Loss: 0.2416
Epoch 22 | Train Loss: 0.0170 | Val Loss: 0.2435
Epoch 23 | Train Loss: 0.0244 | Val Loss: 0.2401
Epoch 24 | Train Loss: 0.0218 | Val Loss: 0.1977
Epoch 25 | Train Loss: 0.0053 | Val Loss: 0.2411
Epoch 26 | Train Loss: 0.0143 | Val Loss: 0.2805
Epoch 27 | Train Loss: 0.0169 | Val Loss: 0.2319
Epoch 28 | Train Loss: 0.0046 | Val Loss: 0.2484
Epoch 29 | Train Loss: 0.0286 | Val Loss: 0.2884
Epoch 30 | Train Loss: 0.0378 | Val Loss: 0.2434
Epoch 31 | Train Loss: 0.0266 | Val Loss: 0.1778
Epoch 32 | Train Loss: 0.0104 | Val Loss: 0.2620
Epoch 33 | Train Loss: 0.0053 | Val Loss: 0.2233
Epoch 34 | Train Loss: 0.0030 | Val Loss: 0.2552
Epoch 35 | Train Loss: 0.0016 | Val Loss: 0.3297
Epoch 36 | Train Loss: 0.0127 | Val Loss: 0.2233
Epoch 37 | Train Loss: 0.0154 | Val Loss: 0.2103
Epoch 38 | Train Loss: 0.0155 | Val Loss: 0.3689
Epoch 39 | Train Loss: 0.0235 | Val Loss: 0.2677
Epoch 40 | Train Loss: 0.0180 | Val Loss: 0.2192
Epoch 41 | Train Loss: 0.0075 | Val Loss: 0.2868
Epoch 42 | Train Loss: 0.0064 | Val Loss: 0.3067
Epoch 43 | Train Loss: 0.0099 | Val Loss: 0.2870
Epoch 44 | Train Loss: 0.0521 | Val Loss: 0.2279
Epoch 45 | Train Loss: 0.0216 | Val Loss: 0.2245
[34m[1mwandb[0m: Ctrl + C detected. Stopping sweep.
