Epoch 1 | Train Loss: 1.0412 | Val Loss: 0.9808
Epoch 2 | Train Loss: 0.8269 | Val Loss: 0.7214
Epoch 3 | Train Loss: 0.6556 | Val Loss: 0.6280
Epoch 4 | Train Loss: 0.5820 | Val Loss: 0.6144
Epoch 5 | Train Loss: 0.5355 | Val Loss: 0.5545
Epoch 6 | Train Loss: 0.5128 | Val Loss: 0.5617
Epoch 7 | Train Loss: 0.5076 | Val Loss: 0.5501
Epoch 8 | Train Loss: 0.4783 | Val Loss: 0.5583
Epoch 9 | Train Loss: 0.4638 | Val Loss: 0.5163
Epoch 10 | Train Loss: 0.4424 | Val Loss: 0.5259
Epoch 11 | Train Loss: 0.4402 | Val Loss: 0.5061
Epoch 12 | Train Loss: 0.4297 | Val Loss: 0.5056
Epoch 13 | Train Loss: 0.4086 | Val Loss: 0.5008
Epoch 14 | Train Loss: 0.4074 | Val Loss: 0.4885
Epoch 15 | Train Loss: 0.4045 | Val Loss: 0.5103
Epoch 16 | Train Loss: 0.3779 | Val Loss: 0.4779
Epoch 17 | Train Loss: 0.3854 | Val Loss: 0.4971
Epoch 18 | Train Loss: 0.3742 | Val Loss: 0.4842
Epoch 19 | Train Loss: 0.3546 | Val Loss: 0.4744
Epoch 20 | Train Loss: 0.3389 | Val Loss: 0.4476
Epoch 21 | Train Loss: 0.3424 | Val Loss: 0.4456
Epoch 22 | Train Loss: 0.3266 | Val Loss: 0.4406
Epoch 23 | Train Loss: 0.3185 | Val Loss: 0.4343
Epoch 24 | Train Loss: 0.3102 | Val Loss: 0.4327
Epoch 25 | Train Loss: 0.3050 | Val Loss: 0.4827
Epoch 26 | Train Loss: 0.2978 | Val Loss: 0.4439
Epoch 27 | Train Loss: 0.2975 | Val Loss: 0.4214
Epoch 28 | Train Loss: 0.2922 | Val Loss: 0.4268
Epoch 29 | Train Loss: 0.3011 | Val Loss: 0.4196
Epoch 30 | Train Loss: 0.2778 | Val Loss: 0.4203
Epoch 31 | Train Loss: 0.2698 | Val Loss: 0.4250
Epoch 32 | Train Loss: 0.2684 | Val Loss: 0.4301
