Epoch 1 | Train Loss: 1.0477 | Val Loss: 0.9480
Epoch 2 | Train Loss: 0.8369 | Val Loss: 0.7164
Epoch 3 | Train Loss: 0.6659 | Val Loss: 0.6130
Epoch 4 | Train Loss: 0.5753 | Val Loss: 0.5546
Epoch 5 | Train Loss: 0.5304 | Val Loss: 0.5215
Epoch 6 | Train Loss: 0.5091 | Val Loss: 0.5075
Epoch 7 | Train Loss: 0.4954 | Val Loss: 0.4982
Epoch 8 | Train Loss: 0.4752 | Val Loss: 0.4882
Epoch 9 | Train Loss: 0.4682 | Val Loss: 0.4679
Epoch 10 | Train Loss: 0.4543 | Val Loss: 0.4632
Epoch 11 | Train Loss: 0.4437 | Val Loss: 0.4509
Epoch 12 | Train Loss: 0.4358 | Val Loss: 0.4530
Epoch 13 | Train Loss: 0.4251 | Val Loss: 0.4352
Epoch 14 | Train Loss: 0.4135 | Val Loss: 0.4337
Epoch 15 | Train Loss: 0.4100 | Val Loss: 0.4124
Epoch 16 | Train Loss: 0.3988 | Val Loss: 0.4086
Epoch 17 | Train Loss: 0.3980 | Val Loss: 0.4054
Epoch 18 | Train Loss: 0.4073 | Val Loss: 0.4482
Epoch 19 | Train Loss: 0.3834 | Val Loss: 0.4040
Epoch 20 | Train Loss: 0.3765 | Val Loss: 0.4072
Epoch 21 | Train Loss: 0.3722 | Val Loss: 0.3768
Epoch 22 | Train Loss: 0.3564 | Val Loss: 0.3789
Epoch 23 | Train Loss: 0.3635 | Val Loss: 0.3514
Epoch 24 | Train Loss: 0.3446 | Val Loss: 0.3479
Epoch 25 | Train Loss: 0.3593 | Val Loss: 0.3567
Epoch 26 | Train Loss: 0.3427 | Val Loss: 0.3486
Epoch 27 | Train Loss: 0.3337 | Val Loss: 0.3362
Epoch 28 | Train Loss: 0.3294 | Val Loss: 0.3309
Epoch 29 | Train Loss: 0.3250 | Val Loss: 0.3210
Epoch 30 | Train Loss: 0.3172 | Val Loss: 0.3244
Epoch 31 | Train Loss: 0.3194 | Val Loss: 0.3388
Epoch 32 | Train Loss: 0.3204 | Val Loss: 0.3130
Epoch 33 | Train Loss: 0.3069 | Val Loss: 0.3210
Epoch 34 | Train Loss: 0.3022 | Val Loss: 0.3097
Epoch 35 | Train Loss: 0.2947 | Val Loss: 0.2989
Epoch 36 | Train Loss: 0.2889 | Val Loss: 0.3015
Epoch 37 | Train Loss: 0.2898 | Val Loss: 0.3201
Epoch 38 | Train Loss: 0.2923 | Val Loss: 0.2985
Epoch 39 | Train Loss: 0.2926 | Val Loss: 0.2899
Epoch 40 | Train Loss: 0.2847 | Val Loss: 0.2866
Epoch 41 | Train Loss: 0.2738 | Val Loss: 0.2965
Epoch 42 | Train Loss: 0.2731 | Val Loss: 0.2956
Epoch 43 | Train Loss: 0.2607 | Val Loss: 0.2834
Epoch 44 | Train Loss: 0.2530 | Val Loss: 0.2934
Epoch 45 | Train Loss: 0.2445 | Val Loss: 0.2759
Epoch 46 | Train Loss: 0.2509 | Val Loss: 0.2781
Epoch 47 | Train Loss: 0.2605 | Val Loss: 0.2757
Epoch 48 | Train Loss: 0.2404 | Val Loss: 0.2722
Epoch 49 | Train Loss: 0.2417 | Val Loss: 0.2674
Epoch 50 | Train Loss: 0.2304 | Val Loss: 0.2916
Epoch 51 | Train Loss: 0.2463 | Val Loss: 0.3125
Epoch 52 | Train Loss: 0.2309 | Val Loss: 0.2963
Epoch 53 | Train Loss: 0.2336 | Val Loss: 0.2808
Epoch 54 | Train Loss: 0.2207 | Val Loss: 0.2711
Epoch 55 | Train Loss: 0.2191 | Val Loss: 0.2589
Epoch 56 | Train Loss: 0.2160 | Val Loss: 0.2597
Epoch 57 | Train Loss: 0.2054 | Val Loss: 0.2598
Epoch 58 | Train Loss: 0.2002 | Val Loss: 0.2512
Epoch 59 | Train Loss: 0.2044 | Val Loss: 0.2555
Epoch 60 | Train Loss: 0.1937 | Val Loss: 0.2427
Epoch 61 | Train Loss: 0.1890 | Val Loss: 0.2522
Epoch 62 | Train Loss: 0.1879 | Val Loss: 0.2394
Epoch 63 | Train Loss: 0.1851 | Val Loss: 0.2505
Epoch 64 | Train Loss: 0.1872 | Val Loss: 0.2539
Epoch 65 | Train Loss: 0.1934 | Val Loss: 0.2472
Epoch 66 | Train Loss: 0.1882 | Val Loss: 0.2318
Epoch 67 | Train Loss: 0.1809 | Val Loss: 0.2777
Epoch 68 | Train Loss: 0.1777 | Val Loss: 0.2380
Epoch 69 | Train Loss: 0.1614 | Val Loss: 0.2424
Epoch 70 | Train Loss: 0.1576 | Val Loss: 0.2518
Epoch 71 | Train Loss: 0.1676 | Val Loss: 0.2622
Epoch 72 | Train Loss: 0.1551 | Val Loss: 0.2258
Epoch 73 | Train Loss: 0.1557 | Val Loss: 0.2310
Epoch 74 | Train Loss: 0.1563 | Val Loss: 0.2330
Epoch 75 | Train Loss: 0.1451 | Val Loss: 0.2278
Epoch 76 | Train Loss: 0.1427 | Val Loss: 0.2258
Epoch 77 | Train Loss: 0.1405 | Val Loss: 0.2210
Epoch 78 | Train Loss: 0.1376 | Val Loss: 0.2186
Epoch 79 | Train Loss: 0.1312 | Val Loss: 0.2253
Epoch 80 | Train Loss: 0.1288 | Val Loss: 0.2218
