Epoch 1 | Train Loss: 0.9521 | Val Loss: 0.8175
Epoch 2 | Train Loss: 0.6753 | Val Loss: 0.6163
Epoch 3 | Train Loss: 0.5576 | Val Loss: 0.6147
Epoch 4 | Train Loss: 0.5340 | Val Loss: 0.5260
Epoch 5 | Train Loss: 0.4978 | Val Loss: 0.4928
Epoch 6 | Train Loss: 0.4743 | Val Loss: 0.4953
Epoch 7 | Train Loss: 0.4679 | Val Loss: 0.4709
Epoch 8 | Train Loss: 0.4395 | Val Loss: 0.4322
Epoch 9 | Train Loss: 0.4043 | Val Loss: 0.4199
Epoch 10 | Train Loss: 0.4041 | Val Loss: 0.4826
Epoch 11 | Train Loss: 0.3999 | Val Loss: 0.3967
Epoch 12 | Train Loss: 0.3691 | Val Loss: 0.3848
Epoch 13 | Train Loss: 0.3641 | Val Loss: 0.3751
Epoch 14 | Train Loss: 0.3541 | Val Loss: 0.3701
Epoch 15 | Train Loss: 0.3556 | Val Loss: 0.3580
Epoch 16 | Train Loss: 0.3331 | Val Loss: 0.4248
Epoch 17 | Train Loss: 0.3150 | Val Loss: 0.3464
Epoch 18 | Train Loss: 0.3149 | Val Loss: 0.3536
Epoch 19 | Train Loss: 0.3186 | Val Loss: 0.4517
Epoch 20 | Train Loss: 0.3137 | Val Loss: 0.3635
Epoch 21 | Train Loss: 0.2855 | Val Loss: 0.3295
Epoch 22 | Train Loss: 0.2875 | Val Loss: 0.3154
Epoch 23 | Train Loss: 0.2777 | Val Loss: 0.3347
Epoch 24 | Train Loss: 0.2630 | Val Loss: 0.3513
Epoch 25 | Train Loss: 0.2670 | Val Loss: 0.3954
Epoch 26 | Train Loss: 0.2691 | Val Loss: 0.3405
Epoch 27 | Train Loss: 0.2466 | Val Loss: 0.3213
Epoch 28 | Train Loss: 0.2354 | Val Loss: 0.3058
Epoch 29 | Train Loss: 0.2376 | Val Loss: 0.2910
Epoch 30 | Train Loss: 0.2386 | Val Loss: 0.3253
Epoch 31 | Train Loss: 0.2254 | Val Loss: 0.3438
Epoch 32 | Train Loss: 0.2135 | Val Loss: 0.3323
Epoch 33 | Train Loss: 0.2079 | Val Loss: 0.2818
Epoch 34 | Train Loss: 0.2022 | Val Loss: 0.3046
Epoch 35 | Train Loss: 0.1895 | Val Loss: 0.2958
Epoch 36 | Train Loss: 0.2066 | Val Loss: 0.2748
Epoch 37 | Train Loss: 0.1821 | Val Loss: 0.2815
Epoch 38 | Train Loss: 0.1725 | Val Loss: 0.2995
Epoch 39 | Train Loss: 0.1683 | Val Loss: 0.2775
Epoch 40 | Train Loss: 0.1609 | Val Loss: 0.3087
Epoch 41 | Train Loss: 0.1603 | Val Loss: 0.2844
Epoch 42 | Train Loss: 0.1528 | Val Loss: 0.2859
Epoch 43 | Train Loss: 0.1488 | Val Loss: 0.3482
Epoch 44 | Train Loss: 0.1805 | Val Loss: 0.2887
Epoch 45 | Train Loss: 0.1423 | Val Loss: 0.3553
Epoch 46 | Train Loss: 0.1428 | Val Loss: 0.2927
Epoch 47 | Train Loss: 0.1177 | Val Loss: 0.2967
Epoch 48 | Train Loss: 0.1230 | Val Loss: 0.3076
Epoch 49 | Train Loss: 0.1306 | Val Loss: 0.3079
Epoch 50 | Train Loss: 0.1251 | Val Loss: 0.3046
Epoch 51 | Train Loss: 0.1112 | Val Loss: 0.3166
Epoch 52 | Train Loss: 0.1105 | Val Loss: 0.2947
Epoch 53 | Train Loss: 0.0990 | Val Loss: 0.3160
Epoch 54 | Train Loss: 0.1036 | Val Loss: 0.2986
Epoch 55 | Train Loss: 0.0932 | Val Loss: 0.3066
Epoch 56 | Train Loss: 0.0861 | Val Loss: 0.3587
Epoch 57 | Train Loss: 0.0982 | Val Loss: 0.3125
Epoch 58 | Train Loss: 0.0773 | Val Loss: 0.3209
Epoch 59 | Train Loss: 0.0821 | Val Loss: 0.3341
Epoch 60 | Train Loss: 0.0691 | Val Loss: 0.3424
Epoch 61 | Train Loss: 0.0770 | Val Loss: 0.3547
Epoch 62 | Train Loss: 0.0776 | Val Loss: 0.3419
Epoch 63 | Train Loss: 0.0669 | Val Loss: 0.3698
Epoch 64 | Train Loss: 0.0630 | Val Loss: 0.3858
Epoch 65 | Train Loss: 0.0724 | Val Loss: 0.3549
Epoch 66 | Train Loss: 0.0595 | Val Loss: 0.3809
Epoch 67 | Train Loss: 0.0558 | Val Loss: 0.3684
Epoch 68 | Train Loss: 0.0617 | Val Loss: 0.3990
Epoch 69 | Train Loss: 0.0617 | Val Loss: 0.3864
Epoch 70 | Train Loss: 0.0493 | Val Loss: 0.4152
Epoch 71 | Train Loss: 0.0519 | Val Loss: 0.4038
Epoch 72 | Train Loss: 0.0545 | Val Loss: 0.4008
Epoch 73 | Train Loss: 0.0497 | Val Loss: 0.3980
Epoch 74 | Train Loss: 0.0491 | Val Loss: 0.4194
Epoch 75 | Train Loss: 0.0441 | Val Loss: 0.3910
Epoch 76 | Train Loss: 0.0496 | Val Loss: 0.4219
Epoch 77 | Train Loss: 0.0530 | Val Loss: 0.4580
Epoch 78 | Train Loss: 0.0450 | Val Loss: 0.4112
Epoch 79 | Train Loss: 0.0418 | Val Loss: 0.4139
Epoch 80 | Train Loss: 0.0325 | Val Loss: 0.4558
Epoch 81 | Train Loss: 0.0300 | Val Loss: 0.4514
Epoch 82 | Train Loss: 0.0396 | Val Loss: 0.4461
Epoch 83 | Train Loss: 0.0420 | Val Loss: 0.4883
Epoch 84 | Train Loss: 0.0344 | Val Loss: 0.4289
Epoch 85 | Train Loss: 0.0297 | Val Loss: 0.4476
Epoch 86 | Train Loss: 0.0295 | Val Loss: 0.4624
Epoch 87 | Train Loss: 0.0357 | Val Loss: 0.4669
Epoch 88 | Train Loss: 0.0305 | Val Loss: 0.4999
Epoch 89 | Train Loss: 0.0235 | Val Loss: 0.4743
Epoch 90 | Train Loss: 0.0208 | Val Loss: 0.6072
Epoch 91 | Train Loss: 0.0463 | Val Loss: 0.4727
Epoch 92 | Train Loss: 0.0296 | Val Loss: 0.4810
Epoch 93 | Train Loss: 0.0235 | Val Loss: 0.5291
Epoch 94 | Train Loss: 0.0195 | Val Loss: 0.5198
Epoch 95 | Train Loss: 0.0202 | Val Loss: 0.5163
Epoch 96 | Train Loss: 0.0163 | Val Loss: 0.5312
Epoch 97 | Train Loss: 0.0186 | Val Loss: 0.5889
Epoch 98 | Train Loss: 0.0245 | Val Loss: 0.5345
Epoch 99 | Train Loss: 0.0166 | Val Loss: 0.5389
Epoch 100 | Train Loss: 0.0317 | Val Loss: 0.5448

🔍 Testing on separate test set...
/nfs/homes/sdreyer/Digit-Classification-Pytorch/ClassSweep.py:144: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  classifier.load_state_dict(torch.load(model_path, map_location=device))
✅ Correct predictions:  938
❌ Incorrect predictions:  73
 Total tested images: 1011
 Accuracy: 92.77942631058357%
