Epoch 1 | Train Loss: 0.8563 | Val Loss: 0.6396
Epoch 2 | Train Loss: 0.6094 | Val Loss: 0.5052
Epoch 3 | Train Loss: 0.5306 | Val Loss: 0.4596
Epoch 4 | Train Loss: 0.4909 | Val Loss: 0.4410
Epoch 5 | Train Loss: 0.4573 | Val Loss: 0.4521
Epoch 6 | Train Loss: 0.4197 | Val Loss: 0.4286
Epoch 7 | Train Loss: 0.4124 | Val Loss: 0.4002
Epoch 8 | Train Loss: 0.3818 | Val Loss: 0.3535
Epoch 9 | Train Loss: 0.3713 | Val Loss: 0.3658
Epoch 10 | Train Loss: 0.3559 | Val Loss: 0.3478
Epoch 11 | Train Loss: 0.3337 | Val Loss: 0.3284
Epoch 12 | Train Loss: 0.3193 | Val Loss: 0.3440
Epoch 13 | Train Loss: 0.3107 | Val Loss: 0.3352
Epoch 14 | Train Loss: 0.2945 | Val Loss: 0.3024
Epoch 15 | Train Loss: 0.2805 | Val Loss: 0.3115
Epoch 16 | Train Loss: 0.2672 | Val Loss: 0.3135
Epoch 17 | Train Loss: 0.2599 | Val Loss: 0.2901
Epoch 18 | Train Loss: 0.2445 | Val Loss: 0.3098
Epoch 19 | Train Loss: 0.2278 | Val Loss: 0.2887
Epoch 20 | Train Loss: 0.2228 | Val Loss: 0.2783
Epoch 21 | Train Loss: 0.2202 | Val Loss: 0.2706
Epoch 22 | Train Loss: 0.2105 | Val Loss: 0.3472
Epoch 23 | Train Loss: 0.2030 | Val Loss: 0.2829
Epoch 24 | Train Loss: 0.1984 | Val Loss: 0.2612
Epoch 25 | Train Loss: 0.1837 | Val Loss: 0.2568
Epoch 26 | Train Loss: 0.1799 | Val Loss: 0.2677
Epoch 27 | Train Loss: 0.1724 | Val Loss: 0.2696
Epoch 28 | Train Loss: 0.1608 | Val Loss: 0.2720
Epoch 29 | Train Loss: 0.1484 | Val Loss: 0.2786
Epoch 30 | Train Loss: 0.1552 | Val Loss: 0.2684
Epoch 31 | Train Loss: 0.1422 | Val Loss: 0.2420
Epoch 32 | Train Loss: 0.1402 | Val Loss: 0.2521
Epoch 33 | Train Loss: 0.1320 | Val Loss: 0.2959
Epoch 34 | Train Loss: 0.1335 | Val Loss: 0.2709
Epoch 35 | Train Loss: 0.1159 | Val Loss: 0.2639
Epoch 36 | Train Loss: 0.1265 | Val Loss: 0.2617
Epoch 37 | Train Loss: 0.1111 | Val Loss: 0.2591
Epoch 38 | Train Loss: 0.1149 | Val Loss: 0.2617
Epoch 39 | Train Loss: 0.0969 | Val Loss: 0.2551
Epoch 40 | Train Loss: 0.1061 | Val Loss: 0.2946
Epoch 41 | Train Loss: 0.1065 | Val Loss: 0.2730
Epoch 42 | Train Loss: 0.0930 | Val Loss: 0.2743
Epoch 43 | Train Loss: 0.0961 | Val Loss: 0.2411
