Epoch 1 | Train Loss: 1.0264 | Val Loss: 0.8848
Epoch 2 | Train Loss: 0.7808 | Val Loss: 0.6979
Epoch 3 | Train Loss: 0.6533 | Val Loss: 0.6172
Epoch 4 | Train Loss: 0.5757 | Val Loss: 0.5364
Epoch 5 | Train Loss: 0.5378 | Val Loss: 0.5237
Epoch 6 | Train Loss: 0.5153 | Val Loss: 0.5108
Epoch 7 | Train Loss: 0.5001 | Val Loss: 0.4885
Epoch 8 | Train Loss: 0.4801 | Val Loss: 0.4909
Epoch 9 | Train Loss: 0.4647 | Val Loss: 0.5094
Epoch 10 | Train Loss: 0.4620 | Val Loss: 0.4629
Epoch 11 | Train Loss: 0.4388 | Val Loss: 0.4403
Epoch 12 | Train Loss: 0.4266 | Val Loss: 0.4375
Epoch 13 | Train Loss: 0.4274 | Val Loss: 0.4261
Epoch 14 | Train Loss: 0.4095 | Val Loss: 0.4489
Epoch 15 | Train Loss: 0.4051 | Val Loss: 0.4208
Epoch 16 | Train Loss: 0.3919 | Val Loss: 0.3935
Epoch 17 | Train Loss: 0.3690 | Val Loss: 0.3816
Epoch 18 | Train Loss: 0.3688 | Val Loss: 0.3812
Epoch 19 | Train Loss: 0.3515 | Val Loss: 0.3685
Epoch 20 | Train Loss: 0.3465 | Val Loss: 0.3585
Epoch 21 | Train Loss: 0.3424 | Val Loss: 0.3737
Epoch 22 | Train Loss: 0.3336 | Val Loss: 0.3733
Epoch 23 | Train Loss: 0.3249 | Val Loss: 0.3544
Epoch 24 | Train Loss: 0.3308 | Val Loss: 0.3659
Epoch 25 | Train Loss: 0.3094 | Val Loss: 0.3580
Epoch 26 | Train Loss: 0.3314 | Val Loss: 0.3508
Epoch 27 | Train Loss: 0.3000 | Val Loss: 0.3303
Epoch 28 | Train Loss: 0.2874 | Val Loss: 0.3331
Epoch 29 | Train Loss: 0.2844 | Val Loss: 0.3232
Epoch 30 | Train Loss: 0.2765 | Val Loss: 0.3324
Epoch 31 | Train Loss: 0.2817 | Val Loss: 0.3422
Epoch 32 | Train Loss: 0.3049 | Val Loss: 0.4112
Epoch 33 | Train Loss: 0.2754 | Val Loss: 0.3128
Epoch 34 | Train Loss: 0.2558 | Val Loss: 0.3060
Epoch 35 | Train Loss: 0.2550 | Val Loss: 0.3121
Epoch 36 | Train Loss: 0.2455 | Val Loss: 0.3178
Epoch 37 | Train Loss: 0.2525 | Val Loss: 0.2995
Epoch 38 | Train Loss: 0.2332 | Val Loss: 0.2979
Epoch 39 | Train Loss: 0.2326 | Val Loss: 0.3346
Epoch 40 | Train Loss: 0.2533 | Val Loss: 0.3013
Epoch 41 | Train Loss: 0.2232 | Val Loss: 0.3096
Epoch 42 | Train Loss: 0.2323 | Val Loss: 0.3022
Epoch 43 | Train Loss: 0.2098 | Val Loss: 0.2990
Epoch 44 | Train Loss: 0.2059 | Val Loss: 0.3006
Epoch 45 | Train Loss: 0.1980 | Val Loss: 0.2990
Epoch 46 | Train Loss: 0.1989 | Val Loss: 0.2981
Epoch 47 | Train Loss: 0.1900 | Val Loss: 0.2862
Epoch 48 | Train Loss: 0.1875 | Val Loss: 0.2984
Epoch 49 | Train Loss: 0.1844 | Val Loss: 0.2876
Epoch 50 | Train Loss: 0.1757 | Val Loss: 0.3140
Epoch 51 | Train Loss: 0.1802 | Val Loss: 0.3022
