Epoch 1 | Train Loss: 1.4542 | Val Loss: 0.6527
Epoch 2 | Train Loss: 0.6212 | Val Loss: 0.5679
Epoch 3 | Train Loss: 0.5800 | Val Loss: 0.6281
Epoch 4 | Train Loss: 0.5319 | Val Loss: 0.4938
Epoch 5 | Train Loss: 0.5215 | Val Loss: 0.6087
Epoch 6 | Train Loss: 0.5019 | Val Loss: 0.4358
Epoch 7 | Train Loss: 0.4537 | Val Loss: 0.4044
Epoch 8 | Train Loss: 0.4222 | Val Loss: 0.4711
Epoch 9 | Train Loss: 0.4711 | Val Loss: 0.3822
Epoch 10 | Train Loss: 0.3871 | Val Loss: 0.3628
Epoch 11 | Train Loss: 0.4252 | Val Loss: 0.3871
Epoch 12 | Train Loss: 0.3703 | Val Loss: 0.5903
Epoch 13 | Train Loss: 0.4289 | Val Loss: 0.4201
Epoch 14 | Train Loss: 0.3997 | Val Loss: 0.3725
Epoch 15 | Train Loss: 0.3520 | Val Loss: 0.3768
Epoch 16 | Train Loss: 0.3539 | Val Loss: 0.4460
Epoch 17 | Train Loss: 0.3639 | Val Loss: 0.3479
Epoch 18 | Train Loss: 0.3461 | Val Loss: 0.3358
Epoch 19 | Train Loss: 0.3684 | Val Loss: 0.4112
Epoch 20 | Train Loss: 0.3883 | Val Loss: 0.3129
Epoch 21 | Train Loss: 0.3552 | Val Loss: 0.3166
Epoch 22 | Train Loss: 0.3523 | Val Loss: 0.3103
Epoch 23 | Train Loss: 0.3260 | Val Loss: 0.3097
Epoch 24 | Train Loss: 0.3382 | Val Loss: 0.4154
Epoch 25 | Train Loss: 0.3232 | Val Loss: 0.4090
Epoch 26 | Train Loss: 0.3435 | Val Loss: 0.3086
Epoch 27 | Train Loss: 0.3570 | Val Loss: 0.3424
Epoch 28 | Train Loss: 0.3480 | Val Loss: 0.3299
Epoch 29 | Train Loss: 0.3165 | Val Loss: 0.3389
Epoch 30 | Train Loss: 0.3407 | Val Loss: 0.3415
Epoch 31 | Train Loss: 0.3239 | Val Loss: 0.2998
