Epoch 1 | Train Loss: 0.9372 | Val Loss: 0.7406
Epoch 2 | Train Loss: 0.6367 | Val Loss: 0.6009
Epoch 3 | Train Loss: 0.5525 | Val Loss: 0.5342
Epoch 4 | Train Loss: 0.5056 | Val Loss: 0.5114
Epoch 5 | Train Loss: 0.4837 | Val Loss: 0.4954
Epoch 6 | Train Loss: 0.4557 | Val Loss: 0.5337
Epoch 7 | Train Loss: 0.4537 | Val Loss: 0.4695
Epoch 8 | Train Loss: 0.4330 | Val Loss: 0.4538
Epoch 9 | Train Loss: 0.4063 | Val Loss: 0.4620
Epoch 10 | Train Loss: 0.3995 | Val Loss: 0.4514
Epoch 11 | Train Loss: 0.3728 | Val Loss: 0.4120
Epoch 12 | Train Loss: 0.3540 | Val Loss: 0.4281
Epoch 13 | Train Loss: 0.3554 | Val Loss: 0.3928
Epoch 14 | Train Loss: 0.3355 | Val Loss: 0.3852
Epoch 15 | Train Loss: 0.3281 | Val Loss: 0.3746
Epoch 16 | Train Loss: 0.3234 | Val Loss: 0.3555
Epoch 17 | Train Loss: 0.3010 | Val Loss: 0.3551
Epoch 18 | Train Loss: 0.2944 | Val Loss: 0.3571
Epoch 19 | Train Loss: 0.2841 | Val Loss: 0.3540
Epoch 20 | Train Loss: 0.2898 | Val Loss: 0.3580
Epoch 21 | Train Loss: 0.2660 | Val Loss: 0.3365
Epoch 22 | Train Loss: 0.2625 | Val Loss: 0.3259
Epoch 23 | Train Loss: 0.2487 | Val Loss: 0.3591
Epoch 24 | Train Loss: 0.2471 | Val Loss: 0.3208
Epoch 25 | Train Loss: 0.2379 | Val Loss: 0.3098
Epoch 26 | Train Loss: 0.2346 | Val Loss: 0.3537
Epoch 27 | Train Loss: 0.2415 | Val Loss: 0.3144
Epoch 28 | Train Loss: 0.2108 | Val Loss: 0.3041
Epoch 29 | Train Loss: 0.2024 | Val Loss: 0.3019
Epoch 30 | Train Loss: 0.2062 | Val Loss: 0.3109
Epoch 31 | Train Loss: 0.2015 | Val Loss: 0.2969
Epoch 32 | Train Loss: 0.1917 | Val Loss: 0.3202
Epoch 33 | Train Loss: 0.2018 | Val Loss: 0.2938
Epoch 34 | Train Loss: 0.1856 | Val Loss: 0.2939
Epoch 35 | Train Loss: 0.1709 | Val Loss: 0.2930
Epoch 36 | Train Loss: 0.1789 | Val Loss: 0.3441
Epoch 37 | Train Loss: 0.1616 | Val Loss: 0.3204
Epoch 38 | Train Loss: 0.1627 | Val Loss: 0.2779
