Epoch 1 | Train Loss: 0.9603 | Val Loss: 0.7469
Epoch 2 | Train Loss: 0.6771 | Val Loss: 0.5802
Epoch 3 | Train Loss: 0.5549 | Val Loss: 0.5297
Epoch 4 | Train Loss: 0.5102 | Val Loss: 0.4995
Epoch 5 | Train Loss: 0.4875 | Val Loss: 0.4881
Epoch 6 | Train Loss: 0.4567 | Val Loss: 0.4686
Epoch 7 | Train Loss: 0.4343 | Val Loss: 0.4464
Epoch 8 | Train Loss: 0.4150 | Val Loss: 0.5309
Epoch 9 | Train Loss: 0.4113 | Val Loss: 0.4400
Epoch 10 | Train Loss: 0.3865 | Val Loss: 0.4383
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch10.pt
Epoch 11 | Train Loss: 0.3894 | Val Loss: 0.4031
Epoch 12 | Train Loss: 0.3625 | Val Loss: 0.4005
Epoch 13 | Train Loss: 0.3583 | Val Loss: 0.3999
Epoch 14 | Train Loss: 0.3603 | Val Loss: 0.3944
Epoch 15 | Train Loss: 0.3415 | Val Loss: 0.3813
Epoch 16 | Train Loss: 0.3359 | Val Loss: 0.3973
Epoch 17 | Train Loss: 0.3303 | Val Loss: 0.3640
Epoch 18 | Train Loss: 0.3163 | Val Loss: 0.4037
Epoch 19 | Train Loss: 0.3113 | Val Loss: 0.3608
Epoch 20 | Train Loss: 0.3061 | Val Loss: 0.3461
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch20.pt
Epoch 21 | Train Loss: 0.2911 | Val Loss: 0.3463
Epoch 22 | Train Loss: 0.2756 | Val Loss: 0.3684
Epoch 23 | Train Loss: 0.2742 | Val Loss: 0.3328
Epoch 24 | Train Loss: 0.2558 | Val Loss: 0.3413
Epoch 25 | Train Loss: 0.2522 | Val Loss: 0.3331
Epoch 26 | Train Loss: 0.2550 | Val Loss: 0.3366
Epoch 27 | Train Loss: 0.2365 | Val Loss: 0.3194
Epoch 28 | Train Loss: 0.2319 | Val Loss: 0.3575
Epoch 29 | Train Loss: 0.2366 | Val Loss: 0.3209
Epoch 30 | Train Loss: 0.2191 | Val Loss: 0.3175
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch30.pt
Epoch 31 | Train Loss: 0.2121 | Val Loss: 0.3086
Epoch 32 | Train Loss: 0.2156 | Val Loss: 0.3346
Epoch 33 | Train Loss: 0.1983 | Val Loss: 0.3292
Epoch 34 | Train Loss: 0.1952 | Val Loss: 0.3083
Epoch 35 | Train Loss: 0.1875 | Val Loss: 0.3220
Epoch 36 | Train Loss: 0.1921 | Val Loss: 0.4104
Epoch 37 | Train Loss: 0.1843 | Val Loss: 0.3294
Epoch 38 | Train Loss: 0.1849 | Val Loss: 0.2987
Epoch 39 | Train Loss: 0.1780 | Val Loss: 0.3251
Epoch 40 | Train Loss: 0.1874 | Val Loss: 0.3181
💾 Checkpoint saved: Checkpoints/fragrant-sweep-1_epoch40.pt
Epoch 41 | Train Loss: 0.1603 | Val Loss: 0.2990
Epoch 42 | Train Loss: 0.1671 | Val Loss: 0.3103
Epoch 43 | Train Loss: 0.1520 | Val Loss: 0.3167
Epoch 44 | Train Loss: 0.1661 | Val Loss: 0.3078
Epoch 45 | Train Loss: 0.1505 | Val Loss: 0.3071
Epoch 46 | Train Loss: 0.1613 | Val Loss: 0.2875
Epoch 47 | Train Loss: 0.1419 | Val Loss: 0.2819
Epoch 48 | Train Loss: 0.1378 | Val Loss: 0.2904
Epoch 49 | Train Loss: 0.1342 | Val Loss: 0.3084
Epoch 50 | Train Loss: 0.1328 | Val Loss: 0.2989
