Epoch 1 | Train Loss: 1.4780 | Val Loss: 0.6233
Epoch 2 | Train Loss: 0.5874 | Val Loss: 0.5083
Epoch 3 | Train Loss: 0.5456 | Val Loss: 0.5265
Epoch 4 | Train Loss: 0.5180 | Val Loss: 0.4342
Epoch 5 | Train Loss: 0.4755 | Val Loss: 0.4628
Epoch 6 | Train Loss: 0.4515 | Val Loss: 0.4308
Epoch 7 | Train Loss: 0.4596 | Val Loss: 0.3979
Epoch 8 | Train Loss: 0.4116 | Val Loss: 0.3605
Epoch 9 | Train Loss: 0.3999 | Val Loss: 0.3941
Epoch 10 | Train Loss: 0.4340 | Val Loss: 0.3661
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch10.pt
Epoch 11 | Train Loss: 0.3714 | Val Loss: 0.3553
Epoch 12 | Train Loss: 0.3747 | Val Loss: 0.3564
Epoch 13 | Train Loss: 0.3588 | Val Loss: 0.3423
Epoch 14 | Train Loss: 0.5186 | Val Loss: 0.3804
Epoch 15 | Train Loss: 0.3910 | Val Loss: 0.3515
Epoch 16 | Train Loss: 0.3734 | Val Loss: 0.4144
Epoch 17 | Train Loss: 0.3618 | Val Loss: 0.3748
Epoch 18 | Train Loss: 0.3283 | Val Loss: 0.3363
Epoch 19 | Train Loss: 0.3408 | Val Loss: 0.3116
Epoch 20 | Train Loss: 0.3594 | Val Loss: 0.3253
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch20.pt
Epoch 21 | Train Loss: 0.3401 | Val Loss: 0.3755
Epoch 22 | Train Loss: 0.3287 | Val Loss: 0.3578
Epoch 23 | Train Loss: 0.3082 | Val Loss: 0.4119
Epoch 24 | Train Loss: 0.3282 | Val Loss: 0.3239
Epoch 25 | Train Loss: 0.3001 | Val Loss: 0.3096
Epoch 26 | Train Loss: 0.3324 | Val Loss: 0.3119
Epoch 27 | Train Loss: 0.3004 | Val Loss: 0.2873
Epoch 28 | Train Loss: 0.3174 | Val Loss: 0.3119
Epoch 29 | Train Loss: 0.3093 | Val Loss: 0.2936
Epoch 30 | Train Loss: 0.2915 | Val Loss: 0.3489
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch30.pt
Epoch 31 | Train Loss: 0.3196 | Val Loss: 0.2901
Epoch 32 | Train Loss: 0.2899 | Val Loss: 0.2957
Epoch 33 | Train Loss: 0.3068 | Val Loss: 0.3374
Epoch 34 | Train Loss: 0.3004 | Val Loss: 0.2837
Epoch 35 | Train Loss: 0.2965 | Val Loss: 0.3014
Epoch 36 | Train Loss: 0.3180 | Val Loss: 0.3013
Epoch 37 | Train Loss: 0.2941 | Val Loss: 0.3083
Epoch 38 | Train Loss: 0.3249 | Val Loss: 0.3186
Epoch 39 | Train Loss: 0.2942 | Val Loss: 0.2868
Epoch 40 | Train Loss: 0.2706 | Val Loss: 0.2992
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch40.pt
Epoch 41 | Train Loss: 0.2653 | Val Loss: 0.2863
Epoch 42 | Train Loss: 0.2739 | Val Loss: 0.3182
Epoch 43 | Train Loss: 0.2660 | Val Loss: 0.2762
Epoch 44 | Train Loss: 0.2614 | Val Loss: 0.3632
Epoch 45 | Train Loss: 0.3064 | Val Loss: 0.5146
Epoch 46 | Train Loss: 0.3569 | Val Loss: 0.3496
Epoch 47 | Train Loss: 0.2993 | Val Loss: 0.4082
Epoch 48 | Train Loss: 0.3081 | Val Loss: 0.2700
Epoch 49 | Train Loss: 0.2515 | Val Loss: 0.2573
Epoch 50 | Train Loss: 0.2648 | Val Loss: 0.2637
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch50.pt
Epoch 51 | Train Loss: 0.2733 | Val Loss: 0.2929
Epoch 52 | Train Loss: 0.2650 | Val Loss: 0.3209
Epoch 53 | Train Loss: 0.2345 | Val Loss: 0.2856
Epoch 54 | Train Loss: 0.2442 | Val Loss: 0.3608
Epoch 55 | Train Loss: 0.2467 | Val Loss: 0.3014
Epoch 56 | Train Loss: 0.2776 | Val Loss: 0.3289
Epoch 57 | Train Loss: 0.2915 | Val Loss: 0.3284
Epoch 58 | Train Loss: 0.2717 | Val Loss: 0.3156
Epoch 59 | Train Loss: 0.2399 | Val Loss: 0.3071
Epoch 60 | Train Loss: 0.2567 | Val Loss: 0.3468
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch60.pt
Epoch 61 | Train Loss: 0.2435 | Val Loss: 0.3017
Epoch 62 | Train Loss: 0.2473 | Val Loss: 0.4637
Epoch 63 | Train Loss: 0.2411 | Val Loss: 0.3555
Epoch 64 | Train Loss: 0.2422 | Val Loss: 0.3564
Epoch 65 | Train Loss: 0.2527 | Val Loss: 0.3022
Epoch 66 | Train Loss: 0.2408 | Val Loss: 0.2984
Epoch 67 | Train Loss: 0.2496 | Val Loss: 0.3219
Epoch 68 | Train Loss: 0.2464 | Val Loss: 0.3321
Epoch 69 | Train Loss: 0.2483 | Val Loss: 0.3003
Epoch 70 | Train Loss: 0.2672 | Val Loss: 0.3177
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch70.pt
Epoch 71 | Train Loss: 0.2539 | Val Loss: 0.3033
Epoch 72 | Train Loss: 0.2508 | Val Loss: 0.3309
Epoch 73 | Train Loss: 0.2244 | Val Loss: 0.3752
Epoch 74 | Train Loss: 0.2736 | Val Loss: 0.2940
Epoch 75 | Train Loss: 0.2284 | Val Loss: 0.3039
Epoch 76 | Train Loss: 0.2177 | Val Loss: 0.3262
Epoch 77 | Train Loss: 0.2259 | Val Loss: 0.3120
Epoch 78 | Train Loss: 0.2271 | Val Loss: 0.3319
Epoch 79 | Train Loss: 0.2152 | Val Loss: 0.2984
Epoch 80 | Train Loss: 0.2277 | Val Loss: 0.3087
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch80.pt
Epoch 81 | Train Loss: 0.2008 | Val Loss: 0.3086
Epoch 82 | Train Loss: 0.2463 | Val Loss: 0.3617
Epoch 83 | Train Loss: 0.2389 | Val Loss: 0.3830
Epoch 84 | Train Loss: 0.2249 | Val Loss: 0.2910
Epoch 85 | Train Loss: 0.2227 | Val Loss: 0.3285
Epoch 86 | Train Loss: 0.2516 | Val Loss: 0.3789
Epoch 87 | Train Loss: 0.2142 | Val Loss: 0.4443
Epoch 88 | Train Loss: 0.2031 | Val Loss: 0.3411
Epoch 89 | Train Loss: 0.2019 | Val Loss: 0.4083
Epoch 90 | Train Loss: 0.2150 | Val Loss: 0.3182
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch90.pt
Epoch 91 | Train Loss: 0.1977 | Val Loss: 0.3579
Epoch 92 | Train Loss: 0.2020 | Val Loss: 0.3540
Epoch 93 | Train Loss: 0.1990 | Val Loss: 0.4339
Epoch 94 | Train Loss: 0.2149 | Val Loss: 0.3735
Epoch 95 | Train Loss: 0.1991 | Val Loss: 0.4021
Epoch 96 | Train Loss: 0.2093 | Val Loss: 0.3662
Epoch 97 | Train Loss: 0.1865 | Val Loss: 0.4020
Epoch 98 | Train Loss: 0.1902 | Val Loss: 0.3414
Epoch 99 | Train Loss: 0.1979 | Val Loss: 0.3338
Epoch 100 | Train Loss: 0.2132 | Val Loss: 0.3684
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch100.pt
Epoch 101 | Train Loss: 0.2073 | Val Loss: 0.4039
Epoch 102 | Train Loss: 0.1881 | Val Loss: 0.3838
Epoch 103 | Train Loss: 0.2001 | Val Loss: 0.3939
Epoch 104 | Train Loss: 0.1884 | Val Loss: 0.4040
Epoch 105 | Train Loss: 0.2009 | Val Loss: 0.3737
Epoch 106 | Train Loss: 0.1857 | Val Loss: 0.4641
Epoch 107 | Train Loss: 0.1924 | Val Loss: 0.4684
Epoch 108 | Train Loss: 0.1882 | Val Loss: 0.4446
Epoch 109 | Train Loss: 0.1732 | Val Loss: 0.4247
Epoch 110 | Train Loss: 0.1636 | Val Loss: 0.6186
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch110.pt
Epoch 111 | Train Loss: 0.2161 | Val Loss: 0.3545
Epoch 112 | Train Loss: 0.1883 | Val Loss: 0.3545
Epoch 113 | Train Loss: 0.1966 | Val Loss: 0.3978
Epoch 114 | Train Loss: 0.2290 | Val Loss: 0.3865
Epoch 115 | Train Loss: 0.2122 | Val Loss: 0.4392
Epoch 116 | Train Loss: 0.1921 | Val Loss: 0.5502
Epoch 117 | Train Loss: 0.2165 | Val Loss: 0.4377
Epoch 118 | Train Loss: 0.1913 | Val Loss: 0.5765
Epoch 119 | Train Loss: 0.1677 | Val Loss: 0.4340
Epoch 120 | Train Loss: 0.1844 | Val Loss: 0.4295
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch120.pt
Epoch 121 | Train Loss: 0.1719 | Val Loss: 0.4297
Epoch 122 | Train Loss: 0.1705 | Val Loss: 0.4194
Epoch 123 | Train Loss: 0.1781 | Val Loss: 0.3876
Epoch 124 | Train Loss: 0.1678 | Val Loss: 0.4710
Epoch 125 | Train Loss: 0.2608 | Val Loss: 0.3670
Epoch 126 | Train Loss: 0.2144 | Val Loss: 0.3584
Epoch 127 | Train Loss: 0.1622 | Val Loss: 0.3645
Epoch 128 | Train Loss: 0.1483 | Val Loss: 0.3606
Epoch 129 | Train Loss: 0.1566 | Val Loss: 0.3410
Epoch 130 | Train Loss: 0.1616 | Val Loss: 0.3928
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch130.pt
Epoch 131 | Train Loss: 0.1644 | Val Loss: 0.3209
Epoch 132 | Train Loss: 0.1482 | Val Loss: 0.4069
Epoch 133 | Train Loss: 0.1989 | Val Loss: 0.3429
Epoch 134 | Train Loss: 0.1632 | Val Loss: 0.3218
Epoch 135 | Train Loss: 0.1584 | Val Loss: 0.3275
Epoch 136 | Train Loss: 0.1451 | Val Loss: 0.2964
Epoch 137 | Train Loss: 0.1407 | Val Loss: 0.3411
Epoch 138 | Train Loss: 0.1406 | Val Loss: 0.3709
Epoch 139 | Train Loss: 0.1475 | Val Loss: 0.3787
Epoch 140 | Train Loss: 0.1521 | Val Loss: 0.4701
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch140.pt
Epoch 141 | Train Loss: 0.1748 | Val Loss: 0.3768
Epoch 142 | Train Loss: 0.1786 | Val Loss: 0.4456
Epoch 143 | Train Loss: 0.1840 | Val Loss: 0.2809
Epoch 144 | Train Loss: 0.1512 | Val Loss: 0.3448
Epoch 145 | Train Loss: 0.1340 | Val Loss: 0.4189
Epoch 146 | Train Loss: 0.1600 | Val Loss: 0.3645
Epoch 147 | Train Loss: 0.1232 | Val Loss: 0.3774
Epoch 148 | Train Loss: 0.1408 | Val Loss: 0.3929
Epoch 149 | Train Loss: 0.1398 | Val Loss: 0.3642
Epoch 150 | Train Loss: 0.1092 | Val Loss: 0.3288
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch150.pt
Epoch 151 | Train Loss: 0.1408 | Val Loss: 0.3450
Epoch 152 | Train Loss: 0.1892 | Val Loss: 0.4266
Epoch 153 | Train Loss: 0.1387 | Val Loss: 0.3737
Epoch 154 | Train Loss: 0.1411 | Val Loss: 0.3385
Epoch 155 | Train Loss: 0.1567 | Val Loss: 0.4030
Epoch 156 | Train Loss: 0.1250 | Val Loss: 0.3721
Epoch 157 | Train Loss: 0.1658 | Val Loss: 0.3670
Epoch 158 | Train Loss: 0.1454 | Val Loss: 0.3831
Epoch 159 | Train Loss: 0.1231 | Val Loss: 0.3638
Epoch 160 | Train Loss: 0.1289 | Val Loss: 0.3751
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch160.pt
Epoch 161 | Train Loss: 0.1363 | Val Loss: 0.4137
Epoch 162 | Train Loss: 0.1330 | Val Loss: 0.4148
Epoch 163 | Train Loss: 0.1954 | Val Loss: 0.3994
Epoch 164 | Train Loss: 0.1194 | Val Loss: 0.4034
Epoch 165 | Train Loss: 0.1263 | Val Loss: 0.4040
Epoch 166 | Train Loss: 0.1680 | Val Loss: 0.2653
Epoch 167 | Train Loss: 0.1372 | Val Loss: 0.3460
Epoch 168 | Train Loss: 0.1383 | Val Loss: 0.3551
Epoch 169 | Train Loss: 0.1425 | Val Loss: 0.4000
Epoch 170 | Train Loss: 0.1732 | Val Loss: 0.3988
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch170.pt
Epoch 171 | Train Loss: 0.1244 | Val Loss: 0.2717
Epoch 172 | Train Loss: 0.1273 | Val Loss: 0.2360
Epoch 173 | Train Loss: 0.1177 | Val Loss: 0.2741
Epoch 174 | Train Loss: 0.1330 | Val Loss: 0.3293
Epoch 175 | Train Loss: 0.1470 | Val Loss: 0.3087
Epoch 176 | Train Loss: 0.1262 | Val Loss: 0.3330
Epoch 177 | Train Loss: 0.1546 | Val Loss: 0.3492
Epoch 178 | Train Loss: 0.1268 | Val Loss: 0.2867
Epoch 179 | Train Loss: 0.1287 | Val Loss: 0.3159
Epoch 180 | Train Loss: 0.1594 | Val Loss: 0.4994
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch180.pt
Epoch 181 | Train Loss: 0.1362 | Val Loss: 0.3717
Epoch 182 | Train Loss: 0.1172 | Val Loss: 0.3207
Epoch 183 | Train Loss: 0.1391 | Val Loss: 0.3789
Epoch 184 | Train Loss: 0.1261 | Val Loss: 0.3022
Epoch 185 | Train Loss: 0.1338 | Val Loss: 0.3496
Epoch 186 | Train Loss: 0.1286 | Val Loss: 0.3380
Epoch 187 | Train Loss: 0.1347 | Val Loss: 0.4432
Epoch 188 | Train Loss: 0.1287 | Val Loss: 0.3135
Epoch 189 | Train Loss: 0.1105 | Val Loss: 0.4324
Epoch 190 | Train Loss: 0.1348 | Val Loss: 0.4000
💾 Checkpoint saved: Checkpoints/olive-sweep-2_epoch190.pt
Epoch 191 | Train Loss: 0.1490 | Val Loss: 0.3477
Epoch 192 | Train Loss: 0.1276 | Val Loss: 0.3816
