Epoch 1 | Train Loss: 1.0453 | Val Loss: 0.9522
Epoch 2 | Train Loss: 0.8330 | Val Loss: 0.7268
Epoch 3 | Train Loss: 0.6785 | Val Loss: 0.6356
Epoch 4 | Train Loss: 0.5904 | Val Loss: 0.5693
Epoch 5 | Train Loss: 0.5601 | Val Loss: 0.5420
Epoch 6 | Train Loss: 0.5170 | Val Loss: 0.5240
Epoch 7 | Train Loss: 0.4976 | Val Loss: 0.5089
Epoch 8 | Train Loss: 0.4845 | Val Loss: 0.5180
Epoch 9 | Train Loss: 0.4839 | Val Loss: 0.4911
Epoch 10 | Train Loss: 0.4673 | Val Loss: 0.4783
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch10.pt
Epoch 11 | Train Loss: 0.4444 | Val Loss: 0.4660
Epoch 12 | Train Loss: 0.4494 | Val Loss: 0.4569
Epoch 13 | Train Loss: 0.4398 | Val Loss: 0.4816
Epoch 14 | Train Loss: 0.4162 | Val Loss: 0.4445
Epoch 15 | Train Loss: 0.4286 | Val Loss: 0.4488
Epoch 16 | Train Loss: 0.4100 | Val Loss: 0.4695
Epoch 17 | Train Loss: 0.4056 | Val Loss: 0.4354
Epoch 18 | Train Loss: 0.3947 | Val Loss: 0.4211
Epoch 19 | Train Loss: 0.3796 | Val Loss: 0.4438
Epoch 20 | Train Loss: 0.3726 | Val Loss: 0.4196
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch20.pt
Epoch 21 | Train Loss: 0.3653 | Val Loss: 0.4601
Epoch 22 | Train Loss: 0.3622 | Val Loss: 0.4407
Epoch 23 | Train Loss: 0.3680 | Val Loss: 0.4127
Epoch 24 | Train Loss: 0.3529 | Val Loss: 0.4033
Epoch 25 | Train Loss: 0.3546 | Val Loss: 0.4179
Epoch 26 | Train Loss: 0.3465 | Val Loss: 0.3992
Epoch 27 | Train Loss: 0.3309 | Val Loss: 0.3845
Epoch 28 | Train Loss: 0.3412 | Val Loss: 0.3858
Epoch 29 | Train Loss: 0.3274 | Val Loss: 0.4022
Epoch 30 | Train Loss: 0.3162 | Val Loss: 0.3939
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch30.pt
Epoch 31 | Train Loss: 0.3186 | Val Loss: 0.3806
Epoch 32 | Train Loss: 0.3118 | Val Loss: 0.3932
Epoch 33 | Train Loss: 0.3024 | Val Loss: 0.3749
Epoch 34 | Train Loss: 0.2985 | Val Loss: 0.3748
Epoch 35 | Train Loss: 0.2965 | Val Loss: 0.4025
Epoch 36 | Train Loss: 0.3057 | Val Loss: 0.3671
Epoch 37 | Train Loss: 0.2963 | Val Loss: 0.3590
Epoch 38 | Train Loss: 0.2826 | Val Loss: 0.3548
Epoch 39 | Train Loss: 0.2802 | Val Loss: 0.3564
Epoch 40 | Train Loss: 0.2655 | Val Loss: 0.3654
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch40.pt
Epoch 41 | Train Loss: 0.2774 | Val Loss: 0.3422
Epoch 42 | Train Loss: 0.2731 | Val Loss: 0.3453
Epoch 43 | Train Loss: 0.2724 | Val Loss: 0.3581
Epoch 44 | Train Loss: 0.2595 | Val Loss: 0.3377
Epoch 45 | Train Loss: 0.2578 | Val Loss: 0.3307
Epoch 46 | Train Loss: 0.2703 | Val Loss: 0.3466
Epoch 47 | Train Loss: 0.2426 | Val Loss: 0.3349
Epoch 48 | Train Loss: 0.2385 | Val Loss: 0.3187
Epoch 49 | Train Loss: 0.2447 | Val Loss: 0.3212
Epoch 50 | Train Loss: 0.2420 | Val Loss: 0.3368
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch50.pt
Epoch 51 | Train Loss: 0.2309 | Val Loss: 0.3156
Epoch 52 | Train Loss: 0.2315 | Val Loss: 0.3229
Epoch 53 | Train Loss: 0.2268 | Val Loss: 0.3130
Epoch 54 | Train Loss: 0.2271 | Val Loss: 0.3433
Epoch 55 | Train Loss: 0.2174 | Val Loss: 0.3091
Epoch 56 | Train Loss: 0.2196 | Val Loss: 0.3474
Epoch 57 | Train Loss: 0.2100 | Val Loss: 0.3152
Epoch 58 | Train Loss: 0.2060 | Val Loss: 0.3024
Epoch 59 | Train Loss: 0.2088 | Val Loss: 0.3147
Epoch 60 | Train Loss: 0.2155 | Val Loss: 0.3219
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch60.pt
Epoch 61 | Train Loss: 0.2085 | Val Loss: 0.2948
Epoch 62 | Train Loss: 0.2055 | Val Loss: 0.3327
Epoch 63 | Train Loss: 0.1937 | Val Loss: 0.3077
Epoch 64 | Train Loss: 0.1900 | Val Loss: 0.2950
Epoch 65 | Train Loss: 0.1881 | Val Loss: 0.2879
Epoch 66 | Train Loss: 0.1873 | Val Loss: 0.2887
Epoch 67 | Train Loss: 0.1796 | Val Loss: 0.2993
Epoch 68 | Train Loss: 0.1819 | Val Loss: 0.2930
Epoch 69 | Train Loss: 0.1794 | Val Loss: 0.3231
Epoch 70 | Train Loss: 0.1796 | Val Loss: 0.2973
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch70.pt
Epoch 71 | Train Loss: 0.1741 | Val Loss: 0.2807
Epoch 72 | Train Loss: 0.1717 | Val Loss: 0.2825
Epoch 73 | Train Loss: 0.1718 | Val Loss: 0.2904
Epoch 74 | Train Loss: 0.1628 | Val Loss: 0.2986
Epoch 75 | Train Loss: 0.1704 | Val Loss: 0.3231
Epoch 76 | Train Loss: 0.1603 | Val Loss: 0.2880
Epoch 77 | Train Loss: 0.1662 | Val Loss: 0.2859
Epoch 78 | Train Loss: 0.1567 | Val Loss: 0.2820
Epoch 79 | Train Loss: 0.1587 | Val Loss: 0.2730
Epoch 80 | Train Loss: 0.1545 | Val Loss: 0.2798
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch80.pt
Epoch 81 | Train Loss: 0.1558 | Val Loss: 0.3008
Epoch 82 | Train Loss: 0.1515 | Val Loss: 0.2859
Epoch 83 | Train Loss: 0.1459 | Val Loss: 0.2716
Epoch 84 | Train Loss: 0.1464 | Val Loss: 0.2731
Epoch 85 | Train Loss: 0.1427 | Val Loss: 0.2759
Epoch 86 | Train Loss: 0.1351 | Val Loss: 0.2964
Epoch 87 | Train Loss: 0.1332 | Val Loss: 0.2781
Epoch 88 | Train Loss: 0.1311 | Val Loss: 0.2746
Epoch 89 | Train Loss: 0.1367 | Val Loss: 0.3375
Epoch 90 | Train Loss: 0.1405 | Val Loss: 0.2729
💾 Checkpoint saved: Checkpoints/valiant-sweep-3_epoch90.pt
Epoch 91 | Train Loss: 0.1229 | Val Loss: 0.2761
Epoch 92 | Train Loss: 0.1220 | Val Loss: 0.2749
Epoch 93 | Train Loss: 0.1272 | Val Loss: 0.2836
Epoch 94 | Train Loss: 0.1251 | Val Loss: 0.2899
Epoch 95 | Train Loss: 0.1210 | Val Loss: 0.2729
Epoch 96 | Train Loss: 0.1156 | Val Loss: 0.3216
Epoch 97 | Train Loss: 0.1246 | Val Loss: 0.2704
Epoch 98 | Train Loss: 0.1093 | Val Loss: 0.2767
Epoch 99 | Train Loss: 0.1225 | Val Loss: 0.3007
Epoch 100 | Train Loss: 0.1088 | Val Loss: 0.2773
