Epoch 1 | Train Loss: 1.7744 | Val Loss: 0.9438
Epoch 2 | Train Loss: 0.7469 | Val Loss: 0.6609
Epoch 3 | Train Loss: 0.6136 | Val Loss: 0.6505
Epoch 4 | Train Loss: 0.5695 | Val Loss: 0.5628
Epoch 5 | Train Loss: 0.5541 | Val Loss: 0.5557
Epoch 6 | Train Loss: 0.5250 | Val Loss: 0.5757
Epoch 7 | Train Loss: 0.5231 | Val Loss: 0.5160
Epoch 8 | Train Loss: 0.4785 | Val Loss: 0.4675
Epoch 9 | Train Loss: 0.4411 | Val Loss: 0.4527
Epoch 10 | Train Loss: 0.4162 | Val Loss: 0.4429
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch10.pt
Epoch 11 | Train Loss: 0.4053 | Val Loss: 0.4724
Epoch 12 | Train Loss: 0.3983 | Val Loss: 0.4136
Epoch 13 | Train Loss: 0.3843 | Val Loss: 0.4139
Epoch 14 | Train Loss: 0.3617 | Val Loss: 0.3868
Epoch 15 | Train Loss: 0.3825 | Val Loss: 0.4046
Epoch 16 | Train Loss: 0.3622 | Val Loss: 0.3755
Epoch 17 | Train Loss: 0.3251 | Val Loss: 0.3760
Epoch 18 | Train Loss: 0.3359 | Val Loss: 0.3785
Epoch 19 | Train Loss: 0.2958 | Val Loss: 0.3251
Epoch 20 | Train Loss: 0.2842 | Val Loss: 0.3232
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch20.pt
Epoch 21 | Train Loss: 0.2784 | Val Loss: 0.3229
Epoch 22 | Train Loss: 0.2579 | Val Loss: 0.3147
Epoch 23 | Train Loss: 0.2505 | Val Loss: 0.3134
Epoch 24 | Train Loss: 0.2254 | Val Loss: 0.3012
Epoch 25 | Train Loss: 0.2251 | Val Loss: 0.3050
Epoch 26 | Train Loss: 0.2215 | Val Loss: 0.3296
Epoch 27 | Train Loss: 0.2100 | Val Loss: 0.2927
Epoch 28 | Train Loss: 0.2239 | Val Loss: 0.2691
Epoch 29 | Train Loss: 0.2099 | Val Loss: 0.2657
Epoch 30 | Train Loss: 0.2160 | Val Loss: 0.2540
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch30.pt
Epoch 31 | Train Loss: 0.1789 | Val Loss: 0.2738
Epoch 32 | Train Loss: 0.1812 | Val Loss: 0.2582
Epoch 33 | Train Loss: 0.1786 | Val Loss: 0.2551
Epoch 34 | Train Loss: 0.1718 | Val Loss: 0.2902
Epoch 35 | Train Loss: 0.1629 | Val Loss: 0.3073
Epoch 36 | Train Loss: 0.1855 | Val Loss: 0.2670
Epoch 37 | Train Loss: 0.2327 | Val Loss: 0.2870
Epoch 38 | Train Loss: 0.1754 | Val Loss: 0.2439
Epoch 39 | Train Loss: 0.1601 | Val Loss: 0.2535
Epoch 40 | Train Loss: 0.1514 | Val Loss: 0.2703
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch40.pt
Epoch 41 | Train Loss: 0.1493 | Val Loss: 0.2676
Epoch 42 | Train Loss: 0.1485 | Val Loss: 0.2622
Epoch 43 | Train Loss: 0.1673 | Val Loss: 0.4125
Epoch 44 | Train Loss: 0.2015 | Val Loss: 0.2721
Epoch 45 | Train Loss: 0.1600 | Val Loss: 0.2716
Epoch 46 | Train Loss: 0.1454 | Val Loss: 0.2632
Epoch 47 | Train Loss: 0.1632 | Val Loss: 0.2677
Epoch 48 | Train Loss: 0.1618 | Val Loss: 0.2534
Epoch 49 | Train Loss: 0.1353 | Val Loss: 0.2753
Epoch 50 | Train Loss: 0.1221 | Val Loss: 0.2777
💾 Checkpoint saved: Checkpoints/trim-sweep-4_epoch50.pt
