Epoch 1 | Train Loss: 0.6908 | Val Loss: 0.6838 | Val Acc: 60.71% | Sens: 0.99 | Spec: 0.24 | AUC: 0.78 | ✅ Correct: 323 | ❌ Incorrect: 209 | 📦 Total: 532
Epoch 2 | Train Loss: 0.6632 | Val Loss: 0.6371 | Val Acc: 70.11% | Sens: 0.97 | Spec: 0.45 | AUC: 0.80 | ✅ Correct: 373 | ❌ Incorrect: 159 | 📦 Total: 532
Epoch 3 | Train Loss: 0.5858 | Val Loss: 0.5493 | Val Acc: 75.94% | Sens: 0.82 | Spec: 0.70 | AUC: 0.82 | ✅ Correct: 404 | ❌ Incorrect: 128 | 📦 Total: 532
Epoch 4 | Train Loss: 0.5261 | Val Loss: 0.5359 | Val Acc: 76.50% | Sens: 0.91 | Spec: 0.63 | AUC: 0.83 | ✅ Correct: 407 | ❌ Incorrect: 125 | 📦 Total: 532
Epoch 5 | Train Loss: 0.5208 | Val Loss: 0.5021 | Val Acc: 73.68% | Sens: 0.63 | Spec: 0.84 | AUC: 0.84 | ✅ Correct: 392 | ❌ Incorrect: 140 | 📦 Total: 532
Epoch 6 | Train Loss: 0.4922 | Val Loss: 0.4867 | Val Acc: 76.69% | Sens: 0.76 | Spec: 0.77 | AUC: 0.85 | ✅ Correct: 408 | ❌ Incorrect: 124 | 📦 Total: 532
Epoch 7 | Train Loss: 0.4810 | Val Loss: 0.4819 | Val Acc: 79.14% | Sens: 0.87 | Spec: 0.72 | AUC: 0.86 | ✅ Correct: 421 | ❌ Incorrect: 111 | 📦 Total: 532
Epoch 8 | Train Loss: 0.4683 | Val Loss: 0.4609 | Val Acc: 79.51% | Sens: 0.79 | Spec: 0.80 | AUC: 0.87 | ✅ Correct: 423 | ❌ Incorrect: 109 | 📦 Total: 532
Epoch 9 | Train Loss: 0.4532 | Val Loss: 0.4492 | Val Acc: 80.64% | Sens: 0.84 | Spec: 0.77 | AUC: 0.88 | ✅ Correct: 429 | ❌ Incorrect: 103 | 📦 Total: 532
Epoch 10 | Train Loss: 0.4538 | Val Loss: 0.4403 | Val Acc: 81.02% | Sens: 0.85 | Spec: 0.77 | AUC: 0.88 | ✅ Correct: 431 | ❌ Incorrect: 101 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_010.pt
Epoch 11 | Train Loss: 0.4418 | Val Loss: 0.4388 | Val Acc: 81.39% | Sens: 0.88 | Spec: 0.75 | AUC: 0.89 | ✅ Correct: 433 | ❌ Incorrect: 99 | 📦 Total: 532
Epoch 12 | Train Loss: 0.4315 | Val Loss: 0.4225 | Val Acc: 82.52% | Sens: 0.82 | Spec: 0.83 | AUC: 0.90 | ✅ Correct: 439 | ❌ Incorrect: 93 | 📦 Total: 532
Epoch 13 | Train Loss: 0.4154 | Val Loss: 0.4166 | Val Acc: 81.77% | Sens: 0.77 | Spec: 0.86 | AUC: 0.90 | ✅ Correct: 435 | ❌ Incorrect: 97 | 📦 Total: 532
Epoch 14 | Train Loss: 0.4094 | Val Loss: 0.4105 | Val Acc: 81.95% | Sens: 0.76 | Spec: 0.87 | AUC: 0.90 | ✅ Correct: 436 | ❌ Incorrect: 96 | 📦 Total: 532
Epoch 15 | Train Loss: 0.4029 | Val Loss: 0.4050 | Val Acc: 82.14% | Sens: 0.80 | Spec: 0.85 | AUC: 0.91 | ✅ Correct: 437 | ❌ Incorrect: 95 | 📦 Total: 532
Epoch 16 | Train Loss: 0.3999 | Val Loss: 0.4033 | Val Acc: 82.14% | Sens: 0.84 | Spec: 0.80 | AUC: 0.91 | ✅ Correct: 437 | ❌ Incorrect: 95 | 📦 Total: 532
Epoch 17 | Train Loss: 0.3891 | Val Loss: 0.3998 | Val Acc: 82.89% | Sens: 0.79 | Spec: 0.87 | AUC: 0.91 | ✅ Correct: 441 | ❌ Incorrect: 91 | 📦 Total: 532
Epoch 18 | Train Loss: 0.3842 | Val Loss: 0.3933 | Val Acc: 83.46% | Sens: 0.81 | Spec: 0.86 | AUC: 0.91 | ✅ Correct: 444 | ❌ Incorrect: 88 | 📦 Total: 532
Epoch 19 | Train Loss: 0.3829 | Val Loss: 0.4021 | Val Acc: 82.33% | Sens: 0.88 | Spec: 0.77 | AUC: 0.91 | ✅ Correct: 438 | ❌ Incorrect: 94 | 📦 Total: 532
Epoch 20 | Train Loss: 0.3758 | Val Loss: 0.3888 | Val Acc: 83.27% | Sens: 0.81 | Spec: 0.85 | AUC: 0.92 | ✅ Correct: 443 | ❌ Incorrect: 89 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/brisk-sweep-76/checkpoint_epoch_020.pt
Epoch 21 | Train Loss: 0.3621 | Val Loss: 0.3901 | Val Acc: 83.65% | Sens: 0.77 | Spec: 0.90 | AUC: 0.92 | ✅ Correct: 445 | ❌ Incorrect: 87 | 📦 Total: 532
Epoch 22 | Train Loss: 0.3638 | Val Loss: 0.3999 | Val Acc: 83.08% | Sens: 0.89 | Spec: 0.77 | AUC: 0.92 | ✅ Correct: 442 | ❌ Incorrect: 90 | 📦 Total: 532
Epoch 23 | Train Loss: 0.3639 | Val Loss: 0.3823 | Val Acc: 83.65% | Sens: 0.83 | Spec: 0.84 | AUC: 0.92 | ✅ Correct: 445 | ❌ Incorrect: 87 | 📦 Total: 532
Epoch 24 | Train Loss: 0.3619 | Val Loss: 0.3788 | Val Acc: 83.65% | Sens: 0.83 | Spec: 0.85 | AUC: 0.92 | ✅ Correct: 445 | ❌ Incorrect: 87 | 📦 Total: 532
Epoch 25 | Train Loss: 0.3461 | Val Loss: 0.3906 | Val Acc: 84.02% | Sens: 0.89 | Spec: 0.80 | AUC: 0.92 | ✅ Correct: 447 | ❌ Incorrect: 85 | 📦 Total: 532
Epoch 26 | Train Loss: 0.3480 | Val Loss: 0.3761 | Val Acc: 84.59% | Sens: 0.80 | Spec: 0.89 | AUC: 0.92 | ✅ Correct: 450 | ❌ Incorrect: 82 | 📦 Total: 532
Epoch 27 | Train Loss: 0.3377 | Val Loss: 0.3819 | Val Acc: 84.21% | Sens: 0.87 | Spec: 0.82 | AUC: 0.92 | ✅ Correct: 448 | ❌ Incorrect: 84 | 📦 Total: 532
Epoch 28 | Train Loss: 0.3371 | Val Loss: 0.3775 | Val Acc: 85.34% | Sens: 0.87 | Spec: 0.83 | AUC: 0.93 | ✅ Correct: 454 | ❌ Incorrect: 78 | 📦 Total: 532
Epoch 29 | Train Loss: 0.3313 | Val Loss: 0.3797 | Val Acc: 85.15% | Sens: 0.89 | Spec: 0.81 | AUC: 0.93 | ✅ Correct: 453 | ❌ Incorrect: 79 | 📦 Total: 532
