Epoch 1 | Train Loss: 2.5671 | Val Loss: 0.6932 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.55 | ✅ Correct: 261 | ❌ Incorrect: 271 | 📦 Total: 532
Epoch 2 | Train Loss: 0.6933 | Val Loss: 0.6933 | Val Acc: 48.50% | Sens: 0.99 | Spec: 0.00 | AUC: 0.50 | ✅ Correct: 258 | ❌ Incorrect: 274 | 📦 Total: 532
Epoch 3 | Train Loss: 0.6933 | Val Loss: 0.6938 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.74 | ✅ Correct: 261 | ❌ Incorrect: 271 | 📦 Total: 532
Epoch 4 | Train Loss: 0.6931 | Val Loss: 0.6935 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.78 | ✅ Correct: 261 | ❌ Incorrect: 271 | 📦 Total: 532
Epoch 5 | Train Loss: 0.6926 | Val Loss: 0.6929 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.80 | ✅ Correct: 261 | ❌ Incorrect: 271 | 📦 Total: 532
Epoch 6 | Train Loss: 0.6886 | Val Loss: 0.6803 | Val Acc: 71.43% | Sens: 0.92 | Spec: 0.52 | AUC: 0.81 | ✅ Correct: 380 | ❌ Incorrect: 152 | 📦 Total: 532
Epoch 7 | Train Loss: 0.6396 | Val Loss: 0.6081 | Val Acc: 66.17% | Sens: 0.96 | Spec: 0.38 | AUC: 0.82 | ✅ Correct: 352 | ❌ Incorrect: 180 | 📦 Total: 532
Epoch 8 | Train Loss: 0.5949 | Val Loss: 0.5436 | Val Acc: 74.81% | Sens: 0.90 | Spec: 0.60 | AUC: 0.83 | ✅ Correct: 398 | ❌ Incorrect: 134 | 📦 Total: 532
Epoch 9 | Train Loss: 0.5034 | Val Loss: 0.4616 | Val Acc: 78.20% | Sens: 0.68 | Spec: 0.88 | AUC: 0.88 | ✅ Correct: 416 | ❌ Incorrect: 116 | 📦 Total: 532
Epoch 10 | Train Loss: 0.4723 | Val Loss: 0.5074 | Val Acc: 74.62% | Sens: 0.95 | Spec: 0.55 | AUC: 0.90 | ✅ Correct: 397 | ❌ Incorrect: 135 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/apricot-sweep-83/checkpoint_epoch_010.pt
Epoch 11 | Train Loss: 0.4928 | Val Loss: 0.4178 | Val Acc: 82.71% | Sens: 0.89 | Spec: 0.77 | AUC: 0.91 | ✅ Correct: 440 | ❌ Incorrect: 92 | 📦 Total: 532
Epoch 12 | Train Loss: 0.4288 | Val Loss: 0.5600 | Val Acc: 71.24% | Sens: 0.45 | Spec: 0.96 | AUC: 0.89 | ✅ Correct: 379 | ❌ Incorrect: 153 | 📦 Total: 532
Epoch 13 | Train Loss: 0.5038 | Val Loss: 0.4376 | Val Acc: 83.46% | Sens: 0.82 | Spec: 0.85 | AUC: 0.91 | ✅ Correct: 444 | ❌ Incorrect: 88 | 📦 Total: 532
Epoch 14 | Train Loss: 0.4363 | Val Loss: 0.3881 | Val Acc: 83.46% | Sens: 0.84 | Spec: 0.83 | AUC: 0.91 | ✅ Correct: 444 | ❌ Incorrect: 88 | 📦 Total: 532
Epoch 15 | Train Loss: 0.4313 | Val Loss: 0.3890 | Val Acc: 83.65% | Sens: 0.77 | Spec: 0.90 | AUC: 0.91 | ✅ Correct: 445 | ❌ Incorrect: 87 | 📦 Total: 532
Epoch 16 | Train Loss: 0.4427 | Val Loss: 0.3988 | Val Acc: 84.02% | Sens: 0.80 | Spec: 0.88 | AUC: 0.92 | ✅ Correct: 447 | ❌ Incorrect: 85 | 📦 Total: 532
Epoch 17 | Train Loss: 0.4074 | Val Loss: 0.4322 | Val Acc: 82.71% | Sens: 0.95 | Spec: 0.71 | AUC: 0.92 | ✅ Correct: 440 | ❌ Incorrect: 92 | 📦 Total: 532
Epoch 18 | Train Loss: 0.4049 | Val Loss: 0.3816 | Val Acc: 83.65% | Sens: 0.87 | Spec: 0.80 | AUC: 0.91 | ✅ Correct: 445 | ❌ Incorrect: 87 | 📦 Total: 532
