Epoch 1 | Train Loss: 0.6902 | Val Loss: 0.6819 | Val Acc: 71.99% | Sens: 0.88 | Spec: 0.56 | AUC: 0.78 | ✅ Correct: 383 | ❌ Incorrect: 149 | 📦 Total: 532
Epoch 2 | Train Loss: 0.6593 | Val Loss: 0.6280 | Val Acc: 73.87% | Sens: 0.93 | Spec: 0.56 | AUC: 0.80 | ✅ Correct: 393 | ❌ Incorrect: 139 | 📦 Total: 532
Epoch 3 | Train Loss: 0.5781 | Val Loss: 0.5450 | Val Acc: 76.13% | Sens: 0.84 | Spec: 0.69 | AUC: 0.82 | ✅ Correct: 405 | ❌ Incorrect: 127 | 📦 Total: 532
Epoch 4 | Train Loss: 0.5231 | Val Loss: 0.5336 | Val Acc: 76.69% | Sens: 0.91 | Spec: 0.63 | AUC: 0.83 | ✅ Correct: 408 | ❌ Incorrect: 124 | 📦 Total: 532
Epoch 5 | Train Loss: 0.5182 | Val Loss: 0.4981 | Val Acc: 74.25% | Sens: 0.65 | Spec: 0.83 | AUC: 0.84 | ✅ Correct: 395 | ❌ Incorrect: 137 | 📦 Total: 532
Epoch 6 | Train Loss: 0.4895 | Val Loss: 0.4837 | Val Acc: 77.07% | Sens: 0.77 | Spec: 0.77 | AUC: 0.85 | ✅ Correct: 410 | ❌ Incorrect: 122 | 📦 Total: 532
Epoch 7 | Train Loss: 0.4782 | Val Loss: 0.4778 | Val Acc: 79.14% | Sens: 0.86 | Spec: 0.72 | AUC: 0.86 | ✅ Correct: 421 | ❌ Incorrect: 111 | 📦 Total: 532
Epoch 8 | Train Loss: 0.4653 | Val Loss: 0.4575 | Val Acc: 81.20% | Sens: 0.81 | Spec: 0.82 | AUC: 0.87 | ✅ Correct: 432 | ❌ Incorrect: 100 | 📦 Total: 532
Epoch 9 | Train Loss: 0.4482 | Val Loss: 0.4454 | Val Acc: 81.39% | Sens: 0.85 | Spec: 0.78 | AUC: 0.88 | ✅ Correct: 433 | ❌ Incorrect: 99 | 📦 Total: 532
Epoch 10 | Train Loss: 0.4490 | Val Loss: 0.4411 | Val Acc: 81.39% | Sens: 0.87 | Spec: 0.76 | AUC: 0.89 | ✅ Correct: 433 | ❌ Incorrect: 99 | 📦 Total: 532
💾 Checkpoint saved: Checkpoints/Hyperparametersuch-Gli-Men/earthy-sweep-96/checkpoint_epoch_010.pt
Epoch 11 | Train Loss: 0.4391 | Val Loss: 0.4326 | Val Acc: 82.14% | Sens: 0.87 | Spec: 0.78 | AUC: 0.89 | ✅ Correct: 437 | ❌ Incorrect: 95 | 📦 Total: 532
Epoch 12 | Train Loss: 0.4252 | Val Loss: 0.4217 | Val Acc: 82.89% | Sens: 0.84 | Spec: 0.82 | AUC: 0.90 | ✅ Correct: 441 | ❌ Incorrect: 91 | 📦 Total: 532
Epoch 13 | Train Loss: 0.4110 | Val Loss: 0.4144 | Val Acc: 81.95% | Sens: 0.77 | Spec: 0.87 | AUC: 0.90 | ✅ Correct: 436 | ❌ Incorrect: 96 | 📦 Total: 532
Epoch 14 | Train Loss: 0.4034 | Val Loss: 0.4109 | Val Acc: 81.77% | Sens: 0.76 | Spec: 0.87 | AUC: 0.91 | ✅ Correct: 435 | ❌ Incorrect: 97 | 📦 Total: 532
Epoch 15 | Train Loss: 0.3970 | Val Loss: 0.4053 | Val Acc: 82.89% | Sens: 0.79 | Spec: 0.87 | AUC: 0.91 | ✅ Correct: 441 | ❌ Incorrect: 91 | 📦 Total: 532
Epoch 16 | Train Loss: 0.4025 | Val Loss: 0.4034 | Val Acc: 82.71% | Sens: 0.84 | Spec: 0.81 | AUC: 0.91 | ✅ Correct: 440 | ❌ Incorrect: 92 | 📦 Total: 532
Epoch 17 | Train Loss: 0.3862 | Val Loss: 0.4002 | Val Acc: 83.08% | Sens: 0.79 | Spec: 0.87 | AUC: 0.91 | ✅ Correct: 442 | ❌ Incorrect: 90 | 📦 Total: 532
Epoch 18 | Train Loss: 0.3794 | Val Loss: 0.3935 | Val Acc: 83.46% | Sens: 0.81 | Spec: 0.86 | AUC: 0.91 | ✅ Correct: 444 | ❌ Incorrect: 88 | 📦 Total: 532
Epoch 19 | Train Loss: 0.3813 | Val Loss: 0.4065 | Val Acc: 82.14% | Sens: 0.88 | Spec: 0.76 | AUC: 0.91 | ✅ Correct: 437 | ❌ Incorrect: 95 | 📦 Total: 532
Epoch 20 | Train Loss: 0.3716 | Val Loss: 0.3889 | Val Acc: 83.65% | Sens: 0.80 | Spec: 0.87 | AUC: 0.92 | ✅ Correct: 445 | ❌ Incorrect: 87 | 📦 Total: 532
