🚀 Starting run: trainsample_2128_run_1
Epoch 1 | Train Loss: 0.9181 | Val Loss: 0.6684 | Val Acc: 55.26% | Sens: 0.09 | Spec: 1.00 | AUC: 0.81
Epoch 2 | Train Loss: 0.5979 | Val Loss: 0.5089 | Val Acc: 74.25% | Sens: 0.71 | Spec: 0.77 | AUC: 0.83
Epoch 3 | Train Loss: 0.5329 | Val Loss: 0.4916 | Val Acc: 73.12% | Sens: 0.56 | Spec: 0.89 | AUC: 0.87
Epoch 4 | Train Loss: 0.4666 | Val Loss: 0.4644 | Val Acc: 75.19% | Sens: 0.57 | Spec: 0.93 | AUC: 0.90
Epoch 5 | Train Loss: 0.4432 | Val Loss: 0.4110 | Val Acc: 82.33% | Sens: 0.87 | Spec: 0.78 | AUC: 0.90
Epoch 6 | Train Loss: 0.4196 | Val Loss: 0.4383 | Val Acc: 78.95% | Sens: 0.63 | Spec: 0.94 | AUC: 0.91
Epoch 7 | Train Loss: 0.4733 | Val Loss: 0.4046 | Val Acc: 83.46% | Sens: 0.82 | Spec: 0.85 | AUC: 0.91
Epoch 8 | Train Loss: 0.4256 | Val Loss: 0.3981 | Val Acc: 82.14% | Sens: 0.87 | Spec: 0.77 | AUC: 0.91
Epoch 9 | Train Loss: 0.3865 | Val Loss: 0.3999 | Val Acc: 83.27% | Sens: 0.76 | Spec: 0.90 | AUC: 0.91
Epoch 10 | Train Loss: 0.3716 | Val Loss: 0.4947 | Val Acc: 81.02% | Sens: 0.95 | Spec: 0.68 | AUC: 0.92
Epoch 11 | Train Loss: 0.4529 | Val Loss: 0.4021 | Val Acc: 83.27% | Sens: 0.87 | Spec: 0.80 | AUC: 0.92
Epoch 12 | Train Loss: 0.4265 | Val Loss: 0.3840 | Val Acc: 83.27% | Sens: 0.86 | Spec: 0.81 | AUC: 0.92
Epoch 13 | Train Loss: 0.3695 | Val Loss: 0.3990 | Val Acc: 84.21% | Sens: 0.89 | Spec: 0.80 | AUC: 0.92
Epoch 14 | Train Loss: 0.3592 | Val Loss: 0.3864 | Val Acc: 83.83% | Sens: 0.88 | Spec: 0.80 | AUC: 0.92
Epoch 15 | Train Loss: 0.3508 | Val Loss: 0.3884 | Val Acc: 81.95% | Sens: 0.72 | Spec: 0.91 | AUC: 0.92
Epoch 16 | Train Loss: 0.3909 | Val Loss: 0.3710 | Val Acc: 84.96% | Sens: 0.84 | Spec: 0.86 | AUC: 0.92
Epoch 17 | Train Loss: 0.3639 | Val Loss: 0.3705 | Val Acc: 85.15% | Sens: 0.85 | Spec: 0.85 | AUC: 0.93
Epoch 18 | Train Loss: 0.3509 | Val Loss: 0.3655 | Val Acc: 85.90% | Sens: 0.84 | Spec: 0.87 | AUC: 0.93
Epoch 19 | Train Loss: 0.3328 | Val Loss: 0.4297 | Val Acc: 83.46% | Sens: 0.93 | Spec: 0.75 | AUC: 0.93
Epoch 20 | Train Loss: 0.3281 | Val Loss: 0.3720 | Val Acc: 85.34% | Sens: 0.88 | Spec: 0.83 | AUC: 0.93
Epoch 21 | Train Loss: 0.3246 | Val Loss: 0.4059 | Val Acc: 85.34% | Sens: 0.92 | Spec: 0.79 | AUC: 0.93
Epoch 22 | Train Loss: 0.3410 | Val Loss: 0.3642 | Val Acc: 85.34% | Sens: 0.79 | Spec: 0.92 | AUC: 0.93
Epoch 23 | Train Loss: 0.3435 | Val Loss: 0.3640 | Val Acc: 85.53% | Sens: 0.82 | Spec: 0.89 | AUC: 0.93
Epoch 24 | Train Loss: 0.3303 | Val Loss: 0.3784 | Val Acc: 86.47% | Sens: 0.91 | Spec: 0.82 | AUC: 0.93
