🚀 Starting run: trainsample_1277_run_1
Epoch 1 | Train Loss: 0.8583 | Val Loss: 0.6922 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.64
Epoch 2 | Train Loss: 0.6946 | Val Loss: 0.6866 | Val Acc: 51.50% | Sens: 0.01 | Spec: 1.00 | AUC: 0.78
Epoch 3 | Train Loss: 0.6456 | Val Loss: 0.6565 | Val Acc: 62.59% | Sens: 0.98 | Spec: 0.29 | AUC: 0.81
Epoch 4 | Train Loss: 0.5464 | Val Loss: 0.5020 | Val Acc: 76.88% | Sens: 0.83 | Spec: 0.71 | AUC: 0.84
Epoch 5 | Train Loss: 0.4870 | Val Loss: 0.4644 | Val Acc: 74.25% | Sens: 0.60 | Spec: 0.88 | AUC: 0.88
Epoch 6 | Train Loss: 0.4656 | Val Loss: 0.5163 | Val Acc: 76.69% | Sens: 0.94 | Spec: 0.60 | AUC: 0.89
Epoch 7 | Train Loss: 0.4482 | Val Loss: 0.4358 | Val Acc: 80.83% | Sens: 0.89 | Spec: 0.73 | AUC: 0.90
Epoch 8 | Train Loss: 0.4230 | Val Loss: 0.4449 | Val Acc: 79.32% | Sens: 0.64 | Spec: 0.94 | AUC: 0.91
Epoch 9 | Train Loss: 0.4106 | Val Loss: 0.4057 | Val Acc: 83.08% | Sens: 0.85 | Spec: 0.81 | AUC: 0.91
Epoch 10 | Train Loss: 0.3667 | Val Loss: 0.3994 | Val Acc: 84.59% | Sens: 0.82 | Spec: 0.87 | AUC: 0.92
Epoch 11 | Train Loss: 0.3821 | Val Loss: 0.4872 | Val Acc: 75.19% | Sens: 0.53 | Spec: 0.96 | AUC: 0.92
Epoch 12 | Train Loss: 0.4326 | Val Loss: 0.4069 | Val Acc: 83.27% | Sens: 0.90 | Spec: 0.77 | AUC: 0.92
Epoch 13 | Train Loss: 0.3944 | Val Loss: 0.4190 | Val Acc: 83.65% | Sens: 0.92 | Spec: 0.75 | AUC: 0.93
Epoch 14 | Train Loss: 0.3664 | Val Loss: 0.3873 | Val Acc: 85.34% | Sens: 0.82 | Spec: 0.89 | AUC: 0.93
Epoch 15 | Train Loss: 0.3318 | Val Loss: 0.4141 | Val Acc: 84.59% | Sens: 0.92 | Spec: 0.77 | AUC: 0.93
Epoch 16 | Train Loss: 0.3101 | Val Loss: 0.4125 | Val Acc: 84.77% | Sens: 0.92 | Spec: 0.77 | AUC: 0.93
Epoch 17 | Train Loss: 0.3325 | Val Loss: 0.3804 | Val Acc: 84.21% | Sens: 0.75 | Spec: 0.93 | AUC: 0.94
Epoch 18 | Train Loss: 0.2999 | Val Loss: 0.4015 | Val Acc: 86.47% | Sens: 0.92 | Spec: 0.81 | AUC: 0.94
Epoch 19 | Train Loss: 0.2745 | Val Loss: 0.3875 | Val Acc: 86.28% | Sens: 0.89 | Spec: 0.84 | AUC: 0.94
Epoch 20 | Train Loss: 0.2950 | Val Loss: 0.4791 | Val Acc: 83.27% | Sens: 0.97 | Spec: 0.70 | AUC: 0.94
Epoch 21 | Train Loss: 0.3292 | Val Loss: 0.3784 | Val Acc: 85.71% | Sens: 0.77 | Spec: 0.94 | AUC: 0.94
Epoch 22 | Train Loss: 0.2868 | Val Loss: 0.3682 | Val Acc: 87.03% | Sens: 0.88 | Spec: 0.86 | AUC: 0.94
