🚀 Starting run: trainsample_2128_run_2
Epoch 1 | Train Loss: 0.9172 | Val Loss: 0.6537 | Val Acc: 70.11% | Sens: 0.60 | Spec: 0.80 | AUC: 0.80
Epoch 2 | Train Loss: 0.5786 | Val Loss: 0.5079 | Val Acc: 72.93% | Sens: 0.64 | Spec: 0.82 | AUC: 0.83
Epoch 3 | Train Loss: 0.4945 | Val Loss: 0.4475 | Val Acc: 77.63% | Sens: 0.70 | Spec: 0.85 | AUC: 0.87
Epoch 4 | Train Loss: 0.4452 | Val Loss: 0.4011 | Val Acc: 81.58% | Sens: 0.80 | Spec: 0.83 | AUC: 0.90
Epoch 5 | Train Loss: 0.4496 | Val Loss: 0.4496 | Val Acc: 80.83% | Sens: 0.92 | Spec: 0.70 | AUC: 0.91
Epoch 6 | Train Loss: 0.4707 | Val Loss: 0.4262 | Val Acc: 82.71% | Sens: 0.91 | Spec: 0.75 | AUC: 0.91
Epoch 7 | Train Loss: 0.4188 | Val Loss: 0.4064 | Val Acc: 82.33% | Sens: 0.90 | Spec: 0.75 | AUC: 0.91
Epoch 8 | Train Loss: 0.3896 | Val Loss: 0.3718 | Val Acc: 83.65% | Sens: 0.82 | Spec: 0.85 | AUC: 0.92
Epoch 9 | Train Loss: 0.4122 | Val Loss: 0.4224 | Val Acc: 79.14% | Sens: 0.64 | Spec: 0.93 | AUC: 0.91
Epoch 10 | Train Loss: 0.3848 | Val Loss: 0.4942 | Val Acc: 80.45% | Sens: 0.95 | Spec: 0.66 | AUC: 0.92
Epoch 11 | Train Loss: 0.4432 | Val Loss: 0.4075 | Val Acc: 82.89% | Sens: 0.92 | Spec: 0.75 | AUC: 0.92
Epoch 12 | Train Loss: 0.3868 | Val Loss: 0.3733 | Val Acc: 83.27% | Sens: 0.85 | Spec: 0.82 | AUC: 0.92
Epoch 13 | Train Loss: 0.3857 | Val Loss: 0.3670 | Val Acc: 84.21% | Sens: 0.83 | Spec: 0.86 | AUC: 0.92
Epoch 14 | Train Loss: 0.3660 | Val Loss: 0.3692 | Val Acc: 83.65% | Sens: 0.85 | Spec: 0.82 | AUC: 0.92
Epoch 15 | Train Loss: 0.3466 | Val Loss: 0.3734 | Val Acc: 84.21% | Sens: 0.80 | Spec: 0.88 | AUC: 0.92
Epoch 16 | Train Loss: 0.3700 | Val Loss: 0.3863 | Val Acc: 84.59% | Sens: 0.91 | Spec: 0.78 | AUC: 0.92
Epoch 17 | Train Loss: 0.3548 | Val Loss: 0.4001 | Val Acc: 84.59% | Sens: 0.91 | Spec: 0.78 | AUC: 0.92
Epoch 18 | Train Loss: 0.3640 | Val Loss: 0.3684 | Val Acc: 84.40% | Sens: 0.82 | Spec: 0.86 | AUC: 0.92
Epoch 19 | Train Loss: 0.3564 | Val Loss: 0.3654 | Val Acc: 86.28% | Sens: 0.90 | Spec: 0.83 | AUC: 0.93
Epoch 20 | Train Loss: 0.3416 | Val Loss: 0.3664 | Val Acc: 84.21% | Sens: 0.84 | Spec: 0.85 | AUC: 0.92
Epoch 21 | Train Loss: 0.3449 | Val Loss: 0.4102 | Val Acc: 83.46% | Sens: 0.93 | Spec: 0.74 | AUC: 0.93
Epoch 22 | Train Loss: 0.3771 | Val Loss: 0.3566 | Val Acc: 85.15% | Sens: 0.85 | Spec: 0.86 | AUC: 0.93
