🚀 Starting run: trainsample_1702_run_2
Epoch 1 | Train Loss: 1.1285 | Val Loss: 0.6911 | Val Acc: 51.32% | Sens: 0.01 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6923 | Val Loss: 0.6888 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6467 | Val Loss: 0.6547 | Val Acc: 66.17% | Sens: 0.97 | Spec: 0.36 | AUC: 0.82
Epoch 4 | Train Loss: 0.5173 | Val Loss: 0.5667 | Val Acc: 68.80% | Sens: 0.43 | Spec: 0.94 | AUC: 0.84
Epoch 5 | Train Loss: 0.4987 | Val Loss: 0.4471 | Val Acc: 79.51% | Sens: 0.79 | Spec: 0.80 | AUC: 0.88
Epoch 6 | Train Loss: 0.4566 | Val Loss: 0.4302 | Val Acc: 80.45% | Sens: 0.79 | Spec: 0.82 | AUC: 0.88
Epoch 7 | Train Loss: 0.4473 | Val Loss: 0.4688 | Val Acc: 75.56% | Sens: 0.58 | Spec: 0.92 | AUC: 0.89
Epoch 8 | Train Loss: 0.4269 | Val Loss: 0.4165 | Val Acc: 80.45% | Sens: 0.80 | Spec: 0.80 | AUC: 0.90
Epoch 9 | Train Loss: 0.4240 | Val Loss: 0.4063 | Val Acc: 80.64% | Sens: 0.80 | Spec: 0.82 | AUC: 0.90
Epoch 10 | Train Loss: 0.4001 | Val Loss: 0.4030 | Val Acc: 82.52% | Sens: 0.83 | Spec: 0.82 | AUC: 0.90
Epoch 11 | Train Loss: 0.4118 | Val Loss: 0.4038 | Val Acc: 83.08% | Sens: 0.90 | Spec: 0.76 | AUC: 0.91
Epoch 12 | Train Loss: 0.3809 | Val Loss: 0.4193 | Val Acc: 83.08% | Sens: 0.93 | Spec: 0.73 | AUC: 0.92
Epoch 13 | Train Loss: 0.3579 | Val Loss: 0.3742 | Val Acc: 83.65% | Sens: 0.85 | Spec: 0.83 | AUC: 0.92
Epoch 14 | Train Loss: 0.3630 | Val Loss: 0.3704 | Val Acc: 84.96% | Sens: 0.82 | Spec: 0.87 | AUC: 0.92
Epoch 15 | Train Loss: 0.3578 | Val Loss: 0.3962 | Val Acc: 84.02% | Sens: 0.94 | Spec: 0.75 | AUC: 0.93
Epoch 16 | Train Loss: 0.3663 | Val Loss: 0.3669 | Val Acc: 84.59% | Sens: 0.89 | Spec: 0.80 | AUC: 0.93
Epoch 17 | Train Loss: 0.3457 | Val Loss: 0.3839 | Val Acc: 83.46% | Sens: 0.74 | Spec: 0.92 | AUC: 0.93
Epoch 18 | Train Loss: 0.3429 | Val Loss: 0.3492 | Val Acc: 85.71% | Sens: 0.87 | Spec: 0.85 | AUC: 0.93
