🚀 Starting run: trainsample_1277_run_2
Epoch 1 | Train Loss: 0.8582 | Val Loss: 0.6915 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6935 | Val Loss: 0.6893 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.76
Epoch 3 | Train Loss: 0.6670 | Val Loss: 0.5882 | Val Acc: 76.50% | Sens: 0.89 | Spec: 0.65 | AUC: 0.82
Epoch 4 | Train Loss: 0.5644 | Val Loss: 0.5120 | Val Acc: 76.50% | Sens: 0.86 | Spec: 0.67 | AUC: 0.84
Epoch 5 | Train Loss: 0.4952 | Val Loss: 0.4660 | Val Acc: 76.50% | Sens: 0.68 | Spec: 0.85 | AUC: 0.87
Epoch 6 | Train Loss: 0.4408 | Val Loss: 0.4983 | Val Acc: 77.63% | Sens: 0.94 | Spec: 0.62 | AUC: 0.89
Epoch 7 | Train Loss: 0.4200 | Val Loss: 0.4478 | Val Acc: 80.26% | Sens: 0.88 | Spec: 0.73 | AUC: 0.89
Epoch 8 | Train Loss: 0.3708 | Val Loss: 0.4160 | Val Acc: 82.14% | Sens: 0.79 | Spec: 0.85 | AUC: 0.90
Epoch 9 | Train Loss: 0.3975 | Val Loss: 0.4055 | Val Acc: 82.89% | Sens: 0.78 | Spec: 0.88 | AUC: 0.91
Epoch 10 | Train Loss: 0.3983 | Val Loss: 0.4127 | Val Acc: 82.33% | Sens: 0.90 | Spec: 0.75 | AUC: 0.91
Epoch 11 | Train Loss: 0.3677 | Val Loss: 0.4408 | Val Acc: 78.01% | Sens: 0.62 | Spec: 0.93 | AUC: 0.91
Epoch 12 | Train Loss: 0.3975 | Val Loss: 0.4365 | Val Acc: 81.95% | Sens: 0.93 | Spec: 0.72 | AUC: 0.92
Epoch 13 | Train Loss: 0.3759 | Val Loss: 0.4074 | Val Acc: 83.65% | Sens: 0.92 | Spec: 0.76 | AUC: 0.92
Epoch 14 | Train Loss: 0.3612 | Val Loss: 0.3895 | Val Acc: 84.21% | Sens: 0.80 | Spec: 0.89 | AUC: 0.92
Epoch 15 | Train Loss: 0.3306 | Val Loss: 0.4281 | Val Acc: 83.46% | Sens: 0.93 | Spec: 0.74 | AUC: 0.93
Epoch 16 | Train Loss: 0.2962 | Val Loss: 0.3950 | Val Acc: 84.59% | Sens: 0.90 | Spec: 0.80 | AUC: 0.93
Epoch 17 | Train Loss: 0.3029 | Val Loss: 0.4093 | Val Acc: 82.89% | Sens: 0.71 | Spec: 0.94 | AUC: 0.93
Epoch 18 | Train Loss: 0.2758 | Val Loss: 0.3967 | Val Acc: 86.09% | Sens: 0.92 | Spec: 0.81 | AUC: 0.93
Epoch 19 | Train Loss: 0.2770 | Val Loss: 0.3986 | Val Acc: 85.34% | Sens: 0.93 | Spec: 0.78 | AUC: 0.93
Epoch 20 | Train Loss: 0.2671 | Val Loss: 0.3814 | Val Acc: 85.15% | Sens: 0.85 | Spec: 0.86 | AUC: 0.93
Epoch 21 | Train Loss: 0.2860 | Val Loss: 0.3744 | Val Acc: 83.08% | Sens: 0.75 | Spec: 0.91 | AUC: 0.93
Epoch 22 | Train Loss: 0.2503 | Val Loss: 0.3743 | Val Acc: 86.65% | Sens: 0.92 | Spec: 0.81 | AUC: 0.94
Epoch 23 | Train Loss: 0.2567 | Val Loss: 0.3932 | Val Acc: 82.14% | Sens: 0.70 | Spec: 0.93 | AUC: 0.94
Epoch 24 | Train Loss: 0.2936 | Val Loss: 0.4531 | Val Acc: 85.15% | Sens: 0.97 | Spec: 0.73 | AUC: 0.94
Epoch 25 | Train Loss: 0.2747 | Val Loss: 0.3496 | Val Acc: 87.22% | Sens: 0.89 | Spec: 0.86 | AUC: 0.94
Epoch 26 | Train Loss: 0.2224 | Val Loss: 0.3774 | Val Acc: 85.53% | Sens: 0.80 | Spec: 0.90 | AUC: 0.94
Epoch 27 | Train Loss: 0.2419 | Val Loss: 0.3895 | Val Acc: 86.65% | Sens: 0.95 | Spec: 0.79 | AUC: 0.94
Epoch 28 | Train Loss: 0.2066 | Val Loss: 0.3551 | Val Acc: 87.59% | Sens: 0.89 | Spec: 0.86 | AUC: 0.95
Epoch 29 | Train Loss: 0.1961 | Val Loss: 0.3498 | Val Acc: 87.78% | Sens: 0.92 | Spec: 0.84 | AUC: 0.95
Epoch 30 | Train Loss: 0.1894 | Val Loss: 0.3923 | Val Acc: 85.34% | Sens: 0.79 | Spec: 0.92 | AUC: 0.95
Epoch 31 | Train Loss: 0.2108 | Val Loss: 0.3780 | Val Acc: 85.90% | Sens: 0.92 | Spec: 0.80 | AUC: 0.95
Epoch 32 | Train Loss: 0.1736 | Val Loss: 0.3369 | Val Acc: 87.97% | Sens: 0.90 | Spec: 0.86 | AUC: 0.95
Epoch 33 | Train Loss: 0.2036 | Val Loss: 0.3718 | Val Acc: 84.77% | Sens: 0.77 | Spec: 0.92 | AUC: 0.95
Epoch 34 | Train Loss: 0.1704 | Val Loss: 0.3424 | Val Acc: 88.35% | Sens: 0.85 | Spec: 0.92 | AUC: 0.95
Epoch 35 | Train Loss: 0.1815 | Val Loss: 0.3353 | Val Acc: 87.22% | Sens: 0.92 | Spec: 0.83 | AUC: 0.95
Epoch 36 | Train Loss: 0.1935 | Val Loss: 0.3452 | Val Acc: 85.90% | Sens: 0.77 | Spec: 0.95 | AUC: 0.95
Epoch 37 | Train Loss: 0.1818 | Val Loss: 0.3084 | Val Acc: 89.10% | Sens: 0.90 | Spec: 0.89 | AUC: 0.96
Epoch 38 | Train Loss: 0.1545 | Val Loss: 0.3253 | Val Acc: 87.78% | Sens: 0.85 | Spec: 0.90 | AUC: 0.95
Epoch 39 | Train Loss: 0.1625 | Val Loss: 0.3083 | Val Acc: 89.10% | Sens: 0.92 | Spec: 0.86 | AUC: 0.96
Epoch 40 | Train Loss: 0.1391 | Val Loss: 0.3177 | Val Acc: 89.29% | Sens: 0.91 | Spec: 0.87 | AUC: 0.96
Epoch 41 | Train Loss: 0.1307 | Val Loss: 0.3057 | Val Acc: 89.66% | Sens: 0.90 | Spec: 0.89 | AUC: 0.96
Epoch 42 | Train Loss: 0.1341 | Val Loss: 0.2899 | Val Acc: 90.41% | Sens: 0.89 | Spec: 0.92 | AUC: 0.96
Epoch 43 | Train Loss: 0.1258 | Val Loss: 0.3445 | Val Acc: 88.91% | Sens: 0.91 | Spec: 0.87 | AUC: 0.96
Epoch 44 | Train Loss: 0.1108 | Val Loss: 0.3211 | Val Acc: 90.04% | Sens: 0.91 | Spec: 0.89 | AUC: 0.96
Epoch 45 | Train Loss: 0.1416 | Val Loss: 0.3600 | Val Acc: 89.66% | Sens: 0.93 | Spec: 0.86 | AUC: 0.96
Epoch 46 | Train Loss: 0.1045 | Val Loss: 0.2970 | Val Acc: 89.85% | Sens: 0.90 | Spec: 0.90 | AUC: 0.96
Epoch 47 | Train Loss: 0.1228 | Val Loss: 0.3171 | Val Acc: 89.66% | Sens: 0.92 | Spec: 0.87 | AUC: 0.96
Epoch 48 | Train Loss: 0.1155 | Val Loss: 0.3485 | Val Acc: 89.10% | Sens: 0.88 | Spec: 0.90 | AUC: 0.96
Epoch 49 | Train Loss: 0.0894 | Val Loss: 0.3147 | Val Acc: 88.35% | Sens: 0.84 | Spec: 0.93 | AUC: 0.96
Epoch 50 | Train Loss: 0.1294 | Val Loss: 0.2872 | Val Acc: 89.66% | Sens: 0.90 | Spec: 0.90 | AUC: 0.96
