🚀 Starting run: trainsample_2128_run_3
Epoch 1 | Train Loss: 0.9172 | Val Loss: 0.6535 | Val Acc: 65.41% | Sens: 0.49 | Spec: 0.82 | AUC: 0.80
Epoch 2 | Train Loss: 0.5832 | Val Loss: 0.5125 | Val Acc: 72.37% | Sens: 0.65 | Spec: 0.79 | AUC: 0.83
Epoch 3 | Train Loss: 0.5017 | Val Loss: 0.4506 | Val Acc: 80.26% | Sens: 0.85 | Spec: 0.76 | AUC: 0.87
Epoch 4 | Train Loss: 0.4498 | Val Loss: 0.4117 | Val Acc: 79.14% | Sens: 0.73 | Spec: 0.85 | AUC: 0.90
Epoch 5 | Train Loss: 0.4464 | Val Loss: 0.4402 | Val Acc: 80.83% | Sens: 0.92 | Spec: 0.70 | AUC: 0.90
Epoch 6 | Train Loss: 0.4666 | Val Loss: 0.4078 | Val Acc: 82.14% | Sens: 0.80 | Spec: 0.85 | AUC: 0.91
Epoch 7 | Train Loss: 0.4343 | Val Loss: 0.4115 | Val Acc: 81.77% | Sens: 0.91 | Spec: 0.73 | AUC: 0.91
Epoch 8 | Train Loss: 0.4009 | Val Loss: 0.3796 | Val Acc: 82.89% | Sens: 0.85 | Spec: 0.80 | AUC: 0.91
Epoch 9 | Train Loss: 0.4295 | Val Loss: 0.3921 | Val Acc: 82.52% | Sens: 0.78 | Spec: 0.87 | AUC: 0.91
Epoch 10 | Train Loss: 0.3916 | Val Loss: 0.4338 | Val Acc: 81.20% | Sens: 0.93 | Spec: 0.70 | AUC: 0.91
Epoch 11 | Train Loss: 0.4317 | Val Loss: 0.3776 | Val Acc: 83.83% | Sens: 0.83 | Spec: 0.85 | AUC: 0.92
Epoch 12 | Train Loss: 0.4012 | Val Loss: 0.3761 | Val Acc: 83.46% | Sens: 0.80 | Spec: 0.87 | AUC: 0.91
Epoch 13 | Train Loss: 0.3987 | Val Loss: 0.3692 | Val Acc: 84.40% | Sens: 0.84 | Spec: 0.85 | AUC: 0.92
Epoch 14 | Train Loss: 0.3731 | Val Loss: 0.3684 | Val Acc: 83.65% | Sens: 0.86 | Spec: 0.82 | AUC: 0.92
Epoch 15 | Train Loss: 0.3632 | Val Loss: 0.3783 | Val Acc: 82.71% | Sens: 0.77 | Spec: 0.89 | AUC: 0.92
Epoch 16 | Train Loss: 0.3933 | Val Loss: 0.3714 | Val Acc: 84.21% | Sens: 0.79 | Spec: 0.90 | AUC: 0.92
Epoch 17 | Train Loss: 0.3735 | Val Loss: 0.3600 | Val Acc: 85.15% | Sens: 0.83 | Spec: 0.87 | AUC: 0.93
Epoch 18 | Train Loss: 0.3708 | Val Loss: 0.3632 | Val Acc: 85.15% | Sens: 0.82 | Spec: 0.89 | AUC: 0.92
Epoch 19 | Train Loss: 0.3481 | Val Loss: 0.3795 | Val Acc: 84.77% | Sens: 0.92 | Spec: 0.77 | AUC: 0.93
Epoch 20 | Train Loss: 0.3587 | Val Loss: 0.3497 | Val Acc: 85.53% | Sens: 0.83 | Spec: 0.88 | AUC: 0.93
Epoch 21 | Train Loss: 0.3573 | Val Loss: 0.3877 | Val Acc: 83.65% | Sens: 0.94 | Spec: 0.73 | AUC: 0.93
Epoch 22 | Train Loss: 0.3672 | Val Loss: 0.3565 | Val Acc: 85.53% | Sens: 0.88 | Spec: 0.83 | AUC: 0.93
Epoch 23 | Train Loss: 0.3489 | Val Loss: 0.3463 | Val Acc: 86.47% | Sens: 0.87 | Spec: 0.86 | AUC: 0.93
Epoch 24 | Train Loss: 0.3333 | Val Loss: 0.3513 | Val Acc: 85.34% | Sens: 0.90 | Spec: 0.80 | AUC: 0.94
Epoch 25 | Train Loss: 0.3394 | Val Loss: 0.3517 | Val Acc: 86.09% | Sens: 0.89 | Spec: 0.84 | AUC: 0.93
Epoch 26 | Train Loss: 0.3282 | Val Loss: 0.3545 | Val Acc: 87.03% | Sens: 0.91 | Spec: 0.83 | AUC: 0.93
Epoch 27 | Train Loss: 0.3359 | Val Loss: 0.3463 | Val Acc: 87.22% | Sens: 0.92 | Spec: 0.83 | AUC: 0.94
