🚀 Starting run: trainsample_1277_run_3
Epoch 1 | Train Loss: 0.8582 | Val Loss: 0.6915 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6930 | Val Loss: 0.6869 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6460 | Val Loss: 1.0767 | Val Acc: 53.38% | Sens: 1.00 | Spec: 0.09 | AUC: 0.82
Epoch 4 | Train Loss: 0.6519 | Val Loss: 0.5730 | Val Acc: 76.88% | Sens: 0.87 | Spec: 0.68 | AUC: 0.84
Epoch 5 | Train Loss: 0.5323 | Val Loss: 0.4770 | Val Acc: 75.38% | Sens: 0.74 | Spec: 0.76 | AUC: 0.85
Epoch 6 | Train Loss: 0.4766 | Val Loss: 0.5034 | Val Acc: 76.69% | Sens: 0.95 | Spec: 0.59 | AUC: 0.88
Epoch 7 | Train Loss: 0.4458 | Val Loss: 0.4372 | Val Acc: 79.89% | Sens: 0.85 | Spec: 0.75 | AUC: 0.89
Epoch 8 | Train Loss: 0.4191 | Val Loss: 0.4247 | Val Acc: 80.64% | Sens: 0.84 | Spec: 0.77 | AUC: 0.90
Epoch 9 | Train Loss: 0.4367 | Val Loss: 0.4331 | Val Acc: 80.45% | Sens: 0.71 | Spec: 0.90 | AUC: 0.90
Epoch 10 | Train Loss: 0.4269 | Val Loss: 0.4109 | Val Acc: 81.77% | Sens: 0.83 | Spec: 0.80 | AUC: 0.90
Epoch 11 | Train Loss: 0.4085 | Val Loss: 0.4750 | Val Acc: 75.19% | Sens: 0.55 | Spec: 0.95 | AUC: 0.91
Epoch 12 | Train Loss: 0.4423 | Val Loss: 0.4433 | Val Acc: 81.02% | Sens: 0.91 | Spec: 0.72 | AUC: 0.90
Epoch 13 | Train Loss: 0.4010 | Val Loss: 0.4117 | Val Acc: 82.52% | Sens: 0.74 | Spec: 0.90 | AUC: 0.91
Epoch 14 | Train Loss: 0.4323 | Val Loss: 0.3958 | Val Acc: 83.83% | Sens: 0.81 | Spec: 0.86 | AUC: 0.91
Epoch 15 | Train Loss: 0.3947 | Val Loss: 0.4418 | Val Acc: 81.77% | Sens: 0.92 | Spec: 0.72 | AUC: 0.91
Epoch 16 | Train Loss: 0.3634 | Val Loss: 0.4423 | Val Acc: 81.58% | Sens: 0.92 | Spec: 0.72 | AUC: 0.91
Epoch 17 | Train Loss: 0.3772 | Val Loss: 0.4212 | Val Acc: 79.89% | Sens: 0.67 | Spec: 0.93 | AUC: 0.91
Epoch 18 | Train Loss: 0.3545 | Val Loss: 0.3981 | Val Acc: 84.02% | Sens: 0.90 | Spec: 0.78 | AUC: 0.92
Epoch 19 | Train Loss: 0.3289 | Val Loss: 0.3966 | Val Acc: 86.09% | Sens: 0.90 | Spec: 0.82 | AUC: 0.92
Epoch 20 | Train Loss: 0.3161 | Val Loss: 0.3957 | Val Acc: 85.34% | Sens: 0.91 | Spec: 0.80 | AUC: 0.93
Epoch 21 | Train Loss: 0.3548 | Val Loss: 0.3989 | Val Acc: 82.14% | Sens: 0.71 | Spec: 0.93 | AUC: 0.93
Epoch 22 | Train Loss: 0.3319 | Val Loss: 0.3879 | Val Acc: 86.28% | Sens: 0.93 | Spec: 0.80 | AUC: 0.93
Epoch 23 | Train Loss: 0.3173 | Val Loss: 0.3938 | Val Acc: 81.58% | Sens: 0.68 | Spec: 0.94 | AUC: 0.93
Epoch 24 | Train Loss: 0.3352 | Val Loss: 0.3914 | Val Acc: 84.77% | Sens: 0.93 | Spec: 0.76 | AUC: 0.93
Epoch 25 | Train Loss: 0.3191 | Val Loss: 0.3429 | Val Acc: 87.22% | Sens: 0.86 | Spec: 0.89 | AUC: 0.94
Epoch 26 | Train Loss: 0.2804 | Val Loss: 0.3582 | Val Acc: 87.03% | Sens: 0.84 | Spec: 0.90 | AUC: 0.94
Epoch 27 | Train Loss: 0.2784 | Val Loss: 0.3380 | Val Acc: 86.47% | Sens: 0.85 | Spec: 0.88 | AUC: 0.94
Epoch 28 | Train Loss: 0.2442 | Val Loss: 0.3793 | Val Acc: 86.65% | Sens: 0.94 | Spec: 0.79 | AUC: 0.94
Epoch 29 | Train Loss: 0.2423 | Val Loss: 0.3607 | Val Acc: 88.35% | Sens: 0.90 | Spec: 0.86 | AUC: 0.94
Epoch 30 | Train Loss: 0.2417 | Val Loss: 0.3566 | Val Acc: 85.34% | Sens: 0.76 | Spec: 0.94 | AUC: 0.95
Epoch 31 | Train Loss: 0.2319 | Val Loss: 0.4084 | Val Acc: 86.47% | Sens: 0.96 | Spec: 0.77 | AUC: 0.94
Epoch 32 | Train Loss: 0.2481 | Val Loss: 0.3246 | Val Acc: 88.35% | Sens: 0.87 | Spec: 0.89 | AUC: 0.95
Epoch 33 | Train Loss: 0.2067 | Val Loss: 0.3564 | Val Acc: 86.84% | Sens: 0.80 | Spec: 0.94 | AUC: 0.95
Epoch 34 | Train Loss: 0.2031 | Val Loss: 0.3376 | Val Acc: 88.53% | Sens: 0.87 | Spec: 0.90 | AUC: 0.95
Epoch 35 | Train Loss: 0.2190 | Val Loss: 0.3307 | Val Acc: 88.53% | Sens: 0.95 | Spec: 0.83 | AUC: 0.95
Epoch 36 | Train Loss: 0.2022 | Val Loss: 0.3275 | Val Acc: 87.59% | Sens: 0.80 | Spec: 0.95 | AUC: 0.95
