🚀 Starting run: trainsample_851_run_3
Epoch 1 | Train Loss: 1.5909 | Val Loss: 0.7044 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.72
Epoch 2 | Train Loss: 0.7247 | Val Loss: 0.7034 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6936 | Val Loss: 0.6852 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.78
Epoch 4 | Train Loss: 0.6604 | Val Loss: 0.6410 | Val Acc: 62.41% | Sens: 0.98 | Spec: 0.28 | AUC: 0.81
Epoch 5 | Train Loss: 0.5941 | Val Loss: 0.5287 | Val Acc: 70.86% | Sens: 0.63 | Spec: 0.78 | AUC: 0.82
Epoch 6 | Train Loss: 0.5296 | Val Loss: 0.5204 | Val Acc: 71.43% | Sens: 0.58 | Spec: 0.85 | AUC: 0.83
Epoch 7 | Train Loss: 0.5614 | Val Loss: 0.5758 | Val Acc: 72.56% | Sens: 0.94 | Spec: 0.52 | AUC: 0.83
Epoch 8 | Train Loss: 0.5485 | Val Loss: 0.5059 | Val Acc: 77.63% | Sens: 0.88 | Spec: 0.68 | AUC: 0.85
Epoch 9 | Train Loss: 0.5107 | Val Loss: 0.4755 | Val Acc: 78.95% | Sens: 0.74 | Spec: 0.84 | AUC: 0.87
Epoch 10 | Train Loss: 0.4785 | Val Loss: 0.4441 | Val Acc: 80.26% | Sens: 0.76 | Spec: 0.84 | AUC: 0.88
Epoch 11 | Train Loss: 0.4386 | Val Loss: 0.4423 | Val Acc: 78.57% | Sens: 0.67 | Spec: 0.89 | AUC: 0.89
Epoch 12 | Train Loss: 0.4381 | Val Loss: 0.4136 | Val Acc: 81.77% | Sens: 0.83 | Spec: 0.80 | AUC: 0.90
Epoch 13 | Train Loss: 0.4111 | Val Loss: 0.4146 | Val Acc: 81.20% | Sens: 0.77 | Spec: 0.85 | AUC: 0.90
Epoch 14 | Train Loss: 0.4653 | Val Loss: 0.4251 | Val Acc: 79.14% | Sens: 0.69 | Spec: 0.89 | AUC: 0.90
Epoch 15 | Train Loss: 0.4149 | Val Loss: 0.4119 | Val Acc: 82.89% | Sens: 0.82 | Spec: 0.84 | AUC: 0.90
Epoch 16 | Train Loss: 0.3948 | Val Loss: 0.4130 | Val Acc: 80.45% | Sens: 0.74 | Spec: 0.87 | AUC: 0.90
Epoch 17 | Train Loss: 0.3611 | Val Loss: 0.4040 | Val Acc: 84.02% | Sens: 0.86 | Spec: 0.82 | AUC: 0.91
Epoch 18 | Train Loss: 0.4038 | Val Loss: 0.3961 | Val Acc: 82.33% | Sens: 0.79 | Spec: 0.86 | AUC: 0.91
Epoch 19 | Train Loss: 0.3812 | Val Loss: 0.3940 | Val Acc: 82.14% | Sens: 0.78 | Spec: 0.86 | AUC: 0.91
Epoch 20 | Train Loss: 0.3971 | Val Loss: 0.3873 | Val Acc: 83.27% | Sens: 0.80 | Spec: 0.86 | AUC: 0.91
Epoch 21 | Train Loss: 0.3499 | Val Loss: 0.3831 | Val Acc: 84.21% | Sens: 0.86 | Spec: 0.82 | AUC: 0.92
Epoch 22 | Train Loss: 0.3413 | Val Loss: 0.4025 | Val Acc: 84.59% | Sens: 0.91 | Spec: 0.78 | AUC: 0.92
Epoch 23 | Train Loss: 0.3415 | Val Loss: 0.3763 | Val Acc: 84.40% | Sens: 0.84 | Spec: 0.85 | AUC: 0.92
Epoch 24 | Train Loss: 0.3008 | Val Loss: 0.3784 | Val Acc: 83.83% | Sens: 0.84 | Spec: 0.84 | AUC: 0.92
Epoch 25 | Train Loss: 0.3090 | Val Loss: 0.3750 | Val Acc: 83.65% | Sens: 0.80 | Spec: 0.87 | AUC: 0.92
Epoch 26 | Train Loss: 0.3029 | Val Loss: 0.4007 | Val Acc: 83.83% | Sens: 0.92 | Spec: 0.76 | AUC: 0.92
Epoch 27 | Train Loss: 0.3201 | Val Loss: 0.4509 | Val Acc: 81.58% | Sens: 0.96 | Spec: 0.68 | AUC: 0.93
Epoch 28 | Train Loss: 0.3326 | Val Loss: 0.4035 | Val Acc: 83.27% | Sens: 0.94 | Spec: 0.73 | AUC: 0.93
Epoch 29 | Train Loss: 0.2972 | Val Loss: 0.4093 | Val Acc: 83.08% | Sens: 0.94 | Spec: 0.73 | AUC: 0.93
Epoch 30 | Train Loss: 0.2927 | Val Loss: 0.4115 | Val Acc: 84.21% | Sens: 0.93 | Spec: 0.76 | AUC: 0.93
Epoch 31 | Train Loss: 0.2804 | Val Loss: 0.3603 | Val Acc: 84.59% | Sens: 0.82 | Spec: 0.87 | AUC: 0.93
