🚀 Starting run: trainsample_2128_run_4
Epoch 1 | Train Loss: 0.9173 | Val Loss: 0.6553 | Val Acc: 71.62% | Sens: 0.64 | Spec: 0.79 | AUC: 0.80
Epoch 2 | Train Loss: 0.5652 | Val Loss: 0.5940 | Val Acc: 66.17% | Sens: 0.37 | Spec: 0.94 | AUC: 0.84
Epoch 3 | Train Loss: 0.5004 | Val Loss: 0.4416 | Val Acc: 77.63% | Sens: 0.73 | Spec: 0.82 | AUC: 0.87
Epoch 4 | Train Loss: 0.4560 | Val Loss: 0.4214 | Val Acc: 79.14% | Sens: 0.70 | Spec: 0.88 | AUC: 0.90
Epoch 5 | Train Loss: 0.4416 | Val Loss: 0.4620 | Val Acc: 79.89% | Sens: 0.92 | Spec: 0.68 | AUC: 0.90
Epoch 6 | Train Loss: 0.4569 | Val Loss: 0.4186 | Val Acc: 82.14% | Sens: 0.74 | Spec: 0.90 | AUC: 0.91
Epoch 7 | Train Loss: 0.4508 | Val Loss: 0.3857 | Val Acc: 83.83% | Sens: 0.82 | Spec: 0.86 | AUC: 0.92
Epoch 8 | Train Loss: 0.4138 | Val Loss: 0.3833 | Val Acc: 83.27% | Sens: 0.87 | Spec: 0.80 | AUC: 0.92
Epoch 9 | Train Loss: 0.4500 | Val Loss: 0.3959 | Val Acc: 82.52% | Sens: 0.86 | Spec: 0.79 | AUC: 0.91
Epoch 10 | Train Loss: 0.4139 | Val Loss: 0.4844 | Val Acc: 79.70% | Sens: 0.95 | Spec: 0.65 | AUC: 0.92
Epoch 11 | Train Loss: 0.4519 | Val Loss: 0.4054 | Val Acc: 83.27% | Sens: 0.91 | Spec: 0.76 | AUC: 0.92
Epoch 12 | Train Loss: 0.4008 | Val Loss: 0.3730 | Val Acc: 83.83% | Sens: 0.87 | Spec: 0.81 | AUC: 0.92
Epoch 13 | Train Loss: 0.3889 | Val Loss: 0.3677 | Val Acc: 84.02% | Sens: 0.86 | Spec: 0.82 | AUC: 0.92
Epoch 14 | Train Loss: 0.3710 | Val Loss: 0.3704 | Val Acc: 84.40% | Sens: 0.86 | Spec: 0.83 | AUC: 0.92
Epoch 15 | Train Loss: 0.3630 | Val Loss: 0.3609 | Val Acc: 84.96% | Sens: 0.84 | Spec: 0.86 | AUC: 0.93
