🚀 Starting run: trainsample_1702_run_4
Epoch 1 | Train Loss: 1.1285 | Val Loss: 0.6911 | Val Acc: 51.32% | Sens: 0.01 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6922 | Val Loss: 0.6886 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6429 | Val Loss: 0.7088 | Val Acc: 62.59% | Sens: 0.97 | Spec: 0.29 | AUC: 0.82
Epoch 4 | Train Loss: 0.5370 | Val Loss: 0.6773 | Val Acc: 60.15% | Sens: 0.21 | Spec: 0.98 | AUC: 0.83
Epoch 5 | Train Loss: 0.5652 | Val Loss: 0.6322 | Val Acc: 66.73% | Sens: 0.97 | Spec: 0.37 | AUC: 0.86
Epoch 6 | Train Loss: 0.5642 | Val Loss: 0.5380 | Val Acc: 72.56% | Sens: 0.95 | Spec: 0.51 | AUC: 0.87
Epoch 7 | Train Loss: 0.4805 | Val Loss: 0.5055 | Val Acc: 72.37% | Sens: 0.52 | Spec: 0.92 | AUC: 0.87
Epoch 8 | Train Loss: 0.4695 | Val Loss: 0.5120 | Val Acc: 75.56% | Sens: 0.95 | Spec: 0.57 | AUC: 0.88
Epoch 9 | Train Loss: 0.4789 | Val Loss: 0.4422 | Val Acc: 80.08% | Sens: 0.77 | Spec: 0.83 | AUC: 0.88
Epoch 10 | Train Loss: 0.4343 | Val Loss: 0.4308 | Val Acc: 80.26% | Sens: 0.83 | Spec: 0.77 | AUC: 0.88
Epoch 11 | Train Loss: 0.4416 | Val Loss: 0.4351 | Val Acc: 81.20% | Sens: 0.90 | Spec: 0.72 | AUC: 0.89
Epoch 12 | Train Loss: 0.4391 | Val Loss: 0.4244 | Val Acc: 81.02% | Sens: 0.86 | Spec: 0.76 | AUC: 0.89
Epoch 13 | Train Loss: 0.4053 | Val Loss: 0.4262 | Val Acc: 80.83% | Sens: 0.78 | Spec: 0.84 | AUC: 0.89
Epoch 14 | Train Loss: 0.4076 | Val Loss: 0.4111 | Val Acc: 80.64% | Sens: 0.81 | Spec: 0.80 | AUC: 0.90
Epoch 15 | Train Loss: 0.3909 | Val Loss: 0.4391 | Val Acc: 81.20% | Sens: 0.93 | Spec: 0.70 | AUC: 0.91
Epoch 16 | Train Loss: 0.4194 | Val Loss: 0.3998 | Val Acc: 82.71% | Sens: 0.82 | Spec: 0.84 | AUC: 0.91
