🚀 Starting run: trainsample_1277_run_4
Epoch 1 | Train Loss: 0.8581 | Val Loss: 0.6919 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.69
Epoch 2 | Train Loss: 0.6926 | Val Loss: 0.6831 | Val Acc: 53.20% | Sens: 0.05 | Spec: 1.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6510 | Val Loss: 0.7728 | Val Acc: 56.58% | Sens: 0.98 | Spec: 0.16 | AUC: 0.81
Epoch 4 | Train Loss: 0.5712 | Val Loss: 0.5136 | Val Acc: 73.68% | Sens: 0.67 | Spec: 0.80 | AUC: 0.84
Epoch 5 | Train Loss: 0.4997 | Val Loss: 0.4781 | Val Acc: 75.75% | Sens: 0.67 | Spec: 0.84 | AUC: 0.86
Epoch 6 | Train Loss: 0.4774 | Val Loss: 0.4848 | Val Acc: 78.95% | Sens: 0.93 | Spec: 0.65 | AUC: 0.88
Epoch 7 | Train Loss: 0.4411 | Val Loss: 0.4341 | Val Acc: 80.26% | Sens: 0.75 | Spec: 0.86 | AUC: 0.89
Epoch 8 | Train Loss: 0.4166 | Val Loss: 0.4360 | Val Acc: 81.77% | Sens: 0.72 | Spec: 0.92 | AUC: 0.90
Epoch 9 | Train Loss: 0.3902 | Val Loss: 0.4161 | Val Acc: 82.14% | Sens: 0.78 | Spec: 0.86 | AUC: 0.90
Epoch 10 | Train Loss: 0.3864 | Val Loss: 0.4144 | Val Acc: 82.52% | Sens: 0.76 | Spec: 0.89 | AUC: 0.91
Epoch 11 | Train Loss: 0.3875 | Val Loss: 0.4979 | Val Acc: 74.81% | Sens: 0.54 | Spec: 0.94 | AUC: 0.90
Epoch 12 | Train Loss: 0.4354 | Val Loss: 0.4527 | Val Acc: 80.64% | Sens: 0.92 | Spec: 0.70 | AUC: 0.91
Epoch 13 | Train Loss: 0.4017 | Val Loss: 0.4207 | Val Acc: 82.71% | Sens: 0.89 | Spec: 0.77 | AUC: 0.91
Epoch 14 | Train Loss: 0.3686 | Val Loss: 0.4357 | Val Acc: 83.08% | Sens: 0.90 | Spec: 0.76 | AUC: 0.92
Epoch 15 | Train Loss: 0.3471 | Val Loss: 0.4256 | Val Acc: 82.14% | Sens: 0.91 | Spec: 0.74 | AUC: 0.92
Epoch 16 | Train Loss: 0.3120 | Val Loss: 0.4333 | Val Acc: 83.08% | Sens: 0.92 | Spec: 0.75 | AUC: 0.92
Epoch 17 | Train Loss: 0.3244 | Val Loss: 0.4059 | Val Acc: 84.40% | Sens: 0.76 | Spec: 0.93 | AUC: 0.92
Epoch 18 | Train Loss: 0.3037 | Val Loss: 0.3963 | Val Acc: 84.59% | Sens: 0.88 | Spec: 0.82 | AUC: 0.93
Epoch 19 | Train Loss: 0.2999 | Val Loss: 0.4141 | Val Acc: 84.21% | Sens: 0.92 | Spec: 0.77 | AUC: 0.93
Epoch 20 | Train Loss: 0.2949 | Val Loss: 0.4088 | Val Acc: 83.65% | Sens: 0.89 | Spec: 0.78 | AUC: 0.93
Epoch 21 | Train Loss: 0.3140 | Val Loss: 0.4223 | Val Acc: 82.33% | Sens: 0.69 | Spec: 0.95 | AUC: 0.93
Epoch 22 | Train Loss: 0.2954 | Val Loss: 0.3974 | Val Acc: 84.21% | Sens: 0.91 | Spec: 0.78 | AUC: 0.93
Epoch 23 | Train Loss: 0.2881 | Val Loss: 0.4374 | Val Acc: 83.65% | Sens: 0.71 | Spec: 0.96 | AUC: 0.93
