🚀 Starting run: trainsample_2128_run_5
Epoch 1 | Train Loss: 0.9180 | Val Loss: 0.6679 | Val Acc: 55.26% | Sens: 0.10 | Spec: 0.99 | AUC: 0.81
Epoch 2 | Train Loss: 0.5959 | Val Loss: 0.5089 | Val Acc: 72.93% | Sens: 0.68 | Spec: 0.78 | AUC: 0.83
Epoch 3 | Train Loss: 0.5241 | Val Loss: 0.4709 | Val Acc: 75.19% | Sens: 0.62 | Spec: 0.88 | AUC: 0.87
Epoch 4 | Train Loss: 0.4678 | Val Loss: 0.4601 | Val Acc: 75.19% | Sens: 0.58 | Spec: 0.92 | AUC: 0.90
Epoch 5 | Train Loss: 0.4464 | Val Loss: 0.4210 | Val Acc: 82.33% | Sens: 0.88 | Spec: 0.77 | AUC: 0.90
Epoch 6 | Train Loss: 0.4264 | Val Loss: 0.4523 | Val Acc: 77.26% | Sens: 0.59 | Spec: 0.94 | AUC: 0.91
Epoch 7 | Train Loss: 0.4844 | Val Loss: 0.4193 | Val Acc: 83.65% | Sens: 0.77 | Spec: 0.90 | AUC: 0.91
Epoch 8 | Train Loss: 0.4270 | Val Loss: 0.3942 | Val Acc: 81.95% | Sens: 0.86 | Spec: 0.78 | AUC: 0.91
Epoch 9 | Train Loss: 0.3944 | Val Loss: 0.4018 | Val Acc: 82.71% | Sens: 0.76 | Spec: 0.89 | AUC: 0.91
Epoch 10 | Train Loss: 0.3836 | Val Loss: 0.4801 | Val Acc: 80.64% | Sens: 0.94 | Spec: 0.68 | AUC: 0.91
Epoch 11 | Train Loss: 0.4643 | Val Loss: 0.4210 | Val Acc: 83.27% | Sens: 0.91 | Spec: 0.76 | AUC: 0.92
Epoch 12 | Train Loss: 0.4232 | Val Loss: 0.3884 | Val Acc: 83.83% | Sens: 0.88 | Spec: 0.80 | AUC: 0.92
Epoch 13 | Train Loss: 0.3841 | Val Loss: 0.3933 | Val Acc: 83.83% | Sens: 0.88 | Spec: 0.80 | AUC: 0.92
Epoch 14 | Train Loss: 0.3675 | Val Loss: 0.3781 | Val Acc: 83.83% | Sens: 0.85 | Spec: 0.82 | AUC: 0.92
Epoch 15 | Train Loss: 0.3731 | Val Loss: 0.3909 | Val Acc: 83.08% | Sens: 0.74 | Spec: 0.92 | AUC: 0.92
Epoch 16 | Train Loss: 0.3980 | Val Loss: 0.3773 | Val Acc: 84.77% | Sens: 0.85 | Spec: 0.84 | AUC: 0.92
Epoch 17 | Train Loss: 0.3738 | Val Loss: 0.3926 | Val Acc: 85.53% | Sens: 0.90 | Spec: 0.81 | AUC: 0.92
Epoch 18 | Train Loss: 0.3566 | Val Loss: 0.3840 | Val Acc: 85.34% | Sens: 0.88 | Spec: 0.83 | AUC: 0.92
