🚀 Starting run: trainsample_1915_run_5
Epoch 1 | Train Loss: 0.7970 | Val Loss: 0.6921 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.80
Epoch 2 | Train Loss: 0.5814 | Val Loss: 0.5323 | Val Acc: 73.50% | Sens: 0.74 | Spec: 0.73 | AUC: 0.81
Epoch 3 | Train Loss: 0.5434 | Val Loss: 0.5216 | Val Acc: 74.62% | Sens: 0.76 | Spec: 0.73 | AUC: 0.82
Epoch 4 | Train Loss: 0.5245 | Val Loss: 0.4938 | Val Acc: 75.38% | Sens: 0.73 | Spec: 0.77 | AUC: 0.84
Epoch 5 | Train Loss: 0.4803 | Val Loss: 0.4649 | Val Acc: 78.20% | Sens: 0.70 | Spec: 0.86 | AUC: 0.87
Epoch 6 | Train Loss: 0.4400 | Val Loss: 0.4251 | Val Acc: 79.89% | Sens: 0.92 | Spec: 0.69 | AUC: 0.90
Epoch 7 | Train Loss: 0.4073 | Val Loss: 0.3936 | Val Acc: 82.33% | Sens: 0.73 | Spec: 0.91 | AUC: 0.92
Epoch 8 | Train Loss: 0.3724 | Val Loss: 0.3869 | Val Acc: 81.20% | Sens: 0.92 | Spec: 0.71 | AUC: 0.93
Epoch 9 | Train Loss: 0.3665 | Val Loss: 0.3693 | Val Acc: 83.27% | Sens: 0.93 | Spec: 0.74 | AUC: 0.93
Epoch 10 | Train Loss: 0.3420 | Val Loss: 0.3525 | Val Acc: 84.96% | Sens: 0.92 | Spec: 0.78 | AUC: 0.94
Epoch 11 | Train Loss: 0.3219 | Val Loss: 0.3523 | Val Acc: 85.71% | Sens: 0.84 | Spec: 0.88 | AUC: 0.94
Epoch 12 | Train Loss: 0.2962 | Val Loss: 0.3196 | Val Acc: 88.16% | Sens: 0.87 | Spec: 0.89 | AUC: 0.95
Epoch 13 | Train Loss: 0.2909 | Val Loss: 0.3760 | Val Acc: 86.09% | Sens: 0.96 | Spec: 0.76 | AUC: 0.95
Epoch 14 | Train Loss: 0.2636 | Val Loss: 0.3333 | Val Acc: 88.53% | Sens: 0.96 | Spec: 0.82 | AUC: 0.95
Epoch 15 | Train Loss: 0.2504 | Val Loss: 0.3197 | Val Acc: 87.41% | Sens: 0.83 | Spec: 0.92 | AUC: 0.95
