🚀 Starting run: trainsample_1702_run_5
Epoch 1 | Train Loss: 1.1285 | Val Loss: 0.6911 | Val Acc: 51.32% | Sens: 0.01 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6922 | Val Loss: 0.6886 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6414 | Val Loss: 0.6673 | Val Acc: 66.35% | Sens: 0.97 | Spec: 0.37 | AUC: 0.82
Epoch 4 | Train Loss: 0.5195 | Val Loss: 0.5728 | Val Acc: 68.42% | Sens: 0.41 | Spec: 0.95 | AUC: 0.84
Epoch 5 | Train Loss: 0.4956 | Val Loss: 0.4504 | Val Acc: 80.26% | Sens: 0.86 | Spec: 0.75 | AUC: 0.88
Epoch 6 | Train Loss: 0.4577 | Val Loss: 0.4231 | Val Acc: 81.02% | Sens: 0.82 | Spec: 0.80 | AUC: 0.89
Epoch 7 | Train Loss: 0.4268 | Val Loss: 0.4175 | Val Acc: 81.95% | Sens: 0.76 | Spec: 0.87 | AUC: 0.90
Epoch 8 | Train Loss: 0.4069 | Val Loss: 0.4227 | Val Acc: 81.77% | Sens: 0.91 | Spec: 0.73 | AUC: 0.90
Epoch 9 | Train Loss: 0.4267 | Val Loss: 0.4066 | Val Acc: 81.58% | Sens: 0.88 | Spec: 0.76 | AUC: 0.91
Epoch 10 | Train Loss: 0.3845 | Val Loss: 0.4012 | Val Acc: 83.46% | Sens: 0.89 | Spec: 0.78 | AUC: 0.91
Epoch 11 | Train Loss: 0.3755 | Val Loss: 0.3778 | Val Acc: 84.40% | Sens: 0.84 | Spec: 0.85 | AUC: 0.92
Epoch 12 | Train Loss: 0.3531 | Val Loss: 0.4001 | Val Acc: 83.83% | Sens: 0.93 | Spec: 0.75 | AUC: 0.93
Epoch 13 | Train Loss: 0.3453 | Val Loss: 0.3630 | Val Acc: 85.34% | Sens: 0.85 | Spec: 0.86 | AUC: 0.92
Epoch 14 | Train Loss: 0.3411 | Val Loss: 0.3701 | Val Acc: 85.90% | Sens: 0.93 | Spec: 0.79 | AUC: 0.93
Epoch 15 | Train Loss: 0.3465 | Val Loss: 0.4403 | Val Acc: 82.71% | Sens: 0.95 | Spec: 0.70 | AUC: 0.93
Epoch 16 | Train Loss: 0.3502 | Val Loss: 0.3422 | Val Acc: 86.28% | Sens: 0.90 | Spec: 0.83 | AUC: 0.94
Epoch 17 | Train Loss: 0.3206 | Val Loss: 0.3876 | Val Acc: 84.02% | Sens: 0.76 | Spec: 0.92 | AUC: 0.93
Epoch 18 | Train Loss: 0.3463 | Val Loss: 0.3530 | Val Acc: 86.09% | Sens: 0.92 | Spec: 0.80 | AUC: 0.94
Epoch 19 | Train Loss: 0.2928 | Val Loss: 0.3469 | Val Acc: 85.71% | Sens: 0.84 | Spec: 0.87 | AUC: 0.94
Epoch 20 | Train Loss: 0.3034 | Val Loss: 0.3588 | Val Acc: 85.53% | Sens: 0.78 | Spec: 0.93 | AUC: 0.94
Epoch 21 | Train Loss: 0.3027 | Val Loss: 0.3494 | Val Acc: 86.47% | Sens: 0.93 | Spec: 0.80 | AUC: 0.94
Epoch 22 | Train Loss: 0.2977 | Val Loss: 0.4079 | Val Acc: 84.40% | Sens: 0.95 | Spec: 0.75 | AUC: 0.94
Epoch 23 | Train Loss: 0.2827 | Val Loss: 0.3718 | Val Acc: 86.28% | Sens: 0.94 | Spec: 0.79 | AUC: 0.94
Epoch 24 | Train Loss: 0.2773 | Val Loss: 0.3402 | Val Acc: 86.09% | Sens: 0.85 | Spec: 0.87 | AUC: 0.94
Epoch 25 | Train Loss: 0.2973 | Val Loss: 0.3329 | Val Acc: 86.28% | Sens: 0.82 | Spec: 0.90 | AUC: 0.94
Epoch 26 | Train Loss: 0.2748 | Val Loss: 0.3409 | Val Acc: 86.47% | Sens: 0.89 | Spec: 0.85 | AUC: 0.94
Epoch 27 | Train Loss: 0.2693 | Val Loss: 0.3953 | Val Acc: 85.90% | Sens: 0.94 | Spec: 0.78 | AUC: 0.94
Epoch 28 | Train Loss: 0.2621 | Val Loss: 0.3296 | Val Acc: 87.97% | Sens: 0.89 | Spec: 0.87 | AUC: 0.95
Epoch 29 | Train Loss: 0.2449 | Val Loss: 0.3610 | Val Acc: 86.09% | Sens: 0.92 | Spec: 0.81 | AUC: 0.95
Epoch 30 | Train Loss: 0.2439 | Val Loss: 0.3295 | Val Acc: 87.97% | Sens: 0.89 | Spec: 0.87 | AUC: 0.95
Epoch 31 | Train Loss: 0.2573 | Val Loss: 0.3462 | Val Acc: 86.65% | Sens: 0.93 | Spec: 0.80 | AUC: 0.95
Epoch 32 | Train Loss: 0.3003 | Val Loss: 0.3251 | Val Acc: 87.22% | Sens: 0.92 | Spec: 0.82 | AUC: 0.95
Epoch 33 | Train Loss: 0.2493 | Val Loss: 0.3210 | Val Acc: 88.35% | Sens: 0.92 | Spec: 0.85 | AUC: 0.95
Epoch 34 | Train Loss: 0.2468 | Val Loss: 0.3196 | Val Acc: 88.35% | Sens: 0.89 | Spec: 0.88 | AUC: 0.95
Epoch 35 | Train Loss: 0.2576 | Val Loss: 0.3154 | Val Acc: 88.72% | Sens: 0.90 | Spec: 0.88 | AUC: 0.95
Epoch 36 | Train Loss: 0.2312 | Val Loss: 0.4075 | Val Acc: 85.90% | Sens: 0.96 | Spec: 0.76 | AUC: 0.95
Epoch 37 | Train Loss: 0.2731 | Val Loss: 0.3025 | Val Acc: 88.91% | Sens: 0.85 | Spec: 0.92 | AUC: 0.95
Epoch 38 | Train Loss: 0.2268 | Val Loss: 0.3497 | Val Acc: 87.22% | Sens: 0.90 | Spec: 0.84 | AUC: 0.95
Epoch 39 | Train Loss: 0.2082 | Val Loss: 0.3342 | Val Acc: 87.78% | Sens: 0.92 | Spec: 0.83 | AUC: 0.95
Epoch 40 | Train Loss: 0.2216 | Val Loss: 0.3463 | Val Acc: 88.16% | Sens: 0.83 | Spec: 0.93 | AUC: 0.95
Epoch 41 | Train Loss: 0.2343 | Val Loss: 0.3383 | Val Acc: 87.97% | Sens: 0.93 | Spec: 0.83 | AUC: 0.95
Epoch 42 | Train Loss: 0.2002 | Val Loss: 0.3529 | Val Acc: 87.59% | Sens: 0.93 | Spec: 0.83 | AUC: 0.95
Epoch 43 | Train Loss: 0.2066 | Val Loss: 0.3603 | Val Acc: 87.22% | Sens: 0.94 | Spec: 0.81 | AUC: 0.95
Epoch 44 | Train Loss: 0.2734 | Val Loss: 0.3387 | Val Acc: 86.84% | Sens: 0.85 | Spec: 0.89 | AUC: 0.95
Epoch 45 | Train Loss: 0.2249 | Val Loss: 0.3003 | Val Acc: 90.23% | Sens: 0.89 | Spec: 0.91 | AUC: 0.95
Epoch 46 | Train Loss: 0.2227 | Val Loss: 0.3344 | Val Acc: 89.29% | Sens: 0.91 | Spec: 0.87 | AUC: 0.95
Epoch 47 | Train Loss: 0.1796 | Val Loss: 0.3405 | Val Acc: 88.72% | Sens: 0.91 | Spec: 0.86 | AUC: 0.95
Epoch 48 | Train Loss: 0.1952 | Val Loss: 0.3222 | Val Acc: 88.91% | Sens: 0.92 | Spec: 0.86 | AUC: 0.95
Epoch 49 | Train Loss: 0.1870 | Val Loss: 0.3618 | Val Acc: 88.72% | Sens: 0.92 | Spec: 0.86 | AUC: 0.95
Epoch 50 | Train Loss: 0.2033 | Val Loss: 0.3051 | Val Acc: 89.10% | Sens: 0.90 | Spec: 0.89 | AUC: 0.95
Epoch 51 | Train Loss: 0.1885 | Val Loss: 0.3338 | Val Acc: 88.72% | Sens: 0.87 | Spec: 0.91 | AUC: 0.95
Epoch 52 | Train Loss: 0.1822 | Val Loss: 0.3493 | Val Acc: 88.16% | Sens: 0.91 | Spec: 0.85 | AUC: 0.95
Epoch 53 | Train Loss: 0.1814 | Val Loss: 0.3285 | Val Acc: 89.29% | Sens: 0.88 | Spec: 0.91 | AUC: 0.95
Epoch 54 | Train Loss: 0.2289 | Val Loss: 0.3699 | Val Acc: 87.78% | Sens: 0.95 | Spec: 0.81 | AUC: 0.95
Epoch 55 | Train Loss: 0.1922 | Val Loss: 0.3433 | Val Acc: 88.16% | Sens: 0.84 | Spec: 0.92 | AUC: 0.95
🚨 Early stopping after 55 epochs.

🔍 Testing on separate test set...
/nfs/homes/sdreyer/Digit-Classification-Pytorch/ClassSweep.py:284: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  classifier.load_state_dict(torch.load(model_path, map_location=device))
✅ Correct: 525 | ❌ Incorrect: 81 | Total: 606
🎯 Test Accuracy: 86.63% | Sens: 0.87 | Spec: 0.87 | AUC: 0.95
