🚀 Starting run: trainsample_1915_run_6
Epoch 1 | Train Loss: 0.7967 | Val Loss: 0.7173 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.80
Epoch 2 | Train Loss: 0.5862 | Val Loss: 0.5342 | Val Acc: 72.74% | Sens: 0.67 | Spec: 0.79 | AUC: 0.81
Epoch 3 | Train Loss: 0.5533 | Val Loss: 0.6234 | Val Acc: 68.98% | Sens: 0.95 | Spec: 0.44 | AUC: 0.82
Epoch 4 | Train Loss: 0.5303 | Val Loss: 0.5287 | Val Acc: 74.06% | Sens: 0.90 | Spec: 0.58 | AUC: 0.83
Epoch 5 | Train Loss: 0.4938 | Val Loss: 0.4807 | Val Acc: 76.50% | Sens: 0.65 | Spec: 0.88 | AUC: 0.87
Epoch 6 | Train Loss: 0.4524 | Val Loss: 0.4062 | Val Acc: 79.89% | Sens: 0.81 | Spec: 0.79 | AUC: 0.90
Epoch 7 | Train Loss: 0.3928 | Val Loss: 0.3740 | Val Acc: 83.08% | Sens: 0.84 | Spec: 0.82 | AUC: 0.92
Epoch 8 | Train Loss: 0.3825 | Val Loss: 0.3738 | Val Acc: 82.89% | Sens: 0.90 | Spec: 0.76 | AUC: 0.93
Epoch 9 | Train Loss: 0.3695 | Val Loss: 0.3610 | Val Acc: 83.83% | Sens: 0.90 | Spec: 0.78 | AUC: 0.93
Epoch 10 | Train Loss: 0.3364 | Val Loss: 0.3502 | Val Acc: 84.59% | Sens: 0.89 | Spec: 0.80 | AUC: 0.93
Epoch 11 | Train Loss: 0.3155 | Val Loss: 0.3302 | Val Acc: 87.03% | Sens: 0.89 | Spec: 0.85 | AUC: 0.94
Epoch 12 | Train Loss: 0.2876 | Val Loss: 0.3327 | Val Acc: 86.09% | Sens: 0.80 | Spec: 0.92 | AUC: 0.95
Epoch 13 | Train Loss: 0.2818 | Val Loss: 0.3120 | Val Acc: 88.35% | Sens: 0.90 | Spec: 0.87 | AUC: 0.95
Epoch 14 | Train Loss: 0.2823 | Val Loss: 0.4039 | Val Acc: 84.59% | Sens: 0.96 | Spec: 0.74 | AUC: 0.95
Epoch 15 | Train Loss: 0.2592 | Val Loss: 0.3024 | Val Acc: 88.72% | Sens: 0.91 | Spec: 0.86 | AUC: 0.95
Epoch 16 | Train Loss: 0.2419 | Val Loss: 0.3243 | Val Acc: 88.91% | Sens: 0.95 | Spec: 0.83 | AUC: 0.96
Epoch 17 | Train Loss: 0.2182 | Val Loss: 0.2998 | Val Acc: 90.41% | Sens: 0.92 | Spec: 0.89 | AUC: 0.96
Epoch 18 | Train Loss: 0.2040 | Val Loss: 0.2883 | Val Acc: 89.85% | Sens: 0.87 | Spec: 0.93 | AUC: 0.96
Epoch 19 | Train Loss: 0.2085 | Val Loss: 0.3923 | Val Acc: 84.40% | Sens: 0.96 | Spec: 0.73 | AUC: 0.95
Epoch 20 | Train Loss: 0.2378 | Val Loss: 0.3994 | Val Acc: 84.77% | Sens: 0.97 | Spec: 0.73 | AUC: 0.96
Epoch 21 | Train Loss: 0.2411 | Val Loss: 0.3100 | Val Acc: 89.29% | Sens: 0.92 | Spec: 0.87 | AUC: 0.96
Epoch 22 | Train Loss: 0.2104 | Val Loss: 0.3650 | Val Acc: 88.91% | Sens: 0.94 | Spec: 0.84 | AUC: 0.96
Epoch 23 | Train Loss: 0.1960 | Val Loss: 0.3656 | Val Acc: 89.47% | Sens: 0.93 | Spec: 0.86 | AUC: 0.95
Epoch 24 | Train Loss: 0.1710 | Val Loss: 0.2828 | Val Acc: 90.04% | Sens: 0.89 | Spec: 0.91 | AUC: 0.96
Epoch 25 | Train Loss: 0.1659 | Val Loss: 0.2529 | Val Acc: 89.29% | Sens: 0.91 | Spec: 0.88 | AUC: 0.96
Epoch 26 | Train Loss: 0.1570 | Val Loss: 0.4033 | Val Acc: 87.59% | Sens: 0.97 | Spec: 0.78 | AUC: 0.96
Epoch 27 | Train Loss: 0.1533 | Val Loss: 0.2995 | Val Acc: 90.79% | Sens: 0.93 | Spec: 0.89 | AUC: 0.96
Epoch 28 | Train Loss: 0.1351 | Val Loss: 0.2664 | Val Acc: 91.54% | Sens: 0.92 | Spec: 0.91 | AUC: 0.97
Epoch 29 | Train Loss: 0.1244 | Val Loss: 0.2356 | Val Acc: 91.73% | Sens: 0.91 | Spec: 0.92 | AUC: 0.97
Epoch 30 | Train Loss: 0.1158 | Val Loss: 0.2497 | Val Acc: 90.04% | Sens: 0.86 | Spec: 0.94 | AUC: 0.97
Epoch 31 | Train Loss: 0.1181 | Val Loss: 0.2492 | Val Acc: 91.54% | Sens: 0.92 | Spec: 0.91 | AUC: 0.97
Epoch 32 | Train Loss: 0.1054 | Val Loss: 0.2470 | Val Acc: 92.11% | Sens: 0.93 | Spec: 0.92 | AUC: 0.97
Epoch 33 | Train Loss: 0.1228 | Val Loss: 0.2585 | Val Acc: 90.98% | Sens: 0.90 | Spec: 0.92 | AUC: 0.97
Epoch 34 | Train Loss: 0.1291 | Val Loss: 0.2930 | Val Acc: 90.98% | Sens: 0.95 | Spec: 0.87 | AUC: 0.97
Epoch 35 | Train Loss: 0.1032 | Val Loss: 0.2521 | Val Acc: 91.73% | Sens: 0.95 | Spec: 0.89 | AUC: 0.97
Epoch 36 | Train Loss: 0.1098 | Val Loss: 0.2449 | Val Acc: 93.05% | Sens: 0.93 | Spec: 0.93 | AUC: 0.97
Epoch 37 | Train Loss: 0.0973 | Val Loss: 0.2447 | Val Acc: 91.73% | Sens: 0.92 | Spec: 0.91 | AUC: 0.97
Epoch 38 | Train Loss: 0.0946 | Val Loss: 0.2315 | Val Acc: 91.92% | Sens: 0.92 | Spec: 0.92 | AUC: 0.98
Epoch 39 | Train Loss: 0.0724 | Val Loss: 0.2473 | Val Acc: 92.67% | Sens: 0.90 | Spec: 0.95 | AUC: 0.97
Epoch 40 | Train Loss: 0.0713 | Val Loss: 0.2428 | Val Acc: 92.67% | Sens: 0.92 | Spec: 0.94 | AUC: 0.98
Epoch 41 | Train Loss: 0.0805 | Val Loss: 0.2477 | Val Acc: 92.67% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98
Epoch 42 | Train Loss: 0.0720 | Val Loss: 0.2709 | Val Acc: 91.92% | Sens: 0.90 | Spec: 0.93 | AUC: 0.97
Epoch 43 | Train Loss: 0.0703 | Val Loss: 0.2495 | Val Acc: 92.11% | Sens: 0.92 | Spec: 0.93 | AUC: 0.98
Epoch 44 | Train Loss: 0.0723 | Val Loss: 0.2266 | Val Acc: 92.67% | Sens: 0.95 | Spec: 0.90 | AUC: 0.98
Epoch 45 | Train Loss: 0.0678 | Val Loss: 0.2321 | Val Acc: 91.92% | Sens: 0.93 | Spec: 0.90 | AUC: 0.98
Epoch 46 | Train Loss: 0.0512 | Val Loss: 0.2524 | Val Acc: 92.29% | Sens: 0.91 | Spec: 0.93 | AUC: 0.97
Epoch 47 | Train Loss: 0.0716 | Val Loss: 0.2416 | Val Acc: 92.86% | Sens: 0.91 | Spec: 0.94 | AUC: 0.98
Epoch 48 | Train Loss: 0.0759 | Val Loss: 0.2613 | Val Acc: 91.54% | Sens: 0.89 | Spec: 0.94 | AUC: 0.97
Epoch 49 | Train Loss: 0.0662 | Val Loss: 0.2459 | Val Acc: 92.48% | Sens: 0.92 | Spec: 0.93 | AUC: 0.98
Epoch 50 | Train Loss: 0.0485 | Val Loss: 0.2633 | Val Acc: 92.86% | Sens: 0.96 | Spec: 0.90 | AUC: 0.98
Epoch 51 | Train Loss: 0.0418 | Val Loss: 0.2262 | Val Acc: 93.23% | Sens: 0.93 | Spec: 0.93 | AUC: 0.98
Epoch 52 | Train Loss: 0.0510 | Val Loss: 0.2867 | Val Acc: 92.29% | Sens: 0.96 | Spec: 0.89 | AUC: 0.98
Epoch 53 | Train Loss: 0.0719 | Val Loss: 0.2689 | Val Acc: 91.54% | Sens: 0.90 | Spec: 0.93 | AUC: 0.98
Epoch 54 | Train Loss: 0.0575 | Val Loss: 0.3097 | Val Acc: 93.05% | Sens: 0.97 | Spec: 0.89 | AUC: 0.98
Epoch 55 | Train Loss: 0.0594 | Val Loss: 0.2931 | Val Acc: 92.48% | Sens: 0.95 | Spec: 0.90 | AUC: 0.98
Epoch 56 | Train Loss: 0.0551 | Val Loss: 0.2500 | Val Acc: 93.80% | Sens: 0.92 | Spec: 0.95 | AUC: 0.98
Epoch 57 | Train Loss: 0.0448 | Val Loss: 0.2297 | Val Acc: 94.17% | Sens: 0.93 | Spec: 0.96 | AUC: 0.98
Epoch 58 | Train Loss: 0.0546 | Val Loss: 0.3086 | Val Acc: 93.23% | Sens: 0.96 | Spec: 0.90 | AUC: 0.98
Epoch 59 | Train Loss: 0.0587 | Val Loss: 0.2674 | Val Acc: 92.86% | Sens: 0.90 | Spec: 0.96 | AUC: 0.98
Epoch 60 | Train Loss: 0.0660 | Val Loss: 0.2523 | Val Acc: 92.29% | Sens: 0.90 | Spec: 0.94 | AUC: 0.97
Epoch 61 | Train Loss: 0.0538 | Val Loss: 0.2541 | Val Acc: 93.61% | Sens: 0.92 | Spec: 0.95 | AUC: 0.98
🚨 Early stopping after 61 epochs.

