🚀 Starting run: trainsample_1702_run_6
Epoch 1 | Train Loss: 1.1285 | Val Loss: 0.6911 | Val Acc: 51.32% | Sens: 0.01 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6922 | Val Loss: 0.6886 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6446 | Val Loss: 0.6752 | Val Acc: 64.10% | Sens: 0.97 | Spec: 0.32 | AUC: 0.82
Epoch 4 | Train Loss: 0.5240 | Val Loss: 0.5797 | Val Acc: 68.05% | Sens: 0.40 | Spec: 0.95 | AUC: 0.84
Epoch 5 | Train Loss: 0.5127 | Val Loss: 0.4678 | Val Acc: 78.20% | Sens: 0.70 | Spec: 0.86 | AUC: 0.87
Epoch 6 | Train Loss: 0.4605 | Val Loss: 0.4265 | Val Acc: 80.83% | Sens: 0.84 | Spec: 0.78 | AUC: 0.89
Epoch 7 | Train Loss: 0.4285 | Val Loss: 0.4130 | Val Acc: 81.02% | Sens: 0.77 | Spec: 0.85 | AUC: 0.89
Epoch 8 | Train Loss: 0.4067 | Val Loss: 0.4139 | Val Acc: 81.58% | Sens: 0.87 | Spec: 0.76 | AUC: 0.90
Epoch 9 | Train Loss: 0.4167 | Val Loss: 0.4019 | Val Acc: 81.58% | Sens: 0.86 | Spec: 0.77 | AUC: 0.91
Epoch 10 | Train Loss: 0.3823 | Val Loss: 0.3992 | Val Acc: 83.08% | Sens: 0.85 | Spec: 0.81 | AUC: 0.91
Epoch 11 | Train Loss: 0.3944 | Val Loss: 0.3902 | Val Acc: 82.14% | Sens: 0.83 | Spec: 0.81 | AUC: 0.91
Epoch 12 | Train Loss: 0.3627 | Val Loss: 0.4200 | Val Acc: 82.71% | Sens: 0.91 | Spec: 0.75 | AUC: 0.92
Epoch 13 | Train Loss: 0.3547 | Val Loss: 0.3765 | Val Acc: 83.65% | Sens: 0.80 | Spec: 0.87 | AUC: 0.92
Epoch 14 | Train Loss: 0.3531 | Val Loss: 0.3704 | Val Acc: 84.77% | Sens: 0.90 | Spec: 0.80 | AUC: 0.92
Epoch 15 | Train Loss: 0.3655 | Val Loss: 0.4295 | Val Acc: 82.71% | Sens: 0.95 | Spec: 0.71 | AUC: 0.92
