🚀 Starting run: trainsample_1490_run_6
Epoch 1 | Train Loss: 1.0297 | Val Loss: 0.6851 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.79
Epoch 2 | Train Loss: 0.6187 | Val Loss: 0.5748 | Val Acc: 71.99% | Sens: 0.95 | Spec: 0.50 | AUC: 0.82
Epoch 3 | Train Loss: 0.5131 | Val Loss: 0.4857 | Val Acc: 75.19% | Sens: 0.72 | Spec: 0.78 | AUC: 0.84
Epoch 4 | Train Loss: 0.4674 | Val Loss: 0.4529 | Val Acc: 76.88% | Sens: 0.65 | Spec: 0.89 | AUC: 0.88
Epoch 5 | Train Loss: 0.4688 | Val Loss: 0.4756 | Val Acc: 78.76% | Sens: 0.93 | Spec: 0.65 | AUC: 0.89
Epoch 6 | Train Loss: 0.4408 | Val Loss: 0.4123 | Val Acc: 81.95% | Sens: 0.79 | Spec: 0.85 | AUC: 0.90
Epoch 7 | Train Loss: 0.4095 | Val Loss: 0.3976 | Val Acc: 83.08% | Sens: 0.80 | Spec: 0.86 | AUC: 0.91
Epoch 8 | Train Loss: 0.3958 | Val Loss: 0.4026 | Val Acc: 83.27% | Sens: 0.77 | Spec: 0.90 | AUC: 0.91
Epoch 9 | Train Loss: 0.3799 | Val Loss: 0.3964 | Val Acc: 84.02% | Sens: 0.87 | Spec: 0.82 | AUC: 0.91
Epoch 10 | Train Loss: 0.3782 | Val Loss: 0.4688 | Val Acc: 80.64% | Sens: 0.94 | Spec: 0.68 | AUC: 0.92
Epoch 11 | Train Loss: 0.4251 | Val Loss: 0.3879 | Val Acc: 84.59% | Sens: 0.86 | Spec: 0.83 | AUC: 0.92
Epoch 12 | Train Loss: 0.3813 | Val Loss: 0.3884 | Val Acc: 84.59% | Sens: 0.79 | Spec: 0.90 | AUC: 0.92
Epoch 13 | Train Loss: 0.3922 | Val Loss: 0.5115 | Val Acc: 77.44% | Sens: 0.96 | Spec: 0.59 | AUC: 0.92
Epoch 14 | Train Loss: 0.3818 | Val Loss: 0.3905 | Val Acc: 84.21% | Sens: 0.77 | Spec: 0.92 | AUC: 0.92
Epoch 15 | Train Loss: 0.3508 | Val Loss: 0.4085 | Val Acc: 83.83% | Sens: 0.93 | Spec: 0.75 | AUC: 0.92
Epoch 16 | Train Loss: 0.3409 | Val Loss: 0.3699 | Val Acc: 85.53% | Sens: 0.81 | Spec: 0.90 | AUC: 0.93
Epoch 17 | Train Loss: 0.3268 | Val Loss: 0.3540 | Val Acc: 86.47% | Sens: 0.88 | Spec: 0.85 | AUC: 0.93
Epoch 18 | Train Loss: 0.3147 | Val Loss: 0.3610 | Val Acc: 86.65% | Sens: 0.91 | Spec: 0.82 | AUC: 0.93
Epoch 19 | Train Loss: 0.3068 | Val Loss: 0.3445 | Val Acc: 87.03% | Sens: 0.87 | Spec: 0.87 | AUC: 0.93
Epoch 20 | Train Loss: 0.2936 | Val Loss: 0.3489 | Val Acc: 87.41% | Sens: 0.87 | Spec: 0.87 | AUC: 0.94
Epoch 21 | Train Loss: 0.2969 | Val Loss: 0.4045 | Val Acc: 84.96% | Sens: 0.97 | Spec: 0.74 | AUC: 0.94
Epoch 22 | Train Loss: 0.2899 | Val Loss: 0.3463 | Val Acc: 87.78% | Sens: 0.90 | Spec: 0.85 | AUC: 0.94
Epoch 23 | Train Loss: 0.2710 | Val Loss: 0.3414 | Val Acc: 88.72% | Sens: 0.92 | Spec: 0.85 | AUC: 0.94
Epoch 24 | Train Loss: 0.2747 | Val Loss: 0.3222 | Val Acc: 87.22% | Sens: 0.92 | Spec: 0.83 | AUC: 0.95
Epoch 25 | Train Loss: 0.2321 | Val Loss: 0.3226 | Val Acc: 87.22% | Sens: 0.88 | Spec: 0.87 | AUC: 0.95
Epoch 26 | Train Loss: 0.2717 | Val Loss: 0.3111 | Val Acc: 87.22% | Sens: 0.85 | Spec: 0.89 | AUC: 0.95
Epoch 27 | Train Loss: 0.2370 | Val Loss: 0.2972 | Val Acc: 87.97% | Sens: 0.90 | Spec: 0.86 | AUC: 0.95
Epoch 28 | Train Loss: 0.2395 | Val Loss: 0.3174 | Val Acc: 87.97% | Sens: 0.93 | Spec: 0.83 | AUC: 0.95
Epoch 29 | Train Loss: 0.2178 | Val Loss: 0.3303 | Val Acc: 88.16% | Sens: 0.91 | Spec: 0.86 | AUC: 0.95
Epoch 30 | Train Loss: 0.1957 | Val Loss: 0.3072 | Val Acc: 87.41% | Sens: 0.93 | Spec: 0.82 | AUC: 0.96
Epoch 31 | Train Loss: 0.1922 | Val Loss: 0.3103 | Val Acc: 86.47% | Sens: 0.78 | Spec: 0.95 | AUC: 0.96
