🚀 Starting run: trainsample_1277_run_6
Epoch 1 | Train Loss: 0.8594 | Val Loss: 0.6921 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.72
Epoch 2 | Train Loss: 0.6922 | Val Loss: 0.6866 | Val Acc: 51.50% | Sens: 0.01 | Spec: 1.00 | AUC: 0.74
Epoch 3 | Train Loss: 0.6586 | Val Loss: 0.6161 | Val Acc: 66.54% | Sens: 0.97 | Spec: 0.37 | AUC: 0.82
Epoch 4 | Train Loss: 0.5296 | Val Loss: 0.5960 | Val Acc: 75.19% | Sens: 0.94 | Spec: 0.57 | AUC: 0.84
Epoch 5 | Train Loss: 0.5074 | Val Loss: 0.4761 | Val Acc: 79.70% | Sens: 0.92 | Spec: 0.68 | AUC: 0.88
Epoch 6 | Train Loss: 0.4953 | Val Loss: 0.4662 | Val Acc: 77.63% | Sens: 0.65 | Spec: 0.90 | AUC: 0.89
Epoch 7 | Train Loss: 0.4483 | Val Loss: 0.4792 | Val Acc: 78.95% | Sens: 0.93 | Spec: 0.66 | AUC: 0.89
Epoch 8 | Train Loss: 0.4212 | Val Loss: 0.4716 | Val Acc: 79.32% | Sens: 0.63 | Spec: 0.95 | AUC: 0.90
Epoch 9 | Train Loss: 0.4110 | Val Loss: 0.4317 | Val Acc: 81.39% | Sens: 0.87 | Spec: 0.76 | AUC: 0.90
Epoch 10 | Train Loss: 0.3847 | Val Loss: 0.4134 | Val Acc: 82.52% | Sens: 0.82 | Spec: 0.83 | AUC: 0.90
Epoch 11 | Train Loss: 0.3973 | Val Loss: 0.4848 | Val Acc: 77.82% | Sens: 0.59 | Spec: 0.96 | AUC: 0.90
Epoch 12 | Train Loss: 0.4388 | Val Loss: 0.4614 | Val Acc: 81.02% | Sens: 0.92 | Spec: 0.70 | AUC: 0.91
Epoch 13 | Train Loss: 0.4105 | Val Loss: 0.4414 | Val Acc: 82.71% | Sens: 0.91 | Spec: 0.75 | AUC: 0.91
Epoch 14 | Train Loss: 0.3755 | Val Loss: 0.4050 | Val Acc: 83.46% | Sens: 0.84 | Spec: 0.83 | AUC: 0.91
Epoch 15 | Train Loss: 0.3470 | Val Loss: 0.4207 | Val Acc: 83.83% | Sens: 0.90 | Spec: 0.77 | AUC: 0.92
Epoch 16 | Train Loss: 0.3214 | Val Loss: 0.4610 | Val Acc: 82.71% | Sens: 0.93 | Spec: 0.73 | AUC: 0.92
Epoch 17 | Train Loss: 0.3403 | Val Loss: 0.4063 | Val Acc: 83.08% | Sens: 0.74 | Spec: 0.92 | AUC: 0.92
Epoch 18 | Train Loss: 0.3080 | Val Loss: 0.4097 | Val Acc: 86.28% | Sens: 0.92 | Spec: 0.81 | AUC: 0.93
Epoch 19 | Train Loss: 0.2869 | Val Loss: 0.3934 | Val Acc: 86.65% | Sens: 0.89 | Spec: 0.85 | AUC: 0.93
Epoch 20 | Train Loss: 0.2834 | Val Loss: 0.4006 | Val Acc: 85.34% | Sens: 0.92 | Spec: 0.79 | AUC: 0.94
Epoch 21 | Train Loss: 0.2954 | Val Loss: 0.4095 | Val Acc: 83.83% | Sens: 0.72 | Spec: 0.95 | AUC: 0.94
Epoch 22 | Train Loss: 0.2994 | Val Loss: 0.4272 | Val Acc: 84.77% | Sens: 0.95 | Spec: 0.75 | AUC: 0.94
Epoch 23 | Train Loss: 0.2972 | Val Loss: 0.3986 | Val Acc: 83.46% | Sens: 0.72 | Spec: 0.94 | AUC: 0.94
Epoch 24 | Train Loss: 0.3050 | Val Loss: 0.3562 | Val Acc: 87.22% | Sens: 0.88 | Spec: 0.86 | AUC: 0.94
Epoch 25 | Train Loss: 0.2701 | Val Loss: 0.3781 | Val Acc: 86.28% | Sens: 0.95 | Spec: 0.78 | AUC: 0.95
Epoch 26 | Train Loss: 0.2484 | Val Loss: 0.3798 | Val Acc: 87.59% | Sens: 0.92 | Spec: 0.84 | AUC: 0.94
Epoch 27 | Train Loss: 0.2177 | Val Loss: 0.3596 | Val Acc: 89.47% | Sens: 0.89 | Spec: 0.90 | AUC: 0.95
Epoch 28 | Train Loss: 0.2267 | Val Loss: 0.3749 | Val Acc: 89.10% | Sens: 0.96 | Spec: 0.83 | AUC: 0.95
Epoch 29 | Train Loss: 0.2137 | Val Loss: 0.3548 | Val Acc: 88.35% | Sens: 0.96 | Spec: 0.81 | AUC: 0.95
Epoch 30 | Train Loss: 0.2238 | Val Loss: 0.3443 | Val Acc: 87.78% | Sens: 0.81 | Spec: 0.94 | AUC: 0.95
Epoch 31 | Train Loss: 0.2501 | Val Loss: 0.3650 | Val Acc: 85.53% | Sens: 0.77 | Spec: 0.94 | AUC: 0.95
Epoch 32 | Train Loss: 0.2064 | Val Loss: 0.3609 | Val Acc: 87.22% | Sens: 0.93 | Spec: 0.82 | AUC: 0.95
Epoch 33 | Train Loss: 0.1934 | Val Loss: 0.3331 | Val Acc: 90.04% | Sens: 0.92 | Spec: 0.89 | AUC: 0.96
Epoch 34 | Train Loss: 0.1794 | Val Loss: 0.3267 | Val Acc: 87.78% | Sens: 0.85 | Spec: 0.90 | AUC: 0.96
Epoch 35 | Train Loss: 0.1889 | Val Loss: 0.3353 | Val Acc: 89.66% | Sens: 0.92 | Spec: 0.88 | AUC: 0.96
Epoch 36 | Train Loss: 0.1556 | Val Loss: 0.3244 | Val Acc: 89.29% | Sens: 0.86 | Spec: 0.92 | AUC: 0.96
Epoch 37 | Train Loss: 0.1681 | Val Loss: 0.3395 | Val Acc: 90.41% | Sens: 0.95 | Spec: 0.86 | AUC: 0.96
Epoch 38 | Train Loss: 0.1577 | Val Loss: 0.3154 | Val Acc: 89.66% | Sens: 0.93 | Spec: 0.86 | AUC: 0.96
Epoch 39 | Train Loss: 0.1520 | Val Loss: 0.3504 | Val Acc: 88.72% | Sens: 0.92 | Spec: 0.85 | AUC: 0.96
Epoch 40 | Train Loss: 0.1376 | Val Loss: 0.3583 | Val Acc: 88.72% | Sens: 0.85 | Spec: 0.93 | AUC: 0.96
Epoch 41 | Train Loss: 0.1303 | Val Loss: 0.3332 | Val Acc: 90.23% | Sens: 0.94 | Spec: 0.87 | AUC: 0.96
Epoch 42 | Train Loss: 0.1437 | Val Loss: 0.3609 | Val Acc: 87.22% | Sens: 0.80 | Spec: 0.94 | AUC: 0.96
Epoch 43 | Train Loss: 0.1483 | Val Loss: 0.3865 | Val Acc: 89.10% | Sens: 0.94 | Spec: 0.85 | AUC: 0.96
Epoch 44 | Train Loss: 0.1298 | Val Loss: 0.3650 | Val Acc: 88.72% | Sens: 0.87 | Spec: 0.90 | AUC: 0.96
Epoch 45 | Train Loss: 0.1418 | Val Loss: 0.3159 | Val Acc: 88.53% | Sens: 0.88 | Spec: 0.89 | AUC: 0.96
Epoch 46 | Train Loss: 0.1128 | Val Loss: 0.3091 | Val Acc: 89.85% | Sens: 0.90 | Spec: 0.90 | AUC: 0.96
