🚀 Starting run: trainsample_1064_run_6
Epoch 1 | Train Loss: 0.9579 | Val Loss: 0.7526 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.39
Epoch 2 | Train Loss: 0.6930 | Val Loss: 0.6538 | Val Acc: 69.55% | Sens: 0.60 | Spec: 0.79 | AUC: 0.82
Epoch 3 | Train Loss: 0.6224 | Val Loss: 0.5529 | Val Acc: 70.86% | Sens: 0.58 | Spec: 0.83 | AUC: 0.83
Epoch 4 | Train Loss: 0.5496 | Val Loss: 0.5184 | Val Acc: 70.86% | Sens: 0.50 | Spec: 0.91 | AUC: 0.85
Epoch 5 | Train Loss: 0.5154 | Val Loss: 0.4426 | Val Acc: 80.64% | Sens: 0.83 | Spec: 0.78 | AUC: 0.88
Epoch 6 | Train Loss: 0.5677 | Val Loss: 0.4620 | Val Acc: 80.64% | Sens: 0.90 | Spec: 0.72 | AUC: 0.89
Epoch 7 | Train Loss: 0.4986 | Val Loss: 0.4831 | Val Acc: 79.89% | Sens: 0.93 | Spec: 0.67 | AUC: 0.89
Epoch 8 | Train Loss: 0.4711 | Val Loss: 0.4377 | Val Acc: 80.83% | Sens: 0.87 | Spec: 0.75 | AUC: 0.90
Epoch 9 | Train Loss: 0.4520 | Val Loss: 0.5062 | Val Acc: 72.93% | Sens: 0.48 | Spec: 0.97 | AUC: 0.90
Epoch 10 | Train Loss: 0.4768 | Val Loss: 0.4116 | Val Acc: 81.58% | Sens: 0.80 | Spec: 0.83 | AUC: 0.90
Epoch 11 | Train Loss: 0.4321 | Val Loss: 0.4301 | Val Acc: 80.26% | Sens: 0.88 | Spec: 0.73 | AUC: 0.90
Epoch 12 | Train Loss: 0.3851 | Val Loss: 0.4108 | Val Acc: 81.58% | Sens: 0.84 | Spec: 0.79 | AUC: 0.91
Epoch 13 | Train Loss: 0.3762 | Val Loss: 0.4106 | Val Acc: 82.33% | Sens: 0.84 | Spec: 0.81 | AUC: 0.91
Epoch 14 | Train Loss: 0.3785 | Val Loss: 0.4061 | Val Acc: 83.08% | Sens: 0.77 | Spec: 0.89 | AUC: 0.91
Epoch 15 | Train Loss: 0.3880 | Val Loss: 0.4185 | Val Acc: 82.52% | Sens: 0.72 | Spec: 0.93 | AUC: 0.91
Epoch 16 | Train Loss: 0.4058 | Val Loss: 0.4651 | Val Acc: 77.82% | Sens: 0.59 | Spec: 0.96 | AUC: 0.91
Epoch 17 | Train Loss: 0.3907 | Val Loss: 0.3949 | Val Acc: 83.08% | Sens: 0.80 | Spec: 0.86 | AUC: 0.91
Epoch 18 | Train Loss: 0.3594 | Val Loss: 0.4364 | Val Acc: 82.14% | Sens: 0.92 | Spec: 0.73 | AUC: 0.91
Epoch 19 | Train Loss: 0.3665 | Val Loss: 0.4001 | Val Acc: 82.89% | Sens: 0.78 | Spec: 0.88 | AUC: 0.91
Epoch 20 | Train Loss: 0.3658 | Val Loss: 0.4019 | Val Acc: 83.65% | Sens: 0.75 | Spec: 0.92 | AUC: 0.91
Epoch 21 | Train Loss: 0.3357 | Val Loss: 0.3930 | Val Acc: 84.59% | Sens: 0.87 | Spec: 0.82 | AUC: 0.92
Epoch 22 | Train Loss: 0.3553 | Val Loss: 0.4275 | Val Acc: 83.08% | Sens: 0.90 | Spec: 0.76 | AUC: 0.92
Epoch 23 | Train Loss: 0.3314 | Val Loss: 0.4231 | Val Acc: 83.27% | Sens: 0.91 | Spec: 0.76 | AUC: 0.92
Epoch 24 | Train Loss: 0.3477 | Val Loss: 0.3915 | Val Acc: 84.59% | Sens: 0.83 | Spec: 0.86 | AUC: 0.92
Epoch 25 | Train Loss: 0.2958 | Val Loss: 0.3871 | Val Acc: 84.21% | Sens: 0.79 | Spec: 0.89 | AUC: 0.92
Epoch 26 | Train Loss: 0.2976 | Val Loss: 0.3846 | Val Acc: 84.96% | Sens: 0.84 | Spec: 0.86 | AUC: 0.92
Epoch 27 | Train Loss: 0.2887 | Val Loss: 0.4028 | Val Acc: 84.59% | Sens: 0.89 | Spec: 0.80 | AUC: 0.92
Epoch 28 | Train Loss: 0.2817 | Val Loss: 0.4138 | Val Acc: 84.77% | Sens: 0.89 | Spec: 0.81 | AUC: 0.92
Epoch 29 | Train Loss: 0.3014 | Val Loss: 0.3741 | Val Acc: 85.15% | Sens: 0.82 | Spec: 0.88 | AUC: 0.92
Epoch 30 | Train Loss: 0.2911 | Val Loss: 0.4214 | Val Acc: 81.20% | Sens: 0.66 | Spec: 0.96 | AUC: 0.93
Epoch 31 | Train Loss: 0.3204 | Val Loss: 0.3831 | Val Acc: 84.40% | Sens: 0.74 | Spec: 0.94 | AUC: 0.92
Epoch 32 | Train Loss: 0.3054 | Val Loss: 0.3703 | Val Acc: 84.96% | Sens: 0.86 | Spec: 0.84 | AUC: 0.93
Epoch 33 | Train Loss: 0.2639 | Val Loss: 0.4439 | Val Acc: 84.02% | Sens: 0.92 | Spec: 0.76 | AUC: 0.93
Epoch 34 | Train Loss: 0.2998 | Val Loss: 0.3746 | Val Acc: 84.96% | Sens: 0.80 | Spec: 0.90 | AUC: 0.92
Epoch 35 | Train Loss: 0.2690 | Val Loss: 0.3718 | Val Acc: 84.96% | Sens: 0.86 | Spec: 0.84 | AUC: 0.93
Epoch 36 | Train Loss: 0.2447 | Val Loss: 0.4402 | Val Acc: 84.96% | Sens: 0.92 | Spec: 0.79 | AUC: 0.93
Epoch 37 | Train Loss: 0.3048 | Val Loss: 0.3592 | Val Acc: 86.09% | Sens: 0.82 | Spec: 0.90 | AUC: 0.93
Epoch 38 | Train Loss: 0.2750 | Val Loss: 0.4059 | Val Acc: 83.08% | Sens: 0.70 | Spec: 0.96 | AUC: 0.93
Epoch 39 | Train Loss: 0.3144 | Val Loss: 0.3656 | Val Acc: 85.34% | Sens: 0.76 | Spec: 0.94 | AUC: 0.92
Epoch 40 | Train Loss: 0.2641 | Val Loss: 0.3639 | Val Acc: 85.90% | Sens: 0.79 | Spec: 0.92 | AUC: 0.93
Epoch 41 | Train Loss: 0.2267 | Val Loss: 0.4250 | Val Acc: 84.96% | Sens: 0.91 | Spec: 0.79 | AUC: 0.93
Epoch 42 | Train Loss: 0.1992 | Val Loss: 0.3683 | Val Acc: 86.28% | Sens: 0.86 | Spec: 0.86 | AUC: 0.94
Epoch 43 | Train Loss: 0.2022 | Val Loss: 0.4533 | Val Acc: 85.90% | Sens: 0.92 | Spec: 0.80 | AUC: 0.94
Epoch 44 | Train Loss: 0.2115 | Val Loss: 0.3976 | Val Acc: 86.65% | Sens: 0.91 | Spec: 0.82 | AUC: 0.94
Epoch 45 | Train Loss: 0.1766 | Val Loss: 0.3660 | Val Acc: 87.78% | Sens: 0.90 | Spec: 0.86 | AUC: 0.95
Epoch 46 | Train Loss: 0.1840 | Val Loss: 0.3987 | Val Acc: 87.59% | Sens: 0.93 | Spec: 0.82 | AUC: 0.94
Epoch 47 | Train Loss: 0.1927 | Val Loss: 0.3460 | Val Acc: 87.97% | Sens: 0.87 | Spec: 0.89 | AUC: 0.94
Epoch 48 | Train Loss: 0.1671 | Val Loss: 0.3208 | Val Acc: 87.41% | Sens: 0.83 | Spec: 0.92 | AUC: 0.94
Epoch 49 | Train Loss: 0.1726 | Val Loss: 0.4981 | Val Acc: 85.15% | Sens: 0.95 | Spec: 0.76 | AUC: 0.95
Epoch 50 | Train Loss: 0.1651 | Val Loss: 0.3877 | Val Acc: 86.65% | Sens: 0.90 | Spec: 0.83 | AUC: 0.94
Epoch 51 | Train Loss: 0.1669 | Val Loss: 0.4062 | Val Acc: 84.02% | Sens: 0.73 | Spec: 0.95 | AUC: 0.94
Epoch 52 | Train Loss: 0.1664 | Val Loss: 0.4203 | Val Acc: 87.97% | Sens: 0.93 | Spec: 0.83 | AUC: 0.94
Epoch 53 | Train Loss: 0.1670 | Val Loss: 0.3610 | Val Acc: 86.65% | Sens: 0.79 | Spec: 0.94 | AUC: 0.94
Epoch 54 | Train Loss: 0.1908 | Val Loss: 0.3428 | Val Acc: 87.41% | Sens: 0.83 | Spec: 0.92 | AUC: 0.94
Epoch 55 | Train Loss: 0.1363 | Val Loss: 0.3325 | Val Acc: 88.16% | Sens: 0.88 | Spec: 0.89 | AUC: 0.95
Epoch 56 | Train Loss: 0.1384 | Val Loss: 0.3400 | Val Acc: 88.53% | Sens: 0.87 | Spec: 0.90 | AUC: 0.95
Epoch 57 | Train Loss: 0.1739 | Val Loss: 0.3581 | Val Acc: 87.78% | Sens: 0.82 | Spec: 0.93 | AUC: 0.94
Epoch 58 | Train Loss: 0.1231 | Val Loss: 0.3658 | Val Acc: 87.97% | Sens: 0.87 | Spec: 0.89 | AUC: 0.94
🚨 Early stopping after 58 epochs.

🔍 Testing on separate test set...
/nfs/homes/sdreyer/Digit-Classification-Pytorch/ClassSweep.py:284: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  classifier.load_state_dict(torch.load(model_path, map_location=device))
✅ Correct: 519 | ❌ Incorrect: 87 | Total: 606
🎯 Test Accuracy: 85.64% | Sens: 0.84 | Spec: 0.87 | AUC: 0.93
