🚀 Starting run: trainsample_2128_run_7
Epoch 1 | Train Loss: 0.9175 | Val Loss: 0.6593 | Val Acc: 63.53% | Sens: 0.39 | Spec: 0.87 | AUC: 0.80
Epoch 2 | Train Loss: 0.5896 | Val Loss: 0.5210 | Val Acc: 71.99% | Sens: 0.57 | Spec: 0.86 | AUC: 0.83
Epoch 3 | Train Loss: 0.5118 | Val Loss: 0.4572 | Val Acc: 75.94% | Sens: 0.66 | Spec: 0.86 | AUC: 0.87
Epoch 4 | Train Loss: 0.4547 | Val Loss: 0.4101 | Val Acc: 79.70% | Sens: 0.74 | Spec: 0.85 | AUC: 0.90
Epoch 5 | Train Loss: 0.4336 | Val Loss: 0.4437 | Val Acc: 81.20% | Sens: 0.92 | Spec: 0.71 | AUC: 0.90
Epoch 6 | Train Loss: 0.4450 | Val Loss: 0.4190 | Val Acc: 80.26% | Sens: 0.69 | Spec: 0.91 | AUC: 0.91
Epoch 7 | Train Loss: 0.4501 | Val Loss: 0.3868 | Val Acc: 83.08% | Sens: 0.85 | Spec: 0.81 | AUC: 0.92
Epoch 8 | Train Loss: 0.4129 | Val Loss: 0.4255 | Val Acc: 81.58% | Sens: 0.93 | Spec: 0.71 | AUC: 0.92
Epoch 9 | Train Loss: 0.4343 | Val Loss: 0.3992 | Val Acc: 82.71% | Sens: 0.90 | Spec: 0.76 | AUC: 0.91
Epoch 10 | Train Loss: 0.4008 | Val Loss: 0.4760 | Val Acc: 80.45% | Sens: 0.95 | Spec: 0.66 | AUC: 0.92
Epoch 11 | Train Loss: 0.4290 | Val Loss: 0.3982 | Val Acc: 83.27% | Sens: 0.91 | Spec: 0.76 | AUC: 0.92
Epoch 12 | Train Loss: 0.3832 | Val Loss: 0.3692 | Val Acc: 83.27% | Sens: 0.86 | Spec: 0.80 | AUC: 0.92
Epoch 13 | Train Loss: 0.3815 | Val Loss: 0.3629 | Val Acc: 83.65% | Sens: 0.83 | Spec: 0.84 | AUC: 0.92
Epoch 14 | Train Loss: 0.3640 | Val Loss: 0.3656 | Val Acc: 84.59% | Sens: 0.87 | Spec: 0.82 | AUC: 0.92
Epoch 15 | Train Loss: 0.3560 | Val Loss: 0.3740 | Val Acc: 83.27% | Sens: 0.76 | Spec: 0.90 | AUC: 0.92
Epoch 16 | Train Loss: 0.3869 | Val Loss: 0.3647 | Val Acc: 84.96% | Sens: 0.80 | Spec: 0.90 | AUC: 0.93
Epoch 17 | Train Loss: 0.3721 | Val Loss: 0.3573 | Val Acc: 85.53% | Sens: 0.85 | Spec: 0.86 | AUC: 0.93
Epoch 18 | Train Loss: 0.3685 | Val Loss: 0.3552 | Val Acc: 84.77% | Sens: 0.84 | Spec: 0.85 | AUC: 0.92
Epoch 19 | Train Loss: 0.3579 | Val Loss: 0.4353 | Val Acc: 82.33% | Sens: 0.95 | Spec: 0.70 | AUC: 0.93
Epoch 20 | Train Loss: 0.3623 | Val Loss: 0.3697 | Val Acc: 84.77% | Sens: 0.89 | Spec: 0.80 | AUC: 0.92
Epoch 21 | Train Loss: 0.3453 | Val Loss: 0.3695 | Val Acc: 85.53% | Sens: 0.92 | Spec: 0.79 | AUC: 0.93
Epoch 22 | Train Loss: 0.3587 | Val Loss: 0.3477 | Val Acc: 85.34% | Sens: 0.88 | Spec: 0.83 | AUC: 0.93
Epoch 23 | Train Loss: 0.3414 | Val Loss: 0.3444 | Val Acc: 85.53% | Sens: 0.86 | Spec: 0.85 | AUC: 0.93
Epoch 24 | Train Loss: 0.3323 | Val Loss: 0.3809 | Val Acc: 85.71% | Sens: 0.94 | Spec: 0.77 | AUC: 0.94
Epoch 25 | Train Loss: 0.3284 | Val Loss: 0.3491 | Val Acc: 86.47% | Sens: 0.93 | Spec: 0.80 | AUC: 0.94
Epoch 26 | Train Loss: 0.3100 | Val Loss: 0.3781 | Val Acc: 87.03% | Sens: 0.95 | Spec: 0.79 | AUC: 0.94
Epoch 27 | Train Loss: 0.3342 | Val Loss: 0.3340 | Val Acc: 87.03% | Sens: 0.82 | Spec: 0.92 | AUC: 0.95
Epoch 28 | Train Loss: 0.3132 | Val Loss: 0.3278 | Val Acc: 87.22% | Sens: 0.82 | Spec: 0.92 | AUC: 0.95
Epoch 29 | Train Loss: 0.3056 | Val Loss: 0.3773 | Val Acc: 85.90% | Sens: 0.96 | Spec: 0.76 | AUC: 0.95
Epoch 30 | Train Loss: 0.3133 | Val Loss: 0.4131 | Val Acc: 85.34% | Sens: 0.96 | Spec: 0.75 | AUC: 0.95
Epoch 31 | Train Loss: 0.3105 | Val Loss: 0.3578 | Val Acc: 86.65% | Sens: 0.95 | Spec: 0.79 | AUC: 0.95
Epoch 32 | Train Loss: 0.2868 | Val Loss: 0.3140 | Val Acc: 89.47% | Sens: 0.90 | Spec: 0.89 | AUC: 0.95
Epoch 33 | Train Loss: 0.2782 | Val Loss: 0.3167 | Val Acc: 87.22% | Sens: 0.82 | Spec: 0.93 | AUC: 0.95
Epoch 34 | Train Loss: 0.2946 | Val Loss: 0.3255 | Val Acc: 84.40% | Sens: 0.75 | Spec: 0.94 | AUC: 0.96
Epoch 35 | Train Loss: 0.3079 | Val Loss: 0.3083 | Val Acc: 89.66% | Sens: 0.89 | Spec: 0.90 | AUC: 0.96
Epoch 36 | Train Loss: 0.2787 | Val Loss: 0.3219 | Val Acc: 89.10% | Sens: 0.89 | Spec: 0.89 | AUC: 0.95
Epoch 37 | Train Loss: 0.2639 | Val Loss: 0.3762 | Val Acc: 88.35% | Sens: 0.96 | Spec: 0.81 | AUC: 0.96
Epoch 38 | Train Loss: 0.2625 | Val Loss: 0.3701 | Val Acc: 87.03% | Sens: 0.94 | Spec: 0.80 | AUC: 0.95
Epoch 39 | Train Loss: 0.2655 | Val Loss: 0.3017 | Val Acc: 90.04% | Sens: 0.89 | Spec: 0.92 | AUC: 0.96
Epoch 40 | Train Loss: 0.2866 | Val Loss: 0.3384 | Val Acc: 88.16% | Sens: 0.97 | Spec: 0.80 | AUC: 0.96
