🚀 Starting run: trainsample_1702_run_7
Epoch 1 | Train Loss: 1.1285 | Val Loss: 0.6911 | Val Acc: 51.32% | Sens: 0.01 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6922 | Val Loss: 0.6885 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6410 | Val Loss: 0.6777 | Val Acc: 65.04% | Sens: 0.97 | Spec: 0.34 | AUC: 0.82
Epoch 4 | Train Loss: 0.5243 | Val Loss: 0.6045 | Val Acc: 65.60% | Sens: 0.35 | Spec: 0.95 | AUC: 0.84
Epoch 5 | Train Loss: 0.5242 | Val Loss: 0.4666 | Val Acc: 81.02% | Sens: 0.80 | Spec: 0.82 | AUC: 0.88
Epoch 6 | Train Loss: 0.4757 | Val Loss: 0.4452 | Val Acc: 80.83% | Sens: 0.90 | Spec: 0.72 | AUC: 0.89
Epoch 7 | Train Loss: 0.4245 | Val Loss: 0.4187 | Val Acc: 81.20% | Sens: 0.81 | Spec: 0.81 | AUC: 0.89
Epoch 8 | Train Loss: 0.4119 | Val Loss: 0.4391 | Val Acc: 81.58% | Sens: 0.92 | Spec: 0.72 | AUC: 0.90
Epoch 9 | Train Loss: 0.4352 | Val Loss: 0.4463 | Val Acc: 80.08% | Sens: 0.93 | Spec: 0.67 | AUC: 0.91
Epoch 10 | Train Loss: 0.3893 | Val Loss: 0.3969 | Val Acc: 81.95% | Sens: 0.82 | Spec: 0.82 | AUC: 0.91
Epoch 11 | Train Loss: 0.3984 | Val Loss: 0.3911 | Val Acc: 84.21% | Sens: 0.85 | Spec: 0.83 | AUC: 0.91
Epoch 12 | Train Loss: 0.3721 | Val Loss: 0.4029 | Val Acc: 84.21% | Sens: 0.92 | Spec: 0.77 | AUC: 0.92
Epoch 13 | Train Loss: 0.3664 | Val Loss: 0.3781 | Val Acc: 84.77% | Sens: 0.83 | Spec: 0.87 | AUC: 0.91
Epoch 14 | Train Loss: 0.3587 | Val Loss: 0.3708 | Val Acc: 84.21% | Sens: 0.89 | Spec: 0.80 | AUC: 0.92
Epoch 15 | Train Loss: 0.3899 | Val Loss: 0.3873 | Val Acc: 84.02% | Sens: 0.92 | Spec: 0.77 | AUC: 0.92
Epoch 16 | Train Loss: 0.4037 | Val Loss: 0.3645 | Val Acc: 86.09% | Sens: 0.85 | Spec: 0.87 | AUC: 0.93
Epoch 17 | Train Loss: 0.3752 | Val Loss: 0.3721 | Val Acc: 85.71% | Sens: 0.85 | Spec: 0.86 | AUC: 0.92
Epoch 18 | Train Loss: 0.3376 | Val Loss: 0.4058 | Val Acc: 84.77% | Sens: 0.95 | Spec: 0.75 | AUC: 0.93
Epoch 19 | Train Loss: 0.3511 | Val Loss: 0.3914 | Val Acc: 82.33% | Sens: 0.72 | Spec: 0.92 | AUC: 0.93
Epoch 20 | Train Loss: 0.3489 | Val Loss: 0.3648 | Val Acc: 85.34% | Sens: 0.85 | Spec: 0.86 | AUC: 0.93
Epoch 21 | Train Loss: 0.3381 | Val Loss: 0.3622 | Val Acc: 86.28% | Sens: 0.88 | Spec: 0.85 | AUC: 0.93
Epoch 22 | Train Loss: 0.3215 | Val Loss: 0.4184 | Val Acc: 84.40% | Sens: 0.94 | Spec: 0.75 | AUC: 0.93
Epoch 23 | Train Loss: 0.3192 | Val Loss: 0.3626 | Val Acc: 86.09% | Sens: 0.86 | Spec: 0.86 | AUC: 0.93
Epoch 24 | Train Loss: 0.3017 | Val Loss: 0.3567 | Val Acc: 86.47% | Sens: 0.87 | Spec: 0.86 | AUC: 0.93
Epoch 25 | Train Loss: 0.3068 | Val Loss: 0.3628 | Val Acc: 85.34% | Sens: 0.83 | Spec: 0.87 | AUC: 0.93
Epoch 26 | Train Loss: 0.3125 | Val Loss: 0.3701 | Val Acc: 83.83% | Sens: 0.92 | Spec: 0.76 | AUC: 0.94
