🚀 Starting run: trainsample_1490_run_8
Epoch 1 | Train Loss: 1.0297 | Val Loss: 0.6849 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.79
Epoch 2 | Train Loss: 0.6154 | Val Loss: 0.5496 | Val Acc: 74.25% | Sens: 0.91 | Spec: 0.58 | AUC: 0.82
Epoch 3 | Train Loss: 0.5022 | Val Loss: 0.4744 | Val Acc: 78.01% | Sens: 0.80 | Spec: 0.76 | AUC: 0.86
Epoch 4 | Train Loss: 0.4616 | Val Loss: 0.4665 | Val Acc: 75.94% | Sens: 0.61 | Spec: 0.91 | AUC: 0.89
Epoch 5 | Train Loss: 0.4683 | Val Loss: 0.4593 | Val Acc: 79.70% | Sens: 0.91 | Spec: 0.69 | AUC: 0.89
Epoch 6 | Train Loss: 0.4397 | Val Loss: 0.4104 | Val Acc: 81.20% | Sens: 0.79 | Spec: 0.83 | AUC: 0.90
Epoch 7 | Train Loss: 0.4113 | Val Loss: 0.4065 | Val Acc: 81.39% | Sens: 0.83 | Spec: 0.80 | AUC: 0.90
Epoch 8 | Train Loss: 0.4041 | Val Loss: 0.4108 | Val Acc: 83.08% | Sens: 0.74 | Spec: 0.92 | AUC: 0.91
Epoch 9 | Train Loss: 0.3851 | Val Loss: 0.4003 | Val Acc: 82.52% | Sens: 0.85 | Spec: 0.80 | AUC: 0.91
Epoch 10 | Train Loss: 0.3759 | Val Loss: 0.4262 | Val Acc: 82.89% | Sens: 0.93 | Spec: 0.73 | AUC: 0.92
Epoch 11 | Train Loss: 0.4104 | Val Loss: 0.4189 | Val Acc: 82.14% | Sens: 0.93 | Spec: 0.72 | AUC: 0.92
Epoch 12 | Train Loss: 0.3506 | Val Loss: 0.4446 | Val Acc: 80.26% | Sens: 0.66 | Spec: 0.94 | AUC: 0.92
Epoch 13 | Train Loss: 0.3916 | Val Loss: 0.4274 | Val Acc: 81.20% | Sens: 0.93 | Spec: 0.70 | AUC: 0.92
Epoch 14 | Train Loss: 0.3742 | Val Loss: 0.3752 | Val Acc: 84.96% | Sens: 0.85 | Spec: 0.85 | AUC: 0.92
Epoch 15 | Train Loss: 0.3346 | Val Loss: 0.4118 | Val Acc: 83.83% | Sens: 0.94 | Spec: 0.74 | AUC: 0.93
Epoch 16 | Train Loss: 0.3343 | Val Loss: 0.3651 | Val Acc: 86.28% | Sens: 0.88 | Spec: 0.85 | AUC: 0.93
Epoch 17 | Train Loss: 0.3226 | Val Loss: 0.3689 | Val Acc: 85.53% | Sens: 0.79 | Spec: 0.92 | AUC: 0.93
Epoch 18 | Train Loss: 0.3324 | Val Loss: 0.3475 | Val Acc: 87.22% | Sens: 0.85 | Spec: 0.90 | AUC: 0.94
Epoch 19 | Train Loss: 0.3019 | Val Loss: 0.3604 | Val Acc: 86.47% | Sens: 0.85 | Spec: 0.88 | AUC: 0.93
Epoch 20 | Train Loss: 0.2883 | Val Loss: 0.3657 | Val Acc: 87.03% | Sens: 0.88 | Spec: 0.86 | AUC: 0.94
Epoch 21 | Train Loss: 0.2920 | Val Loss: 0.3636 | Val Acc: 86.47% | Sens: 0.93 | Spec: 0.80 | AUC: 0.94
Epoch 22 | Train Loss: 0.2918 | Val Loss: 0.3590 | Val Acc: 86.28% | Sens: 0.90 | Spec: 0.82 | AUC: 0.94
Epoch 23 | Train Loss: 0.2725 | Val Loss: 0.3610 | Val Acc: 88.35% | Sens: 0.93 | Spec: 0.84 | AUC: 0.94
Epoch 24 | Train Loss: 0.2861 | Val Loss: 0.3327 | Val Acc: 87.41% | Sens: 0.93 | Spec: 0.82 | AUC: 0.95
Epoch 25 | Train Loss: 0.2531 | Val Loss: 0.3414 | Val Acc: 87.78% | Sens: 0.89 | Spec: 0.87 | AUC: 0.94
Epoch 26 | Train Loss: 0.2869 | Val Loss: 0.3478 | Val Acc: 84.40% | Sens: 0.77 | Spec: 0.92 | AUC: 0.94
