🚀 Starting run: trainsample_2128_run_9
Epoch 1 | Train Loss: 0.9172 | Val Loss: 0.6525 | Val Acc: 67.67% | Sens: 0.54 | Spec: 0.80 | AUC: 0.80
Epoch 2 | Train Loss: 0.5872 | Val Loss: 0.5210 | Val Acc: 71.99% | Sens: 0.59 | Spec: 0.85 | AUC: 0.83
Epoch 3 | Train Loss: 0.4992 | Val Loss: 0.4478 | Val Acc: 80.08% | Sens: 0.82 | Spec: 0.78 | AUC: 0.87
Epoch 4 | Train Loss: 0.4506 | Val Loss: 0.4199 | Val Acc: 79.51% | Sens: 0.72 | Spec: 0.87 | AUC: 0.89
Epoch 5 | Train Loss: 0.4535 | Val Loss: 0.4110 | Val Acc: 81.39% | Sens: 0.84 | Spec: 0.79 | AUC: 0.90
Epoch 6 | Train Loss: 0.4499 | Val Loss: 0.4093 | Val Acc: 81.95% | Sens: 0.74 | Spec: 0.89 | AUC: 0.91
Epoch 7 | Train Loss: 0.4500 | Val Loss: 0.3865 | Val Acc: 83.08% | Sens: 0.82 | Spec: 0.85 | AUC: 0.92
Epoch 8 | Train Loss: 0.4141 | Val Loss: 0.3730 | Val Acc: 83.83% | Sens: 0.82 | Spec: 0.86 | AUC: 0.92
Epoch 9 | Train Loss: 0.4406 | Val Loss: 0.3781 | Val Acc: 83.08% | Sens: 0.87 | Spec: 0.79 | AUC: 0.92
Epoch 10 | Train Loss: 0.4000 | Val Loss: 0.4297 | Val Acc: 81.20% | Sens: 0.94 | Spec: 0.69 | AUC: 0.92
Epoch 11 | Train Loss: 0.4331 | Val Loss: 0.3732 | Val Acc: 84.40% | Sens: 0.91 | Spec: 0.78 | AUC: 0.92
Epoch 12 | Train Loss: 0.3882 | Val Loss: 0.3713 | Val Acc: 84.02% | Sens: 0.92 | Spec: 0.77 | AUC: 0.92
Epoch 13 | Train Loss: 0.3662 | Val Loss: 0.3705 | Val Acc: 84.59% | Sens: 0.92 | Spec: 0.78 | AUC: 0.92
Epoch 14 | Train Loss: 0.3543 | Val Loss: 0.3505 | Val Acc: 85.15% | Sens: 0.89 | Spec: 0.82 | AUC: 0.92
Epoch 15 | Train Loss: 0.3476 | Val Loss: 0.3470 | Val Acc: 85.34% | Sens: 0.83 | Spec: 0.88 | AUC: 0.93
Epoch 16 | Train Loss: 0.3688 | Val Loss: 0.3332 | Val Acc: 85.90% | Sens: 0.87 | Spec: 0.85 | AUC: 0.93
Epoch 17 | Train Loss: 0.3412 | Val Loss: 0.3432 | Val Acc: 85.53% | Sens: 0.90 | Spec: 0.82 | AUC: 0.93
Epoch 18 | Train Loss: 0.3442 | Val Loss: 0.3414 | Val Acc: 85.90% | Sens: 0.84 | Spec: 0.88 | AUC: 0.93
Epoch 19 | Train Loss: 0.3318 | Val Loss: 0.3899 | Val Acc: 83.27% | Sens: 0.95 | Spec: 0.72 | AUC: 0.93
Epoch 20 | Train Loss: 0.3416 | Val Loss: 0.3376 | Val Acc: 85.71% | Sens: 0.88 | Spec: 0.83 | AUC: 0.93
Epoch 21 | Train Loss: 0.3287 | Val Loss: 0.3449 | Val Acc: 85.71% | Sens: 0.91 | Spec: 0.81 | AUC: 0.94
Epoch 22 | Train Loss: 0.3511 | Val Loss: 0.3424 | Val Acc: 84.96% | Sens: 0.81 | Spec: 0.89 | AUC: 0.93
Epoch 23 | Train Loss: 0.3220 | Val Loss: 0.3343 | Val Acc: 86.47% | Sens: 0.89 | Spec: 0.84 | AUC: 0.94
Epoch 24 | Train Loss: 0.3121 | Val Loss: 0.3615 | Val Acc: 85.15% | Sens: 0.95 | Spec: 0.76 | AUC: 0.94
Epoch 25 | Train Loss: 0.3265 | Val Loss: 0.3321 | Val Acc: 86.65% | Sens: 0.85 | Spec: 0.89 | AUC: 0.94
Epoch 26 | Train Loss: 0.3081 | Val Loss: 0.3914 | Val Acc: 85.90% | Sens: 0.95 | Spec: 0.77 | AUC: 0.94
Epoch 27 | Train Loss: 0.3269 | Val Loss: 0.3340 | Val Acc: 86.09% | Sens: 0.90 | Spec: 0.82 | AUC: 0.94
Epoch 28 | Train Loss: 0.3263 | Val Loss: 0.3360 | Val Acc: 86.47% | Sens: 0.87 | Spec: 0.86 | AUC: 0.94
Epoch 29 | Train Loss: 0.3079 | Val Loss: 0.3764 | Val Acc: 85.53% | Sens: 0.93 | Spec: 0.78 | AUC: 0.94
Epoch 30 | Train Loss: 0.2949 | Val Loss: 0.3732 | Val Acc: 86.28% | Sens: 0.94 | Spec: 0.79 | AUC: 0.94
Epoch 31 | Train Loss: 0.3138 | Val Loss: 0.3342 | Val Acc: 87.03% | Sens: 0.92 | Spec: 0.83 | AUC: 0.94
Epoch 32 | Train Loss: 0.2836 | Val Loss: 0.3116 | Val Acc: 88.16% | Sens: 0.90 | Spec: 0.86 | AUC: 0.95
Epoch 33 | Train Loss: 0.2819 | Val Loss: 0.3263 | Val Acc: 86.84% | Sens: 0.81 | Spec: 0.93 | AUC: 0.94
Epoch 34 | Train Loss: 0.3128 | Val Loss: 0.3090 | Val Acc: 86.65% | Sens: 0.83 | Spec: 0.90 | AUC: 0.95
Epoch 35 | Train Loss: 0.3419 | Val Loss: 0.3250 | Val Acc: 86.09% | Sens: 0.79 | Spec: 0.93 | AUC: 0.95
Epoch 36 | Train Loss: 0.2953 | Val Loss: 0.3358 | Val Acc: 86.28% | Sens: 0.79 | Spec: 0.93 | AUC: 0.94
Epoch 37 | Train Loss: 0.2838 | Val Loss: 0.3003 | Val Acc: 88.53% | Sens: 0.89 | Spec: 0.89 | AUC: 0.95
Epoch 38 | Train Loss: 0.2699 | Val Loss: 0.3214 | Val Acc: 88.35% | Sens: 0.92 | Spec: 0.85 | AUC: 0.95
Epoch 39 | Train Loss: 0.2776 | Val Loss: 0.3042 | Val Acc: 88.16% | Sens: 0.88 | Spec: 0.89 | AUC: 0.95
Epoch 40 | Train Loss: 0.2824 | Val Loss: 0.2951 | Val Acc: 89.47% | Sens: 0.91 | Spec: 0.88 | AUC: 0.95
Epoch 41 | Train Loss: 0.2574 | Val Loss: 0.3025 | Val Acc: 88.35% | Sens: 0.85 | Spec: 0.91 | AUC: 0.95
Epoch 42 | Train Loss: 0.2602 | Val Loss: 0.3080 | Val Acc: 87.41% | Sens: 0.81 | Spec: 0.93 | AUC: 0.95
Epoch 43 | Train Loss: 0.2456 | Val Loss: 0.2942 | Val Acc: 88.53% | Sens: 0.87 | Spec: 0.90 | AUC: 0.95
Epoch 44 | Train Loss: 0.2521 | Val Loss: 0.5229 | Val Acc: 77.26% | Sens: 0.54 | Spec: 0.99 | AUC: 0.94
Epoch 45 | Train Loss: 0.3334 | Val Loss: 0.2972 | Val Acc: 87.41% | Sens: 0.84 | Spec: 0.90 | AUC: 0.95
Epoch 46 | Train Loss: 0.2874 | Val Loss: 0.2969 | Val Acc: 89.10% | Sens: 0.90 | Spec: 0.89 | AUC: 0.95
Epoch 47 | Train Loss: 0.2467 | Val Loss: 0.2883 | Val Acc: 89.29% | Sens: 0.89 | Spec: 0.90 | AUC: 0.95
Epoch 48 | Train Loss: 0.2603 | Val Loss: 0.3020 | Val Acc: 87.03% | Sens: 0.82 | Spec: 0.92 | AUC: 0.96
