🚀 Starting run: trainsample_1702_run_9
Epoch 1 | Train Loss: 1.1285 | Val Loss: 0.6911 | Val Acc: 51.32% | Sens: 0.01 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6922 | Val Loss: 0.6886 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6429 | Val Loss: 0.6299 | Val Acc: 67.11% | Sens: 0.97 | Spec: 0.39 | AUC: 0.82
Epoch 4 | Train Loss: 0.5173 | Val Loss: 0.5752 | Val Acc: 68.61% | Sens: 0.42 | Spec: 0.94 | AUC: 0.84
Epoch 5 | Train Loss: 0.5072 | Val Loss: 0.4646 | Val Acc: 77.82% | Sens: 0.74 | Spec: 0.82 | AUC: 0.87
Epoch 6 | Train Loss: 0.4642 | Val Loss: 0.4366 | Val Acc: 79.89% | Sens: 0.81 | Spec: 0.79 | AUC: 0.88
Epoch 7 | Train Loss: 0.4490 | Val Loss: 0.4497 | Val Acc: 77.82% | Sens: 0.66 | Spec: 0.89 | AUC: 0.89
Epoch 8 | Train Loss: 0.4227 | Val Loss: 0.4168 | Val Acc: 80.83% | Sens: 0.84 | Spec: 0.78 | AUC: 0.89
Epoch 9 | Train Loss: 0.4279 | Val Loss: 0.4081 | Val Acc: 81.77% | Sens: 0.84 | Spec: 0.80 | AUC: 0.90
Epoch 10 | Train Loss: 0.4006 | Val Loss: 0.4111 | Val Acc: 81.95% | Sens: 0.78 | Spec: 0.86 | AUC: 0.90
Epoch 11 | Train Loss: 0.4138 | Val Loss: 0.3939 | Val Acc: 82.71% | Sens: 0.84 | Spec: 0.81 | AUC: 0.91
Epoch 12 | Train Loss: 0.3734 | Val Loss: 0.4127 | Val Acc: 82.52% | Sens: 0.92 | Spec: 0.73 | AUC: 0.91
Epoch 13 | Train Loss: 0.3649 | Val Loss: 0.3888 | Val Acc: 82.89% | Sens: 0.75 | Spec: 0.90 | AUC: 0.92
Epoch 14 | Train Loss: 0.3594 | Val Loss: 0.3736 | Val Acc: 84.59% | Sens: 0.82 | Spec: 0.87 | AUC: 0.92
Epoch 15 | Train Loss: 0.3513 | Val Loss: 0.4594 | Val Acc: 81.20% | Sens: 0.95 | Spec: 0.68 | AUC: 0.92
