🚀 Starting run: trainsample_1702_run_10
Epoch 1 | Train Loss: 1.1285 | Val Loss: 0.6911 | Val Acc: 51.32% | Sens: 0.01 | Spec: 1.00 | AUC: 0.75
Epoch 2 | Train Loss: 0.6922 | Val Loss: 0.6885 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.77
Epoch 3 | Train Loss: 0.6371 | Val Loss: 0.7217 | Val Acc: 65.60% | Sens: 0.97 | Spec: 0.35 | AUC: 0.82
Epoch 4 | Train Loss: 0.5221 | Val Loss: 0.5882 | Val Acc: 66.92% | Sens: 0.38 | Spec: 0.95 | AUC: 0.84
Epoch 5 | Train Loss: 0.5163 | Val Loss: 0.4732 | Val Acc: 76.13% | Sens: 0.65 | Spec: 0.87 | AUC: 0.88
Epoch 6 | Train Loss: 0.4678 | Val Loss: 0.4337 | Val Acc: 80.64% | Sens: 0.84 | Spec: 0.77 | AUC: 0.88
Epoch 7 | Train Loss: 0.4429 | Val Loss: 0.4441 | Val Acc: 78.76% | Sens: 0.69 | Spec: 0.89 | AUC: 0.89
Epoch 8 | Train Loss: 0.4221 | Val Loss: 0.4170 | Val Acc: 81.58% | Sens: 0.83 | Spec: 0.80 | AUC: 0.89
Epoch 9 | Train Loss: 0.4255 | Val Loss: 0.4087 | Val Acc: 81.77% | Sens: 0.80 | Spec: 0.84 | AUC: 0.90
Epoch 10 | Train Loss: 0.3980 | Val Loss: 0.4210 | Val Acc: 80.45% | Sens: 0.72 | Spec: 0.88 | AUC: 0.90
Epoch 11 | Train Loss: 0.4196 | Val Loss: 0.4065 | Val Acc: 82.71% | Sens: 0.76 | Spec: 0.89 | AUC: 0.91
Epoch 12 | Train Loss: 0.3795 | Val Loss: 0.4180 | Val Acc: 82.33% | Sens: 0.91 | Spec: 0.74 | AUC: 0.92
Epoch 13 | Train Loss: 0.3564 | Val Loss: 0.3771 | Val Acc: 83.46% | Sens: 0.80 | Spec: 0.87 | AUC: 0.92
Epoch 14 | Train Loss: 0.3701 | Val Loss: 0.3616 | Val Acc: 85.15% | Sens: 0.85 | Spec: 0.86 | AUC: 0.93
Epoch 15 | Train Loss: 0.3586 | Val Loss: 0.4243 | Val Acc: 82.14% | Sens: 0.94 | Spec: 0.70 | AUC: 0.93
Epoch 16 | Train Loss: 0.3728 | Val Loss: 0.3604 | Val Acc: 87.03% | Sens: 0.84 | Spec: 0.90 | AUC: 0.93
Epoch 17 | Train Loss: 0.3415 | Val Loss: 0.3673 | Val Acc: 84.96% | Sens: 0.82 | Spec: 0.87 | AUC: 0.93
Epoch 18 | Train Loss: 0.3510 | Val Loss: 0.3590 | Val Acc: 84.96% | Sens: 0.88 | Spec: 0.82 | AUC: 0.93
Epoch 19 | Train Loss: 0.3173 | Val Loss: 0.3548 | Val Acc: 86.84% | Sens: 0.85 | Spec: 0.88 | AUC: 0.94
Epoch 20 | Train Loss: 0.3288 | Val Loss: 0.3840 | Val Acc: 84.02% | Sens: 0.75 | Spec: 0.93 | AUC: 0.93
Epoch 21 | Train Loss: 0.3208 | Val Loss: 0.3438 | Val Acc: 86.09% | Sens: 0.89 | Spec: 0.84 | AUC: 0.94
Epoch 22 | Train Loss: 0.3117 | Val Loss: 0.3831 | Val Acc: 85.53% | Sens: 0.94 | Spec: 0.77 | AUC: 0.94
Epoch 23 | Train Loss: 0.2847 | Val Loss: 0.3712 | Val Acc: 85.53% | Sens: 0.93 | Spec: 0.79 | AUC: 0.94
Epoch 24 | Train Loss: 0.2903 | Val Loss: 0.3446 | Val Acc: 86.47% | Sens: 0.89 | Spec: 0.85 | AUC: 0.94
Epoch 25 | Train Loss: 0.2898 | Val Loss: 0.3438 | Val Acc: 87.41% | Sens: 0.89 | Spec: 0.86 | AUC: 0.94
Epoch 26 | Train Loss: 0.2928 | Val Loss: 0.3311 | Val Acc: 87.41% | Sens: 0.89 | Spec: 0.86 | AUC: 0.95
Epoch 27 | Train Loss: 0.2934 | Val Loss: 0.4248 | Val Acc: 84.40% | Sens: 0.95 | Spec: 0.74 | AUC: 0.94
Epoch 28 | Train Loss: 0.2847 | Val Loss: 0.3463 | Val Acc: 87.22% | Sens: 0.90 | Spec: 0.85 | AUC: 0.94
Epoch 29 | Train Loss: 0.2757 | Val Loss: 0.3493 | Val Acc: 86.65% | Sens: 0.90 | Spec: 0.84 | AUC: 0.94
Epoch 30 | Train Loss: 0.2545 | Val Loss: 0.3369 | Val Acc: 86.47% | Sens: 0.90 | Spec: 0.83 | AUC: 0.95
Epoch 31 | Train Loss: 0.2640 | Val Loss: 0.3677 | Val Acc: 87.22% | Sens: 0.96 | Spec: 0.79 | AUC: 0.95
Epoch 32 | Train Loss: 0.2916 | Val Loss: 0.3378 | Val Acc: 87.59% | Sens: 0.93 | Spec: 0.83 | AUC: 0.95
