🚀 Starting run: trainsample_1490_run_10
Epoch 1 | Train Loss: 1.0297 | Val Loss: 0.6856 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.78
Epoch 2 | Train Loss: 0.6207 | Val Loss: 0.5302 | Val Acc: 72.18% | Sens: 0.66 | Spec: 0.79 | AUC: 0.82
Epoch 3 | Train Loss: 0.4993 | Val Loss: 0.4767 | Val Acc: 75.75% | Sens: 0.70 | Spec: 0.81 | AUC: 0.85
Epoch 4 | Train Loss: 0.4627 | Val Loss: 0.4587 | Val Acc: 77.26% | Sens: 0.64 | Spec: 0.90 | AUC: 0.88
Epoch 5 | Train Loss: 0.4770 | Val Loss: 0.4318 | Val Acc: 81.20% | Sens: 0.84 | Spec: 0.78 | AUC: 0.89
Epoch 6 | Train Loss: 0.4261 | Val Loss: 0.4114 | Val Acc: 81.02% | Sens: 0.79 | Spec: 0.83 | AUC: 0.90
Epoch 7 | Train Loss: 0.4093 | Val Loss: 0.4033 | Val Acc: 81.58% | Sens: 0.82 | Spec: 0.81 | AUC: 0.90
Epoch 8 | Train Loss: 0.3905 | Val Loss: 0.3946 | Val Acc: 82.89% | Sens: 0.80 | Spec: 0.86 | AUC: 0.91
Epoch 9 | Train Loss: 0.3737 | Val Loss: 0.4159 | Val Acc: 82.52% | Sens: 0.89 | Spec: 0.77 | AUC: 0.91
Epoch 10 | Train Loss: 0.3669 | Val Loss: 0.4615 | Val Acc: 80.83% | Sens: 0.95 | Spec: 0.68 | AUC: 0.92
Epoch 11 | Train Loss: 0.3837 | Val Loss: 0.3913 | Val Acc: 84.77% | Sens: 0.89 | Spec: 0.81 | AUC: 0.92
Epoch 12 | Train Loss: 0.3437 | Val Loss: 0.4563 | Val Acc: 79.51% | Sens: 0.63 | Spec: 0.95 | AUC: 0.92
Epoch 13 | Train Loss: 0.4127 | Val Loss: 0.5348 | Val Acc: 75.56% | Sens: 0.97 | Spec: 0.55 | AUC: 0.93
Epoch 14 | Train Loss: 0.3811 | Val Loss: 0.3803 | Val Acc: 84.96% | Sens: 0.88 | Spec: 0.82 | AUC: 0.93
Epoch 15 | Train Loss: 0.3154 | Val Loss: 0.3893 | Val Acc: 84.77% | Sens: 0.89 | Spec: 0.80 | AUC: 0.93
Epoch 16 | Train Loss: 0.3031 | Val Loss: 0.3724 | Val Acc: 85.34% | Sens: 0.83 | Spec: 0.87 | AUC: 0.93
Epoch 17 | Train Loss: 0.2975 | Val Loss: 0.3602 | Val Acc: 87.03% | Sens: 0.84 | Spec: 0.90 | AUC: 0.93
Epoch 18 | Train Loss: 0.2999 | Val Loss: 0.3515 | Val Acc: 86.84% | Sens: 0.85 | Spec: 0.89 | AUC: 0.94
Epoch 19 | Train Loss: 0.2782 | Val Loss: 0.3711 | Val Acc: 86.09% | Sens: 0.89 | Spec: 0.83 | AUC: 0.94
Epoch 20 | Train Loss: 0.2732 | Val Loss: 0.3786 | Val Acc: 86.09% | Sens: 0.91 | Spec: 0.82 | AUC: 0.94
Epoch 21 | Train Loss: 0.2616 | Val Loss: 0.4065 | Val Acc: 85.34% | Sens: 0.94 | Spec: 0.77 | AUC: 0.94
Epoch 22 | Train Loss: 0.2479 | Val Loss: 0.3349 | Val Acc: 87.59% | Sens: 0.87 | Spec: 0.88 | AUC: 0.95
Epoch 23 | Train Loss: 0.2294 | Val Loss: 0.3379 | Val Acc: 87.78% | Sens: 0.90 | Spec: 0.85 | AUC: 0.95
Epoch 24 | Train Loss: 0.2304 | Val Loss: 0.3629 | Val Acc: 87.22% | Sens: 0.90 | Spec: 0.85 | AUC: 0.95
Epoch 25 | Train Loss: 0.2318 | Val Loss: 0.3495 | Val Acc: 85.71% | Sens: 0.79 | Spec: 0.93 | AUC: 0.95
Epoch 26 | Train Loss: 0.2606 | Val Loss: 0.3369 | Val Acc: 86.84% | Sens: 0.83 | Spec: 0.90 | AUC: 0.95
Epoch 27 | Train Loss: 0.2275 | Val Loss: 0.3410 | Val Acc: 87.22% | Sens: 0.93 | Spec: 0.81 | AUC: 0.95
Epoch 28 | Train Loss: 0.2210 | Val Loss: 0.3324 | Val Acc: 87.41% | Sens: 0.91 | Spec: 0.84 | AUC: 0.95
Epoch 29 | Train Loss: 0.2027 | Val Loss: 0.3099 | Val Acc: 88.35% | Sens: 0.91 | Spec: 0.86 | AUC: 0.95
Epoch 30 | Train Loss: 0.1818 | Val Loss: 0.3440 | Val Acc: 87.41% | Sens: 0.92 | Spec: 0.83 | AUC: 0.95
Epoch 31 | Train Loss: 0.1728 | Val Loss: 0.3417 | Val Acc: 88.53% | Sens: 0.87 | Spec: 0.90 | AUC: 0.95
Epoch 32 | Train Loss: 0.1833 | Val Loss: 0.3559 | Val Acc: 87.22% | Sens: 0.93 | Spec: 0.81 | AUC: 0.95
Epoch 33 | Train Loss: 0.1900 | Val Loss: 0.3458 | Val Acc: 87.78% | Sens: 0.91 | Spec: 0.85 | AUC: 0.95
Epoch 34 | Train Loss: 0.1749 | Val Loss: 0.3292 | Val Acc: 88.91% | Sens: 0.92 | Spec: 0.86 | AUC: 0.96
Epoch 35 | Train Loss: 0.1571 | Val Loss: 0.3217 | Val Acc: 89.10% | Sens: 0.87 | Spec: 0.92 | AUC: 0.96
Epoch 36 | Train Loss: 0.1615 | Val Loss: 0.2976 | Val Acc: 89.29% | Sens: 0.92 | Spec: 0.87 | AUC: 0.96
Epoch 37 | Train Loss: 0.1506 | Val Loss: 0.3128 | Val Acc: 89.10% | Sens: 0.93 | Spec: 0.85 | AUC: 0.96
Epoch 38 | Train Loss: 0.1510 | Val Loss: 0.3557 | Val Acc: 88.16% | Sens: 0.95 | Spec: 0.82 | AUC: 0.96
Epoch 39 | Train Loss: 0.1357 | Val Loss: 0.3610 | Val Acc: 88.91% | Sens: 0.93 | Spec: 0.85 | AUC: 0.96
Epoch 40 | Train Loss: 0.1200 | Val Loss: 0.4139 | Val Acc: 86.84% | Sens: 0.94 | Spec: 0.80 | AUC: 0.96
Epoch 41 | Train Loss: 0.1493 | Val Loss: 0.3194 | Val Acc: 89.47% | Sens: 0.89 | Spec: 0.90 | AUC: 0.96
Epoch 42 | Train Loss: 0.1669 | Val Loss: 0.3459 | Val Acc: 88.72% | Sens: 0.92 | Spec: 0.86 | AUC: 0.96
Epoch 43 | Train Loss: 0.1459 | Val Loss: 0.2964 | Val Acc: 89.10% | Sens: 0.92 | Spec: 0.87 | AUC: 0.96
Epoch 44 | Train Loss: 0.1315 | Val Loss: 0.2946 | Val Acc: 88.72% | Sens: 0.88 | Spec: 0.90 | AUC: 0.96
Epoch 45 | Train Loss: 0.1456 | Val Loss: 0.3145 | Val Acc: 88.72% | Sens: 0.85 | Spec: 0.93 | AUC: 0.96
Epoch 46 | Train Loss: 0.1097 | Val Loss: 0.3153 | Val Acc: 89.66% | Sens: 0.93 | Spec: 0.87 | AUC: 0.96
Epoch 47 | Train Loss: 0.1072 | Val Loss: 0.2975 | Val Acc: 90.23% | Sens: 0.90 | Spec: 0.90 | AUC: 0.96
Epoch 48 | Train Loss: 0.0947 | Val Loss: 0.3093 | Val Acc: 90.98% | Sens: 0.93 | Spec: 0.89 | AUC: 0.97
Epoch 49 | Train Loss: 0.1267 | Val Loss: 0.3280 | Val Acc: 90.79% | Sens: 0.90 | Spec: 0.91 | AUC: 0.97
Epoch 50 | Train Loss: 0.0987 | Val Loss: 0.3493 | Val Acc: 88.53% | Sens: 0.95 | Spec: 0.83 | AUC: 0.96
Epoch 51 | Train Loss: 0.1128 | Val Loss: 0.3009 | Val Acc: 88.72% | Sens: 0.93 | Spec: 0.84 | AUC: 0.96
Epoch 52 | Train Loss: 0.1063 | Val Loss: 0.2654 | Val Acc: 90.41% | Sens: 0.93 | Spec: 0.87 | AUC: 0.97
Epoch 53 | Train Loss: 0.1064 | Val Loss: 0.2599 | Val Acc: 90.23% | Sens: 0.89 | Spec: 0.91 | AUC: 0.97
Epoch 54 | Train Loss: 0.0815 | Val Loss: 0.2694 | Val Acc: 90.98% | Sens: 0.90 | Spec: 0.92 | AUC: 0.97
Epoch 55 | Train Loss: 0.0679 | Val Loss: 0.2940 | Val Acc: 89.66% | Sens: 0.86 | Spec: 0.93 | AUC: 0.97
Epoch 56 | Train Loss: 0.0685 | Val Loss: 0.3040 | Val Acc: 89.10% | Sens: 0.86 | Spec: 0.92 | AUC: 0.97
Epoch 57 | Train Loss: 0.0629 | Val Loss: 0.3182 | Val Acc: 90.79% | Sens: 0.91 | Spec: 0.91 | AUC: 0.97
Epoch 58 | Train Loss: 0.0589 | Val Loss: 0.3178 | Val Acc: 91.35% | Sens: 0.96 | Spec: 0.87 | AUC: 0.98
Epoch 59 | Train Loss: 0.0658 | Val Loss: 0.3198 | Val Acc: 91.17% | Sens: 0.95 | Spec: 0.87 | AUC: 0.97
Epoch 60 | Train Loss: 0.0722 | Val Loss: 0.2619 | Val Acc: 90.98% | Sens: 0.87 | Spec: 0.94 | AUC: 0.98
Epoch 61 | Train Loss: 0.0546 | Val Loss: 0.2836 | Val Acc: 91.54% | Sens: 0.93 | Spec: 0.90 | AUC: 0.97
Epoch 62 | Train Loss: 0.0558 | Val Loss: 0.3324 | Val Acc: 91.73% | Sens: 0.96 | Spec: 0.87 | AUC: 0.98
Epoch 63 | Train Loss: 0.0477 | Val Loss: 0.2934 | Val Acc: 90.98% | Sens: 0.93 | Spec: 0.89 | AUC: 0.97
🚨 Early stopping after 63 epochs.

🔍 Testing on separate test set...
/nfs/homes/sdreyer/Digit-Classification-Pytorch/ClassSweep.py:284: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  classifier.load_state_dict(torch.load(model_path, map_location=device))
✅ Correct: 537 | ❌ Incorrect: 69 | Total: 606
🎯 Test Accuracy: 88.61% | Sens: 0.87 | Spec: 0.90 | AUC: 0.96
