🚀 Starting run: trainsample_851_run_10
Epoch 1 | Train Loss: 1.5910 | Val Loss: 0.7042 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.72
Epoch 2 | Train Loss: 0.7237 | Val Loss: 0.7008 | Val Acc: 50.94% | Sens: 0.00 | Spec: 1.00 | AUC: 0.76
Epoch 3 | Train Loss: 0.6926 | Val Loss: 0.6886 | Val Acc: 49.06% | Sens: 1.00 | Spec: 0.00 | AUC: 0.78
Epoch 4 | Train Loss: 0.6655 | Val Loss: 0.6479 | Val Acc: 59.40% | Sens: 0.98 | Spec: 0.23 | AUC: 0.80
Epoch 5 | Train Loss: 0.6021 | Val Loss: 0.5543 | Val Acc: 75.56% | Sens: 0.91 | Spec: 0.61 | AUC: 0.82
Epoch 6 | Train Loss: 0.5251 | Val Loss: 0.5953 | Val Acc: 66.54% | Sens: 0.38 | Spec: 0.94 | AUC: 0.83
Epoch 7 | Train Loss: 0.5911 | Val Loss: 0.6376 | Val Acc: 67.11% | Sens: 0.97 | Spec: 0.39 | AUC: 0.84
Epoch 8 | Train Loss: 0.5311 | Val Loss: 0.5066 | Val Acc: 78.38% | Sens: 0.89 | Spec: 0.69 | AUC: 0.85
Epoch 9 | Train Loss: 0.4958 | Val Loss: 0.4751 | Val Acc: 78.57% | Sens: 0.77 | Spec: 0.80 | AUC: 0.87
Epoch 10 | Train Loss: 0.4744 | Val Loss: 0.4512 | Val Acc: 80.08% | Sens: 0.82 | Spec: 0.79 | AUC: 0.87
Epoch 11 | Train Loss: 0.4581 | Val Loss: 0.4684 | Val Acc: 75.56% | Sens: 0.61 | Spec: 0.90 | AUC: 0.88
Epoch 12 | Train Loss: 0.4442 | Val Loss: 0.4385 | Val Acc: 80.08% | Sens: 0.70 | Spec: 0.89 | AUC: 0.89
Epoch 13 | Train Loss: 0.4430 | Val Loss: 0.4820 | Val Acc: 73.68% | Sens: 0.52 | Spec: 0.94 | AUC: 0.90
Epoch 14 | Train Loss: 0.4819 | Val Loss: 0.4492 | Val Acc: 78.95% | Sens: 0.65 | Spec: 0.93 | AUC: 0.90
Epoch 15 | Train Loss: 0.4255 | Val Loss: 0.4102 | Val Acc: 82.14% | Sens: 0.79 | Spec: 0.86 | AUC: 0.90
Epoch 16 | Train Loss: 0.4123 | Val Loss: 0.4242 | Val Acc: 81.02% | Sens: 0.72 | Spec: 0.90 | AUC: 0.90
Epoch 17 | Train Loss: 0.3806 | Val Loss: 0.4094 | Val Acc: 84.21% | Sens: 0.91 | Spec: 0.77 | AUC: 0.91
Epoch 18 | Train Loss: 0.4065 | Val Loss: 0.4147 | Val Acc: 82.33% | Sens: 0.92 | Spec: 0.73 | AUC: 0.91
Epoch 19 | Train Loss: 0.3696 | Val Loss: 0.4087 | Val Acc: 83.08% | Sens: 0.92 | Spec: 0.75 | AUC: 0.91
Epoch 20 | Train Loss: 0.3549 | Val Loss: 0.3821 | Val Acc: 83.65% | Sens: 0.81 | Spec: 0.86 | AUC: 0.91
Epoch 21 | Train Loss: 0.3185 | Val Loss: 0.3953 | Val Acc: 81.58% | Sens: 0.72 | Spec: 0.90 | AUC: 0.92
Epoch 22 | Train Loss: 0.3187 | Val Loss: 0.3850 | Val Acc: 82.71% | Sens: 0.76 | Spec: 0.89 | AUC: 0.92
Epoch 23 | Train Loss: 0.3740 | Val Loss: 0.3931 | Val Acc: 81.20% | Sens: 0.71 | Spec: 0.91 | AUC: 0.92
Epoch 24 | Train Loss: 0.3095 | Val Loss: 0.3887 | Val Acc: 82.52% | Sens: 0.74 | Spec: 0.91 | AUC: 0.92
Epoch 25 | Train Loss: 0.3256 | Val Loss: 0.3813 | Val Acc: 83.27% | Sens: 0.76 | Spec: 0.90 | AUC: 0.92
Epoch 26 | Train Loss: 0.3080 | Val Loss: 0.4024 | Val Acc: 83.83% | Sens: 0.93 | Spec: 0.75 | AUC: 0.92
Epoch 27 | Train Loss: 0.3168 | Val Loss: 0.4708 | Val Acc: 81.20% | Sens: 0.96 | Spec: 0.67 | AUC: 0.93
Epoch 28 | Train Loss: 0.3294 | Val Loss: 0.4212 | Val Acc: 83.27% | Sens: 0.94 | Spec: 0.73 | AUC: 0.92
Epoch 29 | Train Loss: 0.3035 | Val Loss: 0.4095 | Val Acc: 84.40% | Sens: 0.93 | Spec: 0.76 | AUC: 0.92
