🚀 Starting run: trainsample_3404_run_1
Epoch 1 | Train Loss: 1.2106 | Val Loss: 0.4643 | Val Acc: 82.49% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4508 | Val Loss: 0.4352 | Val Acc: 82.49% | Sens: 0.87 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3853 | Val Loss: 0.3836 | Val Acc: 85.19% | Sens: 0.94 | Spec: 0.70 | AUC: 0.89
Epoch 4 | Train Loss: 0.3330 | Val Loss: 0.3169 | Val Acc: 86.84% | Sens: 0.95 | Spec: 0.72 | AUC: 0.95
Epoch 5 | Train Loss: 0.2693 | Val Loss: 0.2478 | Val Acc: 92.36% | Sens: 0.92 | Spec: 0.92 | AUC: 0.96
Epoch 6 | Train Loss: 0.2154 | Val Loss: 0.1988 | Val Acc: 93.42% | Sens: 0.94 | Spec: 0.92 | AUC: 0.97
Epoch 7 | Train Loss: 0.2185 | Val Loss: 0.2062 | Val Acc: 92.36% | Sens: 0.94 | Spec: 0.90 | AUC: 0.97
Epoch 8 | Train Loss: 0.1907 | Val Loss: 0.1793 | Val Acc: 93.42% | Sens: 0.95 | Spec: 0.90 | AUC: 0.98
Epoch 9 | Train Loss: 0.1905 | Val Loss: 0.2093 | Val Acc: 91.77% | Sens: 0.96 | Spec: 0.85 | AUC: 0.97
Epoch 10 | Train Loss: 0.1851 | Val Loss: 0.1852 | Val Acc: 93.07% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98
Epoch 11 | Train Loss: 0.1542 | Val Loss: 0.1737 | Val Acc: 93.18% | Sens: 0.95 | Spec: 0.89 | AUC: 0.98
Epoch 12 | Train Loss: 0.1491 | Val Loss: 0.1480 | Val Acc: 94.95% | Sens: 0.95 | Spec: 0.95 | AUC: 0.98
Epoch 13 | Train Loss: 0.1538 | Val Loss: 0.1523 | Val Acc: 94.12% | Sens: 0.96 | Spec: 0.91 | AUC: 0.98
Epoch 14 | Train Loss: 0.1499 | Val Loss: 0.1413 | Val Acc: 94.83% | Sens: 0.96 | Spec: 0.92 | AUC: 0.98
Epoch 15 | Train Loss: 0.1403 | Val Loss: 0.1333 | Val Acc: 95.06% | Sens: 0.96 | Spec: 0.93 | AUC: 0.99
Epoch 16 | Train Loss: 0.1275 | Val Loss: 0.1333 | Val Acc: 94.83% | Sens: 0.94 | Spec: 0.95 | AUC: 0.99
Epoch 17 | Train Loss: 0.1222 | Val Loss: 0.1422 | Val Acc: 94.48% | Sens: 0.95 | Spec: 0.93 | AUC: 0.99
Epoch 18 | Train Loss: 0.1263 | Val Loss: 0.1281 | Val Acc: 94.95% | Sens: 0.97 | Spec: 0.92 | AUC: 0.99
Epoch 19 | Train Loss: 0.1178 | Val Loss: 0.1608 | Val Acc: 93.42% | Sens: 0.94 | Spec: 0.92 | AUC: 0.98
Epoch 20 | Train Loss: 0.1152 | Val Loss: 0.1291 | Val Acc: 95.06% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 21 | Train Loss: 0.1084 | Val Loss: 0.1179 | Val Acc: 95.77% | Sens: 0.96 | Spec: 0.96 | AUC: 0.99
Epoch 22 | Train Loss: 0.1118 | Val Loss: 0.1199 | Val Acc: 95.53% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
Epoch 23 | Train Loss: 0.1100 | Val Loss: 0.1088 | Val Acc: 96.36% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 24 | Train Loss: 0.1067 | Val Loss: 0.1240 | Val Acc: 95.53% | Sens: 0.97 | Spec: 0.93 | AUC: 0.99
Epoch 25 | Train Loss: 0.0991 | Val Loss: 0.1150 | Val Acc: 96.00% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 26 | Train Loss: 0.0953 | Val Loss: 0.1105 | Val Acc: 95.77% | Sens: 0.97 | Spec: 0.93 | AUC: 0.99
Epoch 27 | Train Loss: 0.0956 | Val Loss: 0.1042 | Val Acc: 96.12% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 28 | Train Loss: 0.0863 | Val Loss: 0.1261 | Val Acc: 94.95% | Sens: 0.96 | Spec: 0.93 | AUC: 0.99
Epoch 29 | Train Loss: 0.1007 | Val Loss: 0.1249 | Val Acc: 95.30% | Sens: 0.98 | Spec: 0.91 | AUC: 0.99
Epoch 30 | Train Loss: 0.0913 | Val Loss: 0.1031 | Val Acc: 96.00% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 31 | Train Loss: 0.0849 | Val Loss: 0.1133 | Val Acc: 96.00% | Sens: 0.97 | Spec: 0.94 | AUC: 0.99
Epoch 32 | Train Loss: 0.0818 | Val Loss: 0.1027 | Val Acc: 96.00% | Sens: 0.98 | Spec: 0.92 | AUC: 0.99
Epoch 33 | Train Loss: 0.0884 | Val Loss: 0.0999 | Val Acc: 96.24% | Sens: 0.96 | Spec: 0.97 | AUC: 0.99
Epoch 34 | Train Loss: 0.0836 | Val Loss: 0.0976 | Val Acc: 96.24% | Sens: 0.96 | Spec: 0.96 | AUC: 0.99
Epoch 35 | Train Loss: 0.0728 | Val Loss: 0.0895 | Val Acc: 96.59% | Sens: 0.97 | Spec: 0.95 | AUC: 1.00
Epoch 36 | Train Loss: 0.0619 | Val Loss: 0.0935 | Val Acc: 96.36% | Sens: 0.97 | Spec: 0.95 | AUC: 1.00
Epoch 37 | Train Loss: 0.0689 | Val Loss: 0.0922 | Val Acc: 96.71% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 38 | Train Loss: 0.0710 | Val Loss: 0.0913 | Val Acc: 95.89% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 39 | Train Loss: 0.0642 | Val Loss: 0.1105 | Val Acc: 96.12% | Sens: 0.99 | Spec: 0.92 | AUC: 1.00
Epoch 40 | Train Loss: 0.0762 | Val Loss: 0.0989 | Val Acc: 97.06% | Sens: 0.98 | Spec: 0.95 | AUC: 0.99
