🚀 Starting run: trainsample_3404_run_3
Epoch 1 | Train Loss: 1.2104 | Val Loss: 0.4642 | Val Acc: 82.26% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4504 | Val Loss: 0.4347 | Val Acc: 82.37% | Sens: 0.87 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3843 | Val Loss: 0.3838 | Val Acc: 85.19% | Sens: 0.94 | Spec: 0.70 | AUC: 0.89
Epoch 4 | Train Loss: 0.3345 | Val Loss: 0.3163 | Val Acc: 86.96% | Sens: 0.95 | Spec: 0.72 | AUC: 0.95
Epoch 5 | Train Loss: 0.2779 | Val Loss: 0.2564 | Val Acc: 90.60% | Sens: 0.94 | Spec: 0.85 | AUC: 0.96
Epoch 6 | Train Loss: 0.2270 | Val Loss: 0.2053 | Val Acc: 93.30% | Sens: 0.95 | Spec: 0.90 | AUC: 0.97
Epoch 7 | Train Loss: 0.2018 | Val Loss: 0.1988 | Val Acc: 92.71% | Sens: 0.95 | Spec: 0.89 | AUC: 0.97
Epoch 8 | Train Loss: 0.1721 | Val Loss: 0.1727 | Val Acc: 94.01% | Sens: 0.94 | Spec: 0.93 | AUC: 0.98
Epoch 9 | Train Loss: 0.1644 | Val Loss: 0.1814 | Val Acc: 93.07% | Sens: 0.96 | Spec: 0.88 | AUC: 0.98
Epoch 10 | Train Loss: 0.1568 | Val Loss: 0.1682 | Val Acc: 93.54% | Sens: 0.95 | Spec: 0.91 | AUC: 0.98
Epoch 11 | Train Loss: 0.1496 | Val Loss: 0.1605 | Val Acc: 93.77% | Sens: 0.94 | Spec: 0.93 | AUC: 0.98
Epoch 12 | Train Loss: 0.1537 | Val Loss: 0.1767 | Val Acc: 93.18% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98
Epoch 13 | Train Loss: 0.1599 | Val Loss: 0.1570 | Val Acc: 94.48% | Sens: 0.96 | Spec: 0.93 | AUC: 0.98
Epoch 14 | Train Loss: 0.1451 | Val Loss: 0.1571 | Val Acc: 93.18% | Sens: 0.96 | Spec: 0.89 | AUC: 0.98
Epoch 15 | Train Loss: 0.1366 | Val Loss: 0.1301 | Val Acc: 94.95% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 16 | Train Loss: 0.1248 | Val Loss: 0.1267 | Val Acc: 95.18% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 17 | Train Loss: 0.1188 | Val Loss: 0.1277 | Val Acc: 95.77% | Sens: 0.95 | Spec: 0.97 | AUC: 0.99
Epoch 18 | Train Loss: 0.1208 | Val Loss: 0.1462 | Val Acc: 95.42% | Sens: 0.93 | Spec: 0.99 | AUC: 0.99
Epoch 19 | Train Loss: 0.1314 | Val Loss: 0.1402 | Val Acc: 94.59% | Sens: 0.94 | Spec: 0.95 | AUC: 0.99
Epoch 20 | Train Loss: 0.1162 | Val Loss: 0.1158 | Val Acc: 95.65% | Sens: 0.95 | Spec: 0.97 | AUC: 0.99
Epoch 21 | Train Loss: 0.1105 | Val Loss: 0.1094 | Val Acc: 96.24% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 22 | Train Loss: 0.1231 | Val Loss: 0.1208 | Val Acc: 95.89% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 23 | Train Loss: 0.1080 | Val Loss: 0.1064 | Val Acc: 96.36% | Sens: 0.97 | Spec: 0.96 | AUC: 0.99
Epoch 24 | Train Loss: 0.1007 | Val Loss: 0.1167 | Val Acc: 95.53% | Sens: 0.97 | Spec: 0.93 | AUC: 0.99
Epoch 25 | Train Loss: 0.0991 | Val Loss: 0.1060 | Val Acc: 96.59% | Sens: 0.96 | Spec: 0.98 | AUC: 0.99
Epoch 26 | Train Loss: 0.0904 | Val Loss: 0.0952 | Val Acc: 96.71% | Sens: 0.96 | Spec: 0.97 | AUC: 0.99
Epoch 27 | Train Loss: 0.0892 | Val Loss: 0.0934 | Val Acc: 96.94% | Sens: 0.97 | Spec: 0.97 | AUC: 0.99
Epoch 28 | Train Loss: 0.0861 | Val Loss: 0.1163 | Val Acc: 95.65% | Sens: 0.98 | Spec: 0.91 | AUC: 0.99
Epoch 29 | Train Loss: 0.0919 | Val Loss: 0.1010 | Val Acc: 96.24% | Sens: 0.98 | Spec: 0.94 | AUC: 0.99
Epoch 30 | Train Loss: 0.0896 | Val Loss: 0.0986 | Val Acc: 96.24% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 31 | Train Loss: 0.0758 | Val Loss: 0.0923 | Val Acc: 96.59% | Sens: 0.97 | Spec: 0.96 | AUC: 0.99
Epoch 32 | Train Loss: 0.0934 | Val Loss: 0.0954 | Val Acc: 96.24% | Sens: 0.97 | Spec: 0.95 | AUC: 0.99
Epoch 33 | Train Loss: 0.0805 | Val Loss: 0.0960 | Val Acc: 96.71% | Sens: 0.97 | Spec: 0.97 | AUC: 0.99
Epoch 34 | Train Loss: 0.0703 | Val Loss: 0.0931 | Val Acc: 96.47% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 35 | Train Loss: 0.0721 | Val Loss: 0.0892 | Val Acc: 96.47% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 36 | Train Loss: 0.0623 | Val Loss: 0.0938 | Val Acc: 96.71% | Sens: 0.96 | Spec: 0.98 | AUC: 1.00
Epoch 37 | Train Loss: 0.0624 | Val Loss: 0.0973 | Val Acc: 96.47% | Sens: 0.98 | Spec: 0.94 | AUC: 1.00
Epoch 38 | Train Loss: 0.0623 | Val Loss: 0.0887 | Val Acc: 96.36% | Sens: 0.97 | Spec: 0.95 | AUC: 1.00
Epoch 39 | Train Loss: 0.0628 | Val Loss: 0.1149 | Val Acc: 96.24% | Sens: 0.99 | Spec: 0.92 | AUC: 0.99
Epoch 40 | Train Loss: 0.0768 | Val Loss: 0.0876 | Val Acc: 96.36% | Sens: 0.97 | Spec: 0.95 | AUC: 1.00
Epoch 41 | Train Loss: 0.0683 | Val Loss: 0.0919 | Val Acc: 96.47% | Sens: 0.96 | Spec: 0.96 | AUC: 0.99
Epoch 42 | Train Loss: 0.0774 | Val Loss: 0.0953 | Val Acc: 96.83% | Sens: 0.96 | Spec: 0.97 | AUC: 0.99
Epoch 43 | Train Loss: 0.0558 | Val Loss: 0.0776 | Val Acc: 96.94% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 44 | Train Loss: 0.0562 | Val Loss: 0.0723 | Val Acc: 96.71% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 45 | Train Loss: 0.0488 | Val Loss: 0.0760 | Val Acc: 96.83% | Sens: 0.98 | Spec: 0.95 | AUC: 1.00
Epoch 46 | Train Loss: 0.0520 | Val Loss: 0.0865 | Val Acc: 96.59% | Sens: 0.97 | Spec: 0.96 | AUC: 1.00
Epoch 47 | Train Loss: 0.0479 | Val Loss: 0.0953 | Val Acc: 96.94% | Sens: 0.99 | Spec: 0.93 | AUC: 1.00
Epoch 48 | Train Loss: 0.0694 | Val Loss: 0.0832 | Val Acc: 97.06% | Sens: 0.97 | Spec: 0.98 | AUC: 1.00
Epoch 49 | Train Loss: 0.0495 | Val Loss: 0.0748 | Val Acc: 97.65% | Sens: 0.97 | Spec: 0.99 | AUC: 1.00
Epoch 50 | Train Loss: 0.0412 | Val Loss: 0.0720 | Val Acc: 97.30% | Sens: 0.98 | Spec: 0.95 | AUC: 1.00
Epoch 51 | Train Loss: 0.0504 | Val Loss: 0.1006 | Val Acc: 97.06% | Sens: 0.96 | Spec: 0.98 | AUC: 1.00
Epoch 52 | Train Loss: 0.0502 | Val Loss: 0.0665 | Val Acc: 97.06% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 53 | Train Loss: 0.0439 | Val Loss: 0.0913 | Val Acc: 97.06% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 54 | Train Loss: 0.0410 | Val Loss: 0.0766 | Val Acc: 96.94% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 55 | Train Loss: 0.0361 | Val Loss: 0.0726 | Val Acc: 97.18% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 56 | Train Loss: 0.0361 | Val Loss: 0.0773 | Val Acc: 97.30% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 57 | Train Loss: 0.0367 | Val Loss: 0.1117 | Val Acc: 97.30% | Sens: 0.97 | Spec: 0.98 | AUC: 1.00
Epoch 58 | Train Loss: 0.0403 | Val Loss: 0.0757 | Val Acc: 97.30% | Sens: 0.97 | Spec: 0.98 | AUC: 1.00
Epoch 59 | Train Loss: 0.0509 | Val Loss: 0.0645 | Val Acc: 97.41% | Sens: 0.98 | Spec: 0.96 | AUC: 1.00
Epoch 60 | Train Loss: 0.0428 | Val Loss: 0.0581 | Val Acc: 97.88% | Sens: 0.98 | Spec: 0.98 | AUC: 1.00
Epoch 61 | Train Loss: 0.0319 | Val Loss: 0.0713 | Val Acc: 97.41% | Sens: 0.97 | Spec: 0.98 | AUC: 1.00
Epoch 62 | Train Loss: 0.0323 | Val Loss: 0.0960 | Val Acc: 96.71% | Sens: 0.99 | Spec: 0.93 | AUC: 1.00
Epoch 63 | Train Loss: 0.0326 | Val Loss: 0.0721 | Val Acc: 97.41% | Sens: 0.99 | Spec: 0.95 | AUC: 1.00
Epoch 64 | Train Loss: 0.0293 | Val Loss: 0.0661 | Val Acc: 97.77% | Sens: 0.98 | Spec: 0.97 | AUC: 1.00
Epoch 65 | Train Loss: 0.0371 | Val Loss: 0.0794 | Val Acc: 97.06% | Sens: 0.97 | Spec: 0.97 | AUC: 1.00
Epoch 66 | Train Loss: 0.0399 | Val Loss: 0.0739 | Val Acc: 97.30% | Sens: 0.98 | Spec: 0.96 | AUC: 1.00
Epoch 67 | Train Loss: 0.0330 | Val Loss: 0.0740 | Val Acc: 97.18% | Sens: 0.98 | Spec: 0.95 | AUC: 1.00
Epoch 68 | Train Loss: 0.0385 | Val Loss: 0.0584 | Val Acc: 98.24% | Sens: 0.99 | Spec: 0.97 | AUC: 1.00
Epoch 69 | Train Loss: 0.0358 | Val Loss: 0.0845 | Val Acc: 97.18% | Sens: 0.99 | Spec: 0.95 | AUC: 1.00
Epoch 70 | Train Loss: 0.0380 | Val Loss: 0.0640 | Val Acc: 97.65% | Sens: 0.98 | Spec: 0.97 | AUC: 1.00
🚨 Early stopping after 70 epochs.

🔍 Testing on separate test set...
