🚀 Starting run: trainsample_3404_run_4
Epoch 1 | Train Loss: 1.2106 | Val Loss: 0.4643 | Val Acc: 82.49% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4507 | Val Loss: 0.4344 | Val Acc: 82.61% | Sens: 0.88 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3859 | Val Loss: 0.3833 | Val Acc: 85.43% | Sens: 0.93 | Spec: 0.72 | AUC: 0.89
Epoch 4 | Train Loss: 0.3320 | Val Loss: 0.2981 | Val Acc: 87.90% | Sens: 0.95 | Spec: 0.75 | AUC: 0.95
Epoch 5 | Train Loss: 0.2646 | Val Loss: 0.2394 | Val Acc: 92.01% | Sens: 0.92 | Spec: 0.93 | AUC: 0.97
Epoch 6 | Train Loss: 0.2171 | Val Loss: 0.1978 | Val Acc: 93.42% | Sens: 0.94 | Spec: 0.93 | AUC: 0.97
Epoch 7 | Train Loss: 0.2031 | Val Loss: 0.1918 | Val Acc: 93.30% | Sens: 0.94 | Spec: 0.92 | AUC: 0.98
Epoch 8 | Train Loss: 0.1715 | Val Loss: 0.1814 | Val Acc: 94.01% | Sens: 0.94 | Spec: 0.94 | AUC: 0.98
Epoch 9 | Train Loss: 0.1704 | Val Loss: 0.1865 | Val Acc: 92.48% | Sens: 0.95 | Spec: 0.89 | AUC: 0.98
Epoch 10 | Train Loss: 0.1633 | Val Loss: 0.1678 | Val Acc: 93.30% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98
Epoch 11 | Train Loss: 0.1577 | Val Loss: 0.1597 | Val Acc: 93.77% | Sens: 0.94 | Spec: 0.93 | AUC: 0.98
Epoch 12 | Train Loss: 0.1560 | Val Loss: 0.1970 | Val Acc: 93.54% | Sens: 0.96 | Spec: 0.89 | AUC: 0.98
Epoch 13 | Train Loss: 0.1658 | Val Loss: 0.1633 | Val Acc: 93.89% | Sens: 0.94 | Spec: 0.94 | AUC: 0.98
Epoch 14 | Train Loss: 0.1448 | Val Loss: 0.1589 | Val Acc: 94.71% | Sens: 0.95 | Spec: 0.94 | AUC: 0.98
Epoch 15 | Train Loss: 0.1464 | Val Loss: 0.1314 | Val Acc: 95.18% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
Epoch 16 | Train Loss: 0.1336 | Val Loss: 0.1350 | Val Acc: 95.06% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 17 | Train Loss: 0.1309 | Val Loss: 0.1445 | Val Acc: 94.95% | Sens: 0.94 | Spec: 0.96 | AUC: 0.99
Epoch 18 | Train Loss: 0.1331 | Val Loss: 0.1284 | Val Acc: 95.06% | Sens: 0.94 | Spec: 0.96 | AUC: 0.99
Epoch 19 | Train Loss: 0.1304 | Val Loss: 0.1420 | Val Acc: 94.12% | Sens: 0.94 | Spec: 0.94 | AUC: 0.99
Epoch 20 | Train Loss: 0.1205 | Val Loss: 0.1249 | Val Acc: 95.06% | Sens: 0.96 | Spec: 0.94 | AUC: 0.99
Epoch 21 | Train Loss: 0.1151 | Val Loss: 0.1180 | Val Acc: 95.53% | Sens: 0.95 | Spec: 0.96 | AUC: 0.99
