🚀 Starting run: trainsample_3404_run_5
Epoch 1 | Train Loss: 1.2106 | Val Loss: 0.4642 | Val Acc: 82.26% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4508 | Val Loss: 0.4372 | Val Acc: 82.02% | Sens: 0.87 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3842 | Val Loss: 0.3838 | Val Acc: 85.43% | Sens: 0.94 | Spec: 0.71 | AUC: 0.89
Epoch 4 | Train Loss: 0.3347 | Val Loss: 0.3027 | Val Acc: 87.90% | Sens: 0.95 | Spec: 0.76 | AUC: 0.95
Epoch 5 | Train Loss: 0.2660 | Val Loss: 0.2849 | Val Acc: 91.54% | Sens: 0.89 | Spec: 0.96 | AUC: 0.96
Epoch 6 | Train Loss: 0.2258 | Val Loss: 0.2040 | Val Acc: 92.95% | Sens: 0.93 | Spec: 0.93 | AUC: 0.97
Epoch 7 | Train Loss: 0.2023 | Val Loss: 0.1972 | Val Acc: 92.60% | Sens: 0.95 | Spec: 0.88 | AUC: 0.97
Epoch 8 | Train Loss: 0.1728 | Val Loss: 0.1917 | Val Acc: 93.07% | Sens: 0.94 | Spec: 0.92 | AUC: 0.98
Epoch 9 | Train Loss: 0.1766 | Val Loss: 0.2011 | Val Acc: 91.66% | Sens: 0.95 | Spec: 0.86 | AUC: 0.97
Epoch 10 | Train Loss: 0.1708 | Val Loss: 0.1668 | Val Acc: 93.30% | Sens: 0.94 | Spec: 0.91 | AUC: 0.98
Epoch 11 | Train Loss: 0.1569 | Val Loss: 0.1647 | Val Acc: 93.54% | Sens: 0.95 | Spec: 0.92 | AUC: 0.98
Epoch 12 | Train Loss: 0.1499 | Val Loss: 0.1660 | Val Acc: 93.77% | Sens: 0.94 | Spec: 0.93 | AUC: 0.98
Epoch 13 | Train Loss: 0.1785 | Val Loss: 0.1507 | Val Acc: 94.12% | Sens: 0.95 | Spec: 0.93 | AUC: 0.98
Epoch 14 | Train Loss: 0.1475 | Val Loss: 0.1554 | Val Acc: 94.48% | Sens: 0.97 | Spec: 0.89 | AUC: 0.98
Epoch 15 | Train Loss: 0.1439 | Val Loss: 0.1487 | Val Acc: 94.48% | Sens: 0.96 | Spec: 0.91 | AUC: 0.99
Epoch 16 | Train Loss: 0.1347 | Val Loss: 0.1491 | Val Acc: 95.18% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 17 | Train Loss: 0.1278 | Val Loss: 0.2106 | Val Acc: 92.71% | Sens: 0.90 | Spec: 0.98 | AUC: 0.98
Epoch 18 | Train Loss: 0.1424 | Val Loss: 0.1377 | Val Acc: 94.95% | Sens: 0.94 | Spec: 0.96 | AUC: 0.99
Epoch 19 | Train Loss: 0.1274 | Val Loss: 0.1359 | Val Acc: 94.48% | Sens: 0.94 | Spec: 0.95 | AUC: 0.99
Epoch 20 | Train Loss: 0.1141 | Val Loss: 0.1363 | Val Acc: 94.48% | Sens: 0.94 | Spec: 0.95 | AUC: 0.99
Epoch 21 | Train Loss: 0.1108 | Val Loss: 0.1265 | Val Acc: 94.83% | Sens: 0.95 | Spec: 0.94 | AUC: 0.99
Epoch 22 | Train Loss: 0.1114 | Val Loss: 0.1248 | Val Acc: 95.42% | Sens: 0.94 | Spec: 0.97 | AUC: 0.99
Epoch 23 | Train Loss: 0.1161 | Val Loss: 0.1134 | Val Acc: 96.12% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 24 | Train Loss: 0.1214 | Val Loss: 0.1297 | Val Acc: 94.71% | Sens: 0.95 | Spec: 0.94 | AUC: 0.99
Epoch 25 | Train Loss: 0.1218 | Val Loss: 0.1213 | Val Acc: 95.30% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
