🚀 Starting run: trainsample_3404_run_8
Epoch 1 | Train Loss: 1.2106 | Val Loss: 0.4642 | Val Acc: 82.26% | Sens: 0.92 | Spec: 0.66 | AUC: 0.82
Epoch 2 | Train Loss: 0.4508 | Val Loss: 0.4377 | Val Acc: 82.02% | Sens: 0.87 | Spec: 0.74 | AUC: 0.85
Epoch 3 | Train Loss: 0.3849 | Val Loss: 0.3836 | Val Acc: 85.31% | Sens: 0.94 | Spec: 0.70 | AUC: 0.89
Epoch 4 | Train Loss: 0.3345 | Val Loss: 0.2899 | Val Acc: 88.48% | Sens: 0.94 | Spec: 0.79 | AUC: 0.95
Epoch 5 | Train Loss: 0.3231 | Val Loss: 0.2998 | Val Acc: 90.01% | Sens: 0.90 | Spec: 0.91 | AUC: 0.95
Epoch 6 | Train Loss: 0.2474 | Val Loss: 0.2611 | Val Acc: 88.60% | Sens: 0.96 | Spec: 0.75 | AUC: 0.97
Epoch 7 | Train Loss: 0.2136 | Val Loss: 0.2268 | Val Acc: 91.42% | Sens: 0.95 | Spec: 0.85 | AUC: 0.97
Epoch 8 | Train Loss: 0.1810 | Val Loss: 0.1807 | Val Acc: 94.01% | Sens: 0.94 | Spec: 0.94 | AUC: 0.98
Epoch 9 | Train Loss: 0.1809 | Val Loss: 0.1770 | Val Acc: 93.07% | Sens: 0.96 | Spec: 0.89 | AUC: 0.98
Epoch 10 | Train Loss: 0.1582 | Val Loss: 0.1633 | Val Acc: 94.12% | Sens: 0.94 | Spec: 0.94 | AUC: 0.98
Epoch 11 | Train Loss: 0.1491 | Val Loss: 0.1612 | Val Acc: 94.24% | Sens: 0.94 | Spec: 0.94 | AUC: 0.98
Epoch 12 | Train Loss: 0.1530 | Val Loss: 0.1465 | Val Acc: 94.83% | Sens: 0.96 | Spec: 0.92 | AUC: 0.98
Epoch 13 | Train Loss: 0.1778 | Val Loss: 0.1641 | Val Acc: 94.24% | Sens: 0.95 | Spec: 0.92 | AUC: 0.98
Epoch 14 | Train Loss: 0.1481 | Val Loss: 0.1461 | Val Acc: 94.71% | Sens: 0.95 | Spec: 0.95 | AUC: 0.98
Epoch 15 | Train Loss: 0.1407 | Val Loss: 0.1393 | Val Acc: 94.48% | Sens: 0.96 | Spec: 0.92 | AUC: 0.99
Epoch 16 | Train Loss: 0.1316 | Val Loss: 0.1323 | Val Acc: 94.95% | Sens: 0.95 | Spec: 0.95 | AUC: 0.99
Epoch 17 | Train Loss: 0.1241 | Val Loss: 0.1349 | Val Acc: 95.18% | Sens: 0.96 | Spec: 0.94 | AUC: 0.99
Epoch 18 | Train Loss: 0.1270 | Val Loss: 0.1251 | Val Acc: 95.77% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
Epoch 19 | Train Loss: 0.1191 | Val Loss: 0.1389 | Val Acc: 94.36% | Sens: 0.95 | Spec: 0.94 | AUC: 0.99
Epoch 20 | Train Loss: 0.1142 | Val Loss: 0.1334 | Val Acc: 94.59% | Sens: 0.95 | Spec: 0.94 | AUC: 0.99
Epoch 21 | Train Loss: 0.1162 | Val Loss: 0.1192 | Val Acc: 95.77% | Sens: 0.96 | Spec: 0.95 | AUC: 0.99
